"0xc98b18","Support partner #1","Support partner #2","Support partner #3","Support partner #4","Support partner #5","Support partner #6","Support partner #7","Initial Support Count #1","Initial Support Count #2","Initial Support Count #3","Initial Support Count #4","Initial Support Count #5","Initial Support Count #6","Initial Support Count #7","Support Gain Per Turn #1","Support Gain Per Turn #2","Support Gain Per Turn #3","Support Gain Per Turn #4","Support Gain Per Turn #5","Support Gain Per Turn #6","Support Gain Per Turn #7","Total Number of Supports","##UNKNOWN##"
"2F - (Kent)","0x2d","0x30","0x1e","0x1f","0x2c","0x20","0x0","20","30","0","0","15","0","0","3","3","3","1","2","2","0","6","0x0"
"30 - (Sain)","0x2f","0x1e","0x11","0xe","0x1b","0xf","0x34","30","0","0","0","0","0","0","3","2","2","2","2","1","1","7","0x0"
"19 - (Lowen)","0x1","0x1a","0x34","0x38","0xe","0x0","0x0","20","20","10","15","5","0","0","2","3","3","3","2","0","0","5","0x0"
"1A - (Marcus)","0x1","0x28","0x19","0x34","0x38","0x0","0x0","25","0","20","15","20","0","0","2","2","3","3","2","0","0","5","0x0"
"1B - (Priscilla)","0x4","0x10","0x13","0xb","0x30","0x20","0x6","20","5","15","0","0","0","0","3","2","3","2","2","2","2","7","0x0"
"31 - (Florina)","0x2d","0x2e","0x6","0x0","0x0","0x0","0x0","15","0","0","0","0","0","0","4","2","4","0","0","0","0","3","0x0"
"32 - (Rath)","0x2","0x2d","0x1f","0x1e","0x25","0x14","0x11","5","76","35","35","0","0","0","2","4","3","4","4","2","1","7","0x0"
"1E - (Fiora)","0x1f","0x31","0x1","0x2f","0x30","0x15","0x5","30","35","0","0","0","10","0","3","4","2","3","2","2","1","7","0x0"
"1F - (Farina)","0x2","0x31","0x1e","0x2f","0x33","0x37","0x8","0","35","30","0","0","0","0","1","3","3","1","2","2","1","7","0x0"
"20 - (Heath)","0x21","0x36","0xf","0x1b","0x2f","0x0","0x0","0","0","0","0","0","0","0","2","2","1","2","2","0","0","5","0x0"
"21 - (Vaida)","0x20","0x38","0x37","0x2c","0x16","0x8","0x28","0","0","0","0","0","0","0","2","1","2","2","2","2","1","7","0x0"
"22 - (Hawkeye)","0x25","0x15","0xf","0x0","0x0","0x0","0x0","0","20","20","0","0","0","0","3","3","3","0","0","0","0","3","0x0"
"23 - (Matthew)","0x2","0x24","0x6","0x11","0xb","0x36","0x0","20","0","10","5","5","0","0","3","1","3","1","2","2","0","6","0x0"
"24 - (Jaffar)","0x14","0x23","0x36","0x0","0x0","0x0","0x0","25","0","5","0","0","0","0","3","1","1","0","0","0","0","3","0x0"
"25 - (Ninian)","0x1","0x31","0x22","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","5","4","3","0","0","0","0","3","0x0"
"28 - (Merlinus)","0x1a","0x14","0x21","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","2","2","1","0","0","0","0","3","0x0"
"2C - (Wallace)","0x2d","0x12","0x2e","0x21","0x2f","0x0","0x0","15","0","0","0","15","0","0","2","2","2","2","2","0","0","5","0x0"
"33 - (Dart)","0x1f","0x2e","0x5","0xe","0x7","0x0","0x0","0","20","0","35","0","0","0","2","3","2","3","2","0","0","5","0x0"
"36 - (Legault)","0x23","0x14","0x34","0x24","0x20","0x0","0x0","0","0","0","5","0","0","0","2","2","1","1","2","0","0","5","0x0"
"34 - (Isadora)","0x36","0x19","0x1a","0x38","0x5","0x12","0x30","0","10","15","40","0","0","0","1","3","3","4","2","1","1","7","0x0"
"37 - (Karla)","0x7","0x9","0x1f","0x21","0x0","0x0","0x0","25","5","0","0","0","0","0","2","4","2","2","0","0","0","4","0x0"
"53 - (Paul)","0x54","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
"54 - (Jasmine)","0x53","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
"63 - (Lloyd)","0x64","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
"64 - (Linus)","0x63","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
"F4 - (Morph Lloyd)","0xf5","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
"F5 - (Morph Linus)","0xf4","0x0","0x0","0x0","0x0","0x0","0x0","241","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0x0"
