"0xfff800","Person 1","Person 2","Person 3","Person 4","Person 5","Person 6","Person 7","Initial Support Level 1","Initial Support Level 2","Initial Support Level 3","Initial Support Level 4","Initial Support Level 5","Initial Support Level 6","Initial Support Level 7","Support Growth Rate 1","Support Growth Rate 2","Support Growth Rate 3","Support Growth Rate 4","Support Growth Rate 5","Support Growth Rate 6","Support Growth Rate 7","Number of Supported Characters","Separator (Use 0x00)","Separator (Use 0x00)"
"FFF9C0 Pointer - 0x8FFFC20","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFF9D0 Pointer - 0x8FFFC38","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFF9E0 Pointer - 0x8FFFC50","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFF9F0 Pointer - 0x8FFFC68","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA00 Pointer - 0x8FFFC80","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA10 Pointer - 0x8FFFC98","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA20 Pointer - 0x8FFFD10","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA30 Pointer - 0x8FFFD28","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA40 Pointer - 0x8FFFD40","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA50 Pointer - 0x8FFFD58","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA60 Pointer - 0x8FFFD70","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA70 Pointer - 0x8FFFD88","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"FFFA80 Pointer - 0x8FFFE00","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2b","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2d","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2e","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
"0x2f","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0x0","0x0"
