"0xfd8004","Battle Palette Pointer","##UNKNOWN##"
"0x3E Puzon","0x8fda780","0x616568747572"
"0x3F Lucius unpromoted","0x8fda7dc","0x797567"
"0x40 Guy unpromoted","0x8fda83c","0x68747572"
"0x41 Rath unpromoted","0x8fda89c","0x6e65726973"
"0x42 Sealen","0x8fda910","0x68747572"
"0x43 Rath promoted","0x8fda984","0x69616875"
"0x44 Uhai","0x8fdaa14","0x61726f64617369"
"0x45 Isadora","0x8fdaa8c","0x6e6e616c6d6163"
"0x46 Cameron","0x8fdab04","0x6e61696d6164"
"0x47 Damian","0x8fdab7c","0x73646e616275"
"0x48 Eubans","0x8fdabf4","0x746e656b"
"0x49 Kent promoted","0x8fdac6c","0x6e65776f6c"
"0x4A Lowen promoted","0x8fdacf8","0x73756372616d"
"0x4B Marcus","0x8fdad84","0x656d6978616d"
"0x4C Maxime","0x8fdae10","0x6c6163736170"
"0x4D Pascal","0x8fdae88","0x6e696173"
"0x4E Sain promoted","0x8fdaf00","0x616e69726166"
"0x4F Farina unpromoted","0x8fdaf8c","0x61726f6966"
"0x50 Fiora unpromoted","0x8fdaff8","0x616e696c6f6c66"
"0x51 Florina unpromoted","0x8fdb064","0x7374726164"
"0x52 Dart unpromoted","0x8fdb0d4","0x6172726573"
"0x53 Serra unpromoted","0x8fdb134","0x616c6c6574736d696c"
"0x54 Limstella","0x8fdb194","0x6f6e696e"
"0x55 Nino promoted","0x8fdb1fc","0x61696e6f73"
"0x56 Sonia","0x8fdb26c","0x6e6f6961"
"0x57 Aion","0x8fdb2d4","0x6b7265"
"0x58 Erk promoted","0x8fdb340","0x746e6170"
"0x59 Pent","0x8fdb3b8","0x73616e6163"
"0x5A Canas unpromoted","0x8fdb430","0x7a746e6968"
"0x5B Heintz","0x8fdb484","0x6d61646c6f7a"
"0x5C Zoldam","0x8fdb4d4","0x657369756c"
"0x5D Louise","0x8fdb524","0x61636361626572"
"0x5E Rebecca promoted","0x8fdb588","0x676e696e6e6564"
"0x5F Denning","0x8fdb5ec","0x6c6c6977"
"0x60 Wil promoted","0x8fdb644","0x63696c65"
"0x61 Erik","0x8fdb6a4","0x746e656b"
"0x62 Kent unpromoted","0x8fdb720","0x6e65776f6c"
"0x63 Lowen unpromoted","0x8fdb798","0x6e696173"
"0x64 Sain unpromoted","0x8fdb810","0x736f687461"
"0x65 Athos","0x8fdb888","0x616c72616b"
"0x66 Karla","0x8fdb8e4","0x797567"
"0x67 Guy promoted","0x8fdb944","0x6c6572616b"
"0x68 Karel promoted","0x8fdb9a8","0x64796f6c6c"
"0x69 Lloyd","0x8fdba08","0x616c69616c"
"0x6A Leila","0x8fdba58","0x6f74726167616c"
"0x6B Legault unpromoted","0x8fdbaa8","0x7765687474616d"
"0x6C Matthew unpromoted","0x8fdbb0c","0x616c6c696373697270"
"0x6D Priscilla unpromoted","0x8fdbb74","0x616c6c696373697270"
"0x6E Priscilla promoted","0x8fdbbd0","0x616c75737275"
"0x6F Ursula","0x8fdbc3c","0x72746c6162"
"0x70 Bartre promoted","0x8fdbca0","0x6e61646e657262"
"0x71 Brendan","0x8fdbcfc","0x736163726f64"
"0x72 Dorcas promoted","0x8fdbd58","0x7a74696167"
"0x73 Geitz promoted","0x8fdbdb4","0x656e696d73616a"
"0x74 Jasmine","0x8fdbe14","0x676c6f"
"0x75 Oleg","0x8fdbe70","0x6c756170"
"0x76 Paul","0x8fdbecc","0x616e756873696b"
"0x77 Kishuna","0x8fdbf28","0x69796e7a6f7267"
"0x78 Groznyi","0x8fdbf64","0x0"
"0x79 -","0x0","0x0"
"0x7A -","0x0","0x0"
"0x7B -","0x0","0x0"
"0x7C -","0x0","0x0"
"0x7D -","0x0","0x0"
"0x7E -","0x0","0x0"
"0x7F -","0x0","0x0"
"0x80 -","0x0","0x0"
"0x81 -","0x0","0x0"
"0x82 -","0x0","0x0"
"0x83 -","0x0","0x0"
"0x84 -","0x0","0x0"
"0x85 -","0x0","0x0"
"0x86 -","0x0","0x0"
"0x87 -","0x0","0x0"
"0x88 -","0x0","0x0"
"0x89 -","0x0","0x0"
"0x8A -","0x0","0x0"
"0x8B -","0x0","0x0"
"0x8C -","0x0","0x0"
"0x8D -","0x0","0x0"
"0x8E -","0x0","0x0"
"0x8F -","0x0","0x0"
"0x90 -","0x0","0x0"
"0x91 -","0x0","0x0"
"0x92 -","0x0","0x0"
"0x93 -","0x0","0x0"
"0x94 -","0x0","0x0"
"0x95 -","0x0","0x0"
"0x96 -","0x0","0x0"
"0x97 -","0x0","0x0"
"0x98 -","0x0","0x0"
"0x99 -","0x0","0x0"
"0x9A -","0x0","0x0"
"0x9B -","0x0","0x0"
"0x9C -","0x0","0x0"
"0x9D -","0x0","0x0"
"0x9E -","0x0","0x0"
"0x9F -","0x0","0x0"
"0xA0 -","0x0","0x0"
"0xA1 -","0x0","0x0"
"0xA2 -","0x0","0x0"
"0xA3 -","0x0","0x0"
"0xA4 -","0x0","0x0"
"0xA5 -","0x0","0x0"
"0xA6 -","0x0","0x0"
"0xA7 -","0x0","0x0"
"0xA8 -","0x0","0x0"
"0xA9 -","0x0","0x0"
"0xAA -","0x0","0x0"
"0xAB -","0x0","0x0"
"0xAC -","0x0","0x0"
"0xAD -","0x0","0x0"
"0xAE -","0x0","0x0"
"0xAF -","0x0","0x0"
"0xB0 -","0x0","0x0"
"0xB1 -","0x0","0x0"
"0xB2 -","0x0","0x0"
"0xB3 -","0x0","0x0"
"0xB4 -","0x0","0x0"
"0xB5 -","0x0","0x0"
"0xB6 -","0x0","0x0"
"0xB7 -","0x0","0x0"
"0xB8 -","0x0","0x0"
"0xB9 -","0x0","0x0"
"0xBA -","0x0","0x0"
"0xBB -","0x0","0x0"
"0xBC -","0x0","0x0"
"0xBD -","0x0","0x0"
"0xBE -","0x0","0x0"
"0xBF -","0x0","0x0"
"0xC0 -","0x0","0x0"
"0xC1 -","0x0","0x0"
"0xC2 -","0x0","0x0"
"0xC3 -","0x0","0x0"
"0xC4 -","0x0","0x0"
"0xC5 -","0x0","0x0"
"0xC6 -","0x0","0x0"
"0xC7 -","0x0","0x0"
"0xC8 -","0x0","0x0"
"0xC9 -","0x0","0x0"
"0xCA -","0x0","0x0"
"0xCB -","0x0","0x0"
"0xCC -","0x0","0x0"
"0xCD -","0x0","0x0"
"0xCE -","0x0","0x0"
"0xCF -","0x0","0x0"
"0xD0 -","0x0","0x0"
"0xD1 -","0x0","0x0"
"0xD2 -","0x0","0x0"
"0xD3 -","0x0","0x0"
"0xD4 -","0x0","0x0"
"0xD5 -","0x0","0x0"
"0xD6 -","0x0","0x0"
"0xD7 -","0x0","0x0"
"0xD8 -","0x0","0x0"
"0xD9 -","0x0","0x0"
"0xDA -","0x0","0x0"
"0xDB -","0x0","0x0"
"0xDC -","0x0","0x0"
"0xDD -","0x0","0x0"
"0xDE -","0x0","0x0"
"0xDF -","0x0","0x0"
"0xE0 -","0x0","0x0"
"0xE1 -","0x0","0x0"
"0xE2 -","0x0","0x0"
"0xE3 -","0x0","0x0"
"0xE4 -","0x0","0x0"
"0xE5 -","0x0","0x0"
"0xE6 -","0x0","0x0"
"0xE7 -","0x0","0x0"
"0xE8 -","0x0","0x0"
"0xE9 -","0x0","0x0"
"0xEA -","0x0","0x0"
"0xEB -","0x0","0x0"
"0xEC -","0x0","0x0"
"0xED -","0x0","0x0"
"0xEE -","0x0","0x0"
"0xEF -","0x0","0x0"
"0xF0 -","0x0","0x0"
"0xF1 -","0x0","0x0"
"0xF2 -","0x0","0x0"
"0xF3 -","0x0","0x0"
"0xF4 -","0x0","0x0"
"0xF5 -","0x0","0x0"
"0xF6 -","0x0","0x0"
"0xF7 -","0x0","0x0"
"0xF8 -","0x0","0x0"
"0xF9 -","0x0","0x0"
"0xFA -","0x0","0x0"
"0xFB -","0x0","0x0"
"0xFC -","0x0","0x0"
"0xFD -","0x0","0x0"
"0xFE -","0x0","0x0"
"0xFF -","0x0","0xa0100000000000000000"
