0xc999c0,Weapon,No. of Chars to Display (1 or 2),Animation Used,##UNKNOWN##,Alternate Pointer,Return to original position (map),Facing position (map),Enemy's flashing colour (map),##UNKNOWN##
0x41,Lightning,2,0x1f,0x0,0x0,0x1,0x0,0x5,0x0
0x42,Divine,2,0x22,0x0,0x0,0x1,0x0,0x5,0x0
0x43,Purge,2,0x20,0x0,0x0,0x1,0x0,0x5,0x0
0x44,Flux,2,0x1d,0x0,0x0,0x1,0x0,0x1,0x0
0x45,Nosferatu,2,0x1e,0x0,0x0,0x1,0x0,0x1,0x0
0x46,Eclipse,2,0x24,0x0,0x0,0x1,0x0,0x1,0x0
0x47,Heal,2,0x26,0x0,0x8c9e1fc,0x1,0x0,0x0,0x0
0x48,Mend,2,0x27,0x0,0x8c9e264,0x1,0x0,0x0,0x0
0x49,Recover,2,0x28,0x0,0x8c9e2cc,0x1,0x0,0x0,0x0
0x4a,Physic,2,0x29,0x0,0x8c9e334,0x1,0x0,0x0,0x0
0x4b,Fortify,1,0x2a,0x0,0x8c9e044,0x0,0x1,0x0,0x0
0x4c,Warp,2,0xfffe,0x0,0x8c9e8a4,0x0,0x0,0x0,0x0
0x4d,Rescue,2,0xfffe,0x0,0x8c9e8a4,0x0,0x0,0x0,0x0
0x4e,Restore,2,0x2c,0x0,0x8c9e64c,0x0,0x0,0x0,0x0
0x4f,Silence,2,0x2d,0x0,0x8c9e5ac,0x0,0x0,0x0,0x0
0x50,Sleep,2,0x2e,0x0,0x8c9e50c,0x0,0x0,0x0,0x0
0x51,Torch,1,0xfffe,0x0,0x8c9e39c,0x0,0x1,0x0,0x0
0x52,Hammerne,2,0x2f,0x0,0x8c9e6d4,0x0,0x0,0x0,0x0
0x53,Berserk,2,0x30,0x0,0x8c9e46c,0x0,0x0,0x0,0x0
0x54,Unlock,1,0xfffe,0x0,0x8c9e3e4,0x0,0x2,0x0,0x0
0x55,Barrier,2,0x31,0x0,0x8c9e81c,0x0,0x0,0x0,0x0
0x56,HeroCrest,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x57,KnightCrest,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x58,OrionsBolt,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x59,ElysianWhip,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5a,GuidingRing,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5b,EarthSeal,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5c,HeavenSeal,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5d,FellContract,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5e,OceanSeal,2,0x32,0x0,0x0,0x1,0x0,0x0,0x0
0x5f,Vulnerary,1,0xfffe,0x0,0x8c9e1a4,0x1,0x1,0x0,0x0
0x60,0x9a,1,0xfffe,0x0,0x8c9e1a4,0x1,0x1,0x0,0x0
0x61,Elixir,1,0xfffe,0x0,0x8c9e14c,0x1,0x1,0x0,0x0
0x62,PureWater,1,0xfffe,0x0,0x8c9e104,0x0,0x1,0x0,0x0
0x63,Torch,1,0xfffe,0x0,0x8c9e39c,0x0,0x1,0x0,0x0
0x64,Antitoxin,1,0xfffe,0x0,0x8c9e0bc,0x0,0x1,0x0,0x0
0x65,SteelBlade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x66,SilverBlade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x67,Wyrmslayer,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x68,Runesword,2,0x1e,0x0,0x0,0x1,0x0,0x0,0x0
0x69,Spear,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x6a,UberSpear,2,0x3,0x0,0x0,0x1,0x0,0x0,0x0
0x6b,Tomahawk,2,0x1,0x0,0x0,0x1,0x0,0x0,0x0
0x6c,Excalibur,2,0x35,0x0,0x0,0x1,0x0,0x4,0x0
0x6d,Shine,2,0x33,0x0,0x0,0x1,0x0,0x5,0x0
0x6e,Aura,2,0x37,0x0,0x0,0x1,0x0,0x5,0x0
0x6f,Luce,2,0x38,0x0,0x0,0x1,0x0,0x5,0x0
0x70,Luna,2,0x34,0x0,0x0,0x1,0x0,0x1,0x0
0x71,Gespenst,2,0x36,0x0,0x0,0x1,0x0,0x1,0x0
0x72,Aureola,2,0x21,0x0,0x0,0x1,0x0,0x5,0x0
0x73,Flametongue,2,0x13,0x0,0x0,0x1,0x0,0x2,0x0
0x74,Ereshkigal,2,0x39,0x0,0x0,0x1,0x0,0x1,0x0
0x75,FillasMight,2,0x3a,0x0,0x0,0x0,0x0,0x2,0x0
0x76,NinissGrace,2,0x3b,0x0,0x0,0x0,0x0,0x4,0x0
0x77,ThorsIre,2,0x3c,0x0,0x0,0x0,0x0,0x4,0x0
0x78,SetsLitany,2,0x3d,0x0,0x0,0x0,0x0,0x3,0x0
0x79,EmblemBlade,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7a,EmblemLance,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7b,EmblemAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
0x7c,EmblemBow,2,0x2,0x0,0x0,0x1,0x0,0x0,0x0
0x7d,WindSword,2,0x35,0x0,0x0,0x1,0x0,0x4,0x0
0x7e,DragonAxe,2,0xffff,0x0,0x0,0x1,0x0,0x0,0x0
