"0xc9c9cc","Pointer"
"0x9C Ch.26/28 Map","0x8366090"
"0x9D Ch.26/28 Map Changes","0x8ce3214"
"0x9E Ch.26/28 Events","0x8ca54a4"
"0x9F Plains&Castle: Purple Palette","0x8360f38"
"0xA0 Ch.26x/28x Map","0x8365e98"
"0xA1 Water (Plains&Castle) Tile Anim","0x8b95f98"
"0xA2 Ch.26x/28x Map Changes","0x8ce341c"
"0xA3 Ch.26x/28x Events","0x8ca593c"
"0xA4 Ch.27/29 Map","0x8365980"
"0xA5 Ch.27/29 Map Changes","0x8ce3634"
"0xA6 Ch.27/29 Events","0x8ca5ab0"
"0xA7 Lava Cave","0x831de34"
"0xA8 Lava Cave Palette","0x8360df8"
"0xA9 Lava Cave Config","0x8354854"
"0xAA Ch.28E Map","0x83656a8"
"0xAB Lava (Lava Cave) Tile Anim","0x8b960a0"
"0xAC Ch.28E Map Changes","0x8ce3664"
"0xAD Ch.28E Events","0x8ca5b28"
"0xAE Sand Cave","0x831acb0"
"0xAF Sand Cave Palette","0x8360cb8"
"0xB0 Sand Cave Config","0x8353efc"
"0xB1 Ch.30H Map","0x83653d0"
"0xB2 Ch.30H Map Changes","0x8ce36b4"
"0xB3 Ch.30H Events","0x8ca5bd4"
"0xB4 Ch.29/31 Map","0x8365154"
"0xB5 Ch.29/31 Map Changes","0x8ce3700"
"0xB6 Ch.29/31 Events","0x8ca5f10"
"0xB7 Town: Ship&stone road unusable Palette","0x8360b78"
"0xB8 Ch.29x/31x Map","0x836503c"
"0xB9 Ch.29x/31x Events","0x8ca605c"
"0xBA Ch.30/32 Map","0x8364b34"
"0xBB Ch.30/32 Map Changes","0x8ce3790"
"0xBC Ch.30/32 Events","0x8ca6404"
"0xBD Mountains&Shrine: No plains Palette","0x8360a38"
"0xBE Ch.32x Map","0x8364958"
"0xBF Ch.32x Map Changes","0x8ce3810"
"0xC0 Ch.32x Events","0x8ca6574"
"0xC1 Dragon's Gate","0x83154bc"
"0xC2 Dragon's Gate Palette","0x83608f8"
"0xC3 Dragon's Gate Config","0x835334c"
"0xC4 Final Ch. pt1 Map","0x8364754"
"0xC5 Gate and flames (Dragon's Gate) Tile Anim","0x8b95f50"
"0xC6 Final Ch. pt1 Map Changes","0x8ce39b4"
"0xC7 Final Ch. pt1 Events","0x8ca6720"
"0xC8 Final Ch. pt2 Map","0x83644c0"
"0xC9 Final Ch. pt2 Map Changes","0x8ce3a38"
"0xCA Final Ch. pt2 Events","0x8ca67d0"
"0xca","0x83607b8"
"0xcb","0x83643cc"
"0xcc","0x8ca6830"
"0xcd","0x83642e8"
"0xce","0x8ce3a60"
"0xcf","0x8ca6890"
"0xd0","0x836423c"
"0xd1","0x8ca68f0"
"0xd2","0x8364108"
"0xd3","0x8ca6950"
"0xd4","0x8363fe4"
"0xd5","0x8ca69b0"
"0xd6","0x8360678"
"0xd7","0x8363e80"
"0xd8","0x8ca6a10"
"0xd9","0x8363d2c"
"0xda","0x8ca6a70"
"0xdb","0x8360538"
"0xdc","0x8363c58"
"0xdd","0x8ca6ad0"
"0xde","0x8363b7c"
"0xdf","0x8ca6b30"
"0xe0","0x8363a38"
"0xe1","0x8ca6b90"
"0xe2","0x83603f8"
"0xe3","0x8363900"
"0xe4","0x8ca6bf0"
"0xe5","0x8363800"
"0xe6","0x8ca6c50"
"0xe7","0x83636f4"
"0xe8","0x8ca6cb0"
"0xe9","0x83602b8"
"0xea","0x83635b0"
"0xeb","0x8ca6d10"
"0xec","0x8363474"
"0xed","0x8ca6d70"
"0xee","0x8363328"
"0xef","0x8ca6dd0"
"0xf0","0x83631c8"
"0xf1","0x8ce3b40"
"0xf2","0x8ca6e30"
"0xf3","0x83630c0"
"0xf4","0x8362fb8"
"0xf5","0x8ca6efc"
"0xf6","0x0"
"0xf7","0x8ce791c"
"0xf8","0x8ce7920"
"0xf9","0x8ce7ac0"
"0xfa","0x8ce7bb4"
"0xfb","0x8ce7e1c"
"0xfc","0x8ce7f30"
"0xfd","0x8ce8078"
"0xfe","0x8ce821c"
