0xbe222c,Name,Description,Use Description,Item ID,Item/Weapon Type,Item Ability Bitfield,Stat Bonuses Pointer,Effectiveness Pointer,Durability,Might,Hit%,Weight,Critical%,Min - Max Range,Cost Per Use (0 = Unsellable),Weapon Rank,Item Icon,Staff/Use Effect,Weapon Effect,Weapon Experience,***UNKNOWN***,***UNKNOWN*** (Zero),***UNKNOWN*** (Zero)
0x1E Axereaver,0x412,0x299,0x0,0x1e,WLance,IsWeapon|IsReaver,0x0,0x0,15,10,70,11,5,0x11,130,CRank,0x1d,0x0,0x0,2,1,0,0
0x1F Iron Axe,0x416,0x29d,0x0,0x1f,WAxe,IsWeapon,0x0,0x0,45,8,75,10,0,0x11,6,ERank,0x1e,0x0,0x0,1,1,0,0
0x20 Steel Axe,0x417,0x29e,0x0,0x20,WAxe,IsWeapon,0x0,0x0,30,11,65,15,0,0x11,12,ERank,0x1f,0x0,0x0,2,1,0,0
0x21 Silver Axe,0x418,0x29f,0x0,0x21,WAxe,IsWeapon,0x0,0x0,20,15,70,12,0,0x11,50,ARank,0x20,0x0,0x0,1,1,0,0
0x22 Poison Axe,0x419,0x2a0,0x0,0x22,WAxe,IsWeapon,0x0,0x0,40,4,60,10,0,0x11,0,DRank,0x21,0x0,0x1,1,1,0,0
0x23 Brave Axe,0x41a,0x2a1,0x0,0x23,WAxe,IsWeapon|IsBrave,0x0,0x0,30,10,65,16,0,0x11,75,BRank,0x22,0x0,0x0,1,1,0,0
0x24 Killer Axe,0x41b,0x2a2,0x0,0x24,WAxe,IsWeapon,0x0,0x0,20,11,65,11,30,0x11,50,CRank,0x23,0x0,0x0,1,1,0,0
0x25 Halberd,0x41c,0x2a3,0x0,0x25,WAxe,IsWeapon,0x0,EffHorse|IsPointer,18,10,60,15,0,0x11,45,DRank,0x24,0x0,0x0,1,1,0,0
0x26 Hammer,0x41d,0x2a4,0x0,0x26,WAxe,IsWeapon,0x0,EffArmor|IsPointer,20,10,55,15,0,0x11,40,DRank,0x25,0x0,0x0,2,1,0,0
0x27 Devil Axe,0x41e,0x2a5,0x0,0x27,WAxe,IsWeapon,0x0,0x0,20,18,55,18,0,0x11,45,ERank,0x26,0x0,0x4,8,1,0,0
0x28 Hand Axe,0x41f,0x2a6,0x0,0x28,WAxe,IsWeapon,0x0,0x0,20,7,60,12,0,0x12,15,ERank,0x27,0x0,0x0,1,1,0,0
0x29 Tomahawk,0x420,0x2a7,0x0,0x29,WAxe,IsWeapon,0x0,0x0,15,13,65,14,0,0x12,200,ARank,0x28,0x0,0x0,1,1,0,0
0x2A Swordreaver,0x421,0x2a8,0x0,0x2a,WAxe,IsWeapon|IsReaver,0x0,0x0,15,11,65,13,5,0x11,140,CRank,0x29,0x0,0x0,2,1,0,0
0x2B Swordslayer,0x422,0x2a9,0x0,0x2b,WAxe,IsWeapon|IsReaver,0x0,EffSwordslayer|IsPointer,20,11,80,13,5,0x11,100,CRank,0x2a,0x0,0x0,1,1,0,0
0x2C Iron Bow,0x425,0x2ad,0x0,0x2c,WBow,IsWeapon,0x0,EffFlier|IsPointer,45,6,85,5,0,0x22,12,ERank,0x2b,0x0,0x0,1,1,0,0
0x2D Steel Bow,0x426,0x2ae,0x0,0x2d,WBow,IsWeapon,0x0,EffFlier|IsPointer,30,9,70,9,0,0x22,24,DRank,0x2c,0x0,0x0,1,1,0,0
0x2E Silver Bow,0x427,0x2af,0x0,0x2e,WBow,IsWeapon,0x0,EffFlier|IsPointer,20,13,75,6,0,0x22,80,ARank,0x2d,0x0,0x0,1,1,0,0
0x2F Poison Bow,0x428,0x2b0,0x0,0x2f,WBow,IsWeapon,0x0,EffFlier|IsPointer,40,4,65,5,0,0x22,0,DRank,0x2e,0x0,0x1,1,1,0,0
0x30 Killer Bow,0x429,0x2b1,0x0,0x30,WBow,IsWeapon,0x0,EffFlier|IsPointer,20,9,75,7,30,0x22,70,CRank,0x2f,0x0,0x0,1,1,0,0
0x31 Brave Bow,0x42a,0x2b2,0x0,0x31,WBow,IsWeapon|IsBrave,0x0,EffFlier|IsPointer,30,10,70,12,0,0x22,250,BRank,0x30,0x0,0x0,1,1,0,0
0x32 Short Bow,0x42b,0x2b3,0x0,0x32,WBow,IsWeapon,0x0,EffFlier|IsPointer,22,5,85,3,10,0x22,80,DRank,0x31,0x0,0x0,2,1,0,0
0x33 Longbow,0x42c,0x2b4,0x0,0x33,WBow,IsWeapon,0x0,EffFlier|IsPointer,20,5,65,10,0,0x23,100,DRank,0x32,0x0,0x0,1,1,0,0
0x34 Ballista,0x42e,0x2b6,0x0,0x34,WBow,IsWeapon|Uncounterable,0x0,EffFlier|IsPointer,5,8,70,20,0,0x3a,0,ERank,0x33,0x0,0x0,4,1,0,0
0x35 Iron Ballista,0x42f,0x2b7,0x0,0x35,WBow,IsWeapon|Uncounterable,0x0,EffFlier|IsPointer,5,13,60,20,0,0x3f,0,ERank,0x34,0x0,0x0,4,1,0,0
0x36 Killer Ballista,0x430,0x2b8,0x0,0x36,WBow,IsWeapon|Uncounterable,0x0,EffFlier|IsPointer,5,12,65,20,10,0x3a,0,ERank,0x35,0x0,0x0,4,1,0,0
0x37 Fire,0x431,0x2b9,0x0,0x37,WAnima,IsWeapon|IsMagic,0x0,0x0,40,5,90,4,0,0x12,14,ERank,0x36,0x0,0x0,1,1,0,0
0x38 Thunder,0x432,0x2ba,0x0,0x38,WAnima,IsWeapon|IsMagic,0x0,0x0,35,8,80,6,5,0x12,20,DRank,0x37,0x0,0x0,1,1,0,0
0x39 Elfire,0x433,0x2bb,0x0,0x39,WAnima,IsWeapon|IsMagic,0x0,0x0,30,10,85,10,0,0x12,40,CRank,0x38,0x0,0x0,2,1,0,0
0x3A Bolting,0x434,0x2bc,0x0,0x3a,WAnima,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,12,60,20,0,0x3a,500,BRank,0x39,0x0,0x0,1,1,0,0
0x3B Fimbulvetr,0x435,0x2bd,0x0,0x3b,WAnima,IsWeapon|IsMagic,0x0,0x0,20,13,80,12,0,0x12,300,ARank,0x3a,0x0,0x0,1,1,0,0
0x3C Forblaze,0x436,0x2be,0x0,0x3c,WAnima,IsWeapon|IsMagic|Unsellable|AthosLock,StatsForblaze|IsPointer,EffDragon|IsPointer,20,14,85,11,5,0x12,0,NoRank,0x3b,0x0,0x0,1,1,0,0
0x3D Excalibur,0x437,0x2bf,0x0,0x3d,WAnima,IsWeapon|IsMagic,0x0,0x0,25,18,90,13,10,0x12,1000,SRank,0x3c,0x0,0x0,3,1,0,0
0x3E Lightning,0x438,0x2c0,0x0,0x3e,WLight,IsWeapon|IsMagic,0x0,0x0,35,4,95,6,5,0x12,18,ERank,0x3d,0x0,0x0,1,1,0,0
0x3F Shine,0x439,0x2c1,0x0,0x3f,WLight,IsWeapon|IsMagic,0x0,0x0,30,6,90,8,8,0x12,30,DRank,0x3e,0x0,0x0,2,1,0,0
0x40 Divine,0x43a,0x2c2,0x0,0x40,WLight,IsWeapon|IsMagic,0x0,0x0,25,8,85,12,10,0x12,100,CRank,0x3f,0x0,0x0,1,1,0,0
0x41 Purge,0x43b,0x2c3,0x0,0x41,WLight,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,10,75,20,5,0x3a,600,BRank,0x40,0x0,0x0,3,1,0,0
0x42 Aura,0x43c,0x2c4,0x0,0x42,WLight,IsWeapon|IsMagic,0x0,0x0,20,12,85,15,15,0x12,400,ARank,0x41,0x0,0x0,1,1,0,0
0x43 Luce,0x43d,0x2c5,0x0,0x43,WLight,IsWeapon|IsMagic,0x0,0x0,25,16,95,16,25,0x12,1200,SRank,0x42,0x0,0x0,3,1,0,0
0x44 Flux,0x43f,0x2c7,0x0,0x44,WDark,IsWeapon|IsMagic,0x0,0x0,45,7,80,8,0,0x12,20,DRank,0x43,0x0,0x0,1,1,0,0
0x45 Luna,0x440,0x2c8,0x0,0x45,WDark,IsWeapon|IsMagic|NegateDef,0x0,0x0,35,0,95,12,20,0x12,150,CRank,0x44,0x0,0x0,1,1,0,0
0x46 Nosferatu,0x441,0x2c9,0x0,0x46,WDark,IsWeapon|IsMagic,0x0,0x0,20,10,70,14,0,0x12,160,CRank,0x45,0x0,0x2,1,1,0,0
0x47 Eclipse,0x442,0x2ca,0x0,0x47,WDark,IsWeapon|IsMagic|Uncounterable,0x0,0x0,5,255,30,12,0,0x3a,800,BRank,0x46,0x0,0x3,8,1,0,0
0x48 Fenrir,0x443,0x2cb,0x0,0x48,WDark,IsWeapon|IsMagic,0x0,0x0,20,15,70,18,0,0x12,450,ARank,0x47,0x0,0x0,1,1,0,0
0x49 Gespenst,0x444,0x2cc,0x0,0x49,WDark,IsWeapon|IsMagic,0x0,0x0,25,23,80,20,0,0x12,1400,SRank,0x48,0x0,0x0,3,1,0,0
0x4A Heal,0x446,0x2ce,0x310,0x4a,WStaff,IsStaff,0x0,0x0,30,0,100,2,0,0x11,20,ERank,0x49,0x1,0x0,2,1,0,0
0x4B Mend,0x447,0x2cf,0x311,0x4b,WStaff,IsStaff,0x0,0x0,20,0,100,4,0,0x11,50,DRank,0x4a,0x2,0x0,3,1,0,0
0x4C Recover,0x448,0x2d0,0x312,0x4c,WStaff,IsStaff,0x0,0x0,15,0,100,6,0,0x11,150,CRank,0x4b,0x3,0x0,3,1,0,0
0x4D Physic,0x449,0x2d1,0x313,0x4d,WStaff,IsStaff,0x0,0x0,15,0,100,5,0,0x10,250,BRank,0x4c,0x4,0x0,3,1,0,0
0x4E Fortify,0x44a,0x2d2,0x314,0x4e,WStaff,IsStaff,0x0,0x0,8,0,100,7,0,0x10,1000,ARank,0x4d,0x5,0x0,5,1,0,0
0x4F Restore,0x44b,0x2d3,0x315,0x4f,WStaff,IsStaff,0x0,0x0,10,0,100,4,0,0x11,200,CRank,0x4e,0x6,0x0,3,1,0,0
0x50 Silence,0x44c,0x2d4,0x316,0x50,WStaff,IsStaff,0x0,0x0,3,0,70,7,0,0x10,400,BRank,0x4f,0x7,0x0,5,1,0,0
0x51 Sleep,0x44d,0x2d5,0x317,0x51,WStaff,IsStaff,0x0,0x0,3,0,65,8,0,0x10,500,BRank,0x50,0x8,0x0,5,1,0,0
0x52 Berserk,0x44e,0x2d6,0x318,0x52,WStaff,IsStaff,0x0,0x0,3,0,60,8,0,0x10,600,BRank,0x51,0x9,0x0,5,1,0,0
0x53 Warp,0x44f,0x2d7,0x319,0x53,WStaff,IsStaff,0x0,0x0,5,0,100,5,0,0x11,1500,ARank,0x52,0xa,0x0,7,1,0,0
0x54 Rescue,0x450,0x2d8,0x31a,0x54,WStaff,IsStaff,0x0,0x0,3,0,100,6,0,0x10,600,BRank,0x53,0xb,0x0,7,1,0,0
0x55 Torch,0x451,0x2d9,0x31b,0x55,WStaff,IsStaff,0x0,0x0,10,0,100,5,0,0x10,100,DRank,0x54,0xc,0x0,5,1,0,0
0x56 Hammerne,0x452,0x2da,0x31c,0x56,WStaff,IsStaff|Unrepairable,0x0,0x0,3,0,100,7,0,0x11,600,CRank,0x55,0xd,0x0,8,1,0,0
0x57 Unlock,0x453,0x2db,0x31d,0x57,WStaff,IsStaff,0x0,0x0,10,0,100,7,0,0x12,150,DRank,0x56,0xe,0x0,5,1,0,0
0x58 Barrier,0x454,0x2dc,0x31e,0x58,WStaff,IsStaff,0x0,0x0,15,0,100,4,0,0x11,150,CRank,0x57,0xf,0x0,4,1,0,0
0x59 Dragon Axe,0x48a,0x300,0x0,0x59,WAxe,IsWeapon,0x0,EffDragon|IsPointer,40,10,60,11,0,0x11,150,CRank,0x58,0x0,0x0,1,1,0,0
0x5A Angelic Robe,0x456,0x2de,0x31f,0x5a,WItem,0x0,StatsAngelicRobe|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x59,0x10,0x0,0,1,0,0
0x5B Energy Ring,0x457,0x2df,0x320,0x5b,WItem,0x0,StatsEnergyRing|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5a,0x11,0x0,0,1,0,0
0x5C Secret Book,0x458,0x2e0,0x321,0x5c,WItem,0x0,StatsSecretBook|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5b,0x12,0x0,0,1,0,0
0x5D Speedwings,0x459,0x2e1,0x322,0x5d,WItem,0x0,StatsSpeedwings|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5c,0x13,0x0,0,1,0,0
0x5E Goddess Icon,0x45a,0x2e2,0x323,0x5e,WItem,0x0,StatsGoddessIcon|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5d,0x14,0x0,0,1,0,0
0x5F Dragon Shield,0x45b,0x2e3,0x324,0x5f,WItem,0x0,StatsDragonshield|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5e,0x15,0x0,0,1,0,0
0x60 Talisman,0x45c,0x2e4,0x325,0x60,WItem,0x0,StatsTalisman|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x5f,0x16,0x0,0,1,0,0
0x61 Boots,0x45d,0x2e5,0x326,0x61,WItem,0x0,StatsBoots|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x60,0x17,0x0,0,1,0,0
0x62 Body Ring,0x45e,0x2e6,0x327,0x62,WItem,0x0,StatsBodyRing|IsPointer,0x0,1,0,0,0,0,0x11,8000,NoRank,0x61,0x18,0x0,0,1,0,0
0x63 Hero Crest,0x45f,0x2e7,0x328,0x63,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x62,0x19,0x0,0,1,0,0
0x64 Knight Crest,0x461,0x2e9,0x32a,0x64,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x63,0x1a,0x0,0,1,0,0
0x65 Orion's Bolt,0x462,0x2ea,0x32b,0x65,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x64,0x1b,0x0,0,1,0,0
0x66 Elysian Whip,0x463,0x2eb,0x32c,0x66,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x65,0x1c,0x0,0,1,0,0
0x67 Guiding Ring,0x464,0x2ec,0x32d,0x67,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x66,0x1d,0x0,0,1,0,0
0x68 Chest Key,0x469,0x2f1,0x332,0x68,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,300,NoRank,0x67,0x1e,0x0,0,1,0,0
0x69 Door Key,0x46a,0x2f2,0x333,0x69,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,50,NoRank,0x68,0x1f,0x0,0,1,0,0
0x6A Lockpick,0x46b,0x2f3,0x334,0x6a,WItem,0x0,0x0,0x0,15,0,0,0,0,0x11,80,NoRank,0x69,0x20,0x0,0,1,0,0
0x6B Vulnerary,0x46c,0x2f4,0x335,0x6b,WItem,0x0,0x0,0x0,3,0,0,0,0,0x11,100,NoRank,0x6a,0x21,0x0,0,1,0,0
0x6C Elixir,0x46d,0x2f5,0x336,0x6c,WItem,0x0,0x0,0x0,3,0,0,0,0,0x11,1000,NoRank,0x6b,0x22,0x0,0,1,0,0
0x6D Pure Water,0x46e,0x2f6,0x337,0x6d,WItem,0x0,0x0,0x0,3,0,0,0,0,0x11,300,NoRank,0x6c,0x23,0x0,0,1,0,0
0x6E Antitoxin,0x46f,0x2f8,0x338,0x6e,WItem,0x0,0x0,0x0,3,0,0,0,0,0x11,150,NoRank,0x6d,0x24,0x0,0,1,0,0
0x6F Torch,0x470,0x2f7,0x339,0x6f,WItem,0x0,0x0,0x0,5,0,0,0,0,0x11,100,NoRank,0x6e,0x25,0x0,0,1,0,0
0x70 Delphi Shield,0x471,0x2f9,0x33a,0x70,WItem,IsShield|Unbreakable,0x0,EffFlier|IsPointer,0,0,0,0,0,0x11,10000,NoRank,0x6f,0x0,0x0,0,1,0,0
0x71 Member Card,0x472,0x2fa,0x33b,0x71,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,6000,NoRank,0x84,0x0,0x0,0,1,0,0
0x72 Silver Card,0x473,0x2fb,0x33c,0x72,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,4000,NoRank,0x85,0x0,0x0,0,1,0,0
0x73 White Gem,0x474,0x2fc,0x0,0x73,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x86,0x0,0x0,0,1,0,0
0x74 Blue Gem,0x475,0x2fd,0x0,0x74,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,10000,NoRank,0x87,0x0,0x0,0,1,0,0
0x75 Red Gem,0x476,0x2fe,0x0,0x75,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,5000,NoRank,0x88,0x0,0x0,0,1,0,0
0x76 Gold,0x477,0x2ff,0x33d,0x76,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x89,0x0,0x0,0,1,0,0
0x77 Uber Spear,0x411,0x298,0x0,0x77,WLance,IsWeapon,StatsUberSpear|IsPointer,0x0,15,12,70,10,5,0x12,100,BRank,0x1c,0x0,0x0,1,1,0,0
0x78 Chest Key (5),0x469,0x2f1,0x332,0x78,WItem,0x0,0x0,0x0,5,0,0,0,0,0x11,300,NoRank,0x67,0x26,0x0,0,1,0,0
0x79 Mine,0x47a,0x303,0x33f,0x79,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,500,NoRank,0x8c,0x27,0x0,0,1,0,0
0x7A Light Rune,0x47b,0x304,0x340,0x7a,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,800,NoRank,0x8d,0x28,0x0,0,1,0,0
0x7B Iron Rune,0x47c,0x305,0x341,0x7b,WItem,NegateCrits|Unbreakable,0x0,0x0,0,0,0,0,0,0x11,5000,NoRank,0x8e,0x29,0x0,0,1,0,0
0x7C Filla's Might,0x47d,0x306,0x342,0x7c,WRing,Unrepairable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x8f,0x2a,0x0,0,1,0,0
0x7D Ninis's Grace,0x47e,0x307,0x343,0x7d,WRing,Unrepairable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x90,0x2b,0x0,0,1,0,0
0x7E Thor's Ire,0x47f,0x308,0x344,0x7e,WRing,Unrepairable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x91,0x2c,0x0,0,1,0,0
0x7F Set's Litany,0x480,0x309,0x345,0x7f,WRing,Unrepairable,0x0,0x0,15,0,0,0,0,0x11,0,NoRank,0x92,0x2d,0x0,0,1,0,0
0x80 Emblem Blade,0x481,0x30c,0x0,0x80,WSword,IsWeapon,0x0,0x0,60,5,90,5,0,0x11,0,ERank,0x93,0x0,0x0,1,1,0,0
0x81 Emblem Lance,0x482,0x30d,0x0,0x81,WLance,IsWeapon,0x0,0x0,60,7,80,8,0,0x11,0,ERank,0x94,0x0,0x0,1,1,0,0
0x82 Emblem Axe,0x483,0x30e,0x0,0x82,WAxe,IsWeapon,0x0,0x0,60,8,75,10,0,0x11,0,ERank,0x95,0x0,0x0,1,1,0,0
0x83 Emblem Bow,0x484,0x30f,0x0,0x83,WBow,IsWeapon,0x0,EffFlier|IsPointer,60,6,85,5,0,0x22,0,ERank,0x96,0x0,0x0,1,1,0,0
0x84 Durandal,0x486,0x28d,0x0,0x84,WSword,IsWeapon|Unsellable|EliwoodLock,StatsDurandal|IsPointer,EffDragon|IsPointer,20,17,90,16,0,0x11,0,NoRank,0x97,0x0,0x0,1,0,0,0
0x85 Armads,0x487,0x2ab,0x0,0x85,WAxe,IsWeapon|Unsellable|HectorLock,StatsArmads|IsPointer,EffDragon|IsPointer,25,18,85,18,0,0x11,0,NoRank,0x98,0x0,0x0,1,0,0,0
0x86 Aureola,0x43e,0x2c6,0x0,0x86,WLight,IsWeapon|IsMagic|Unsellable,StatsAureola|IsPointer,EffAureola|IsPointer,20,15,90,14,5,0x12,0,SRank,0x99,0x0,0x0,0,1,0,0
0x87 Earth Seal,0x465,0x2ed,0x32e,0x87,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x9a,0x2e,0x0,0,1,0,0
0x88 Afa's Drops,0x468,0x2f0,0x331,0x88,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x9b,0x2f,0x0,0,1,0,0
0x89 Heaven Seal,0x466,0x2ee,0x32f,0x89,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,20000,NoRank,0x9c,0x30,0x0,0,1,0,0
0x8A Emblem Seal,0x485,0x302,0x33e,0x8a,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,0,NoRank,0x9d,0x0,0x0,0,1,0,0
0x8B Fell Contract,0x467,0x2ef,0x330,0x8b,WItem,0x0,0x0,0x0,1,0,0,0,0,0x11,50000,NoRank,0x9e,0x31,0x0,0,1,0,0
0x8C Sol Katti,0x3fd,0x283,0x0,0x8c,WSword,IsWeapon|Unsellable|LynLock,StatsSolKatti|IsPointer,EffDragon|IsPointer,30,12,95,14,25,0x11,0,NoRank,0x9f,0x0,0x0,2,1,0,0
0x8D Wolf Beil,0x423,0x2aa,0x0,0x8d,WAxe,IsWeapon|HectorLock,0x0,EffRapier|IsPointer,30,10,75,10,5,0x11,200,NoRank,0xa0,0x0,0x0,1,1,0,0
0x8E Ereshkigal,0x445,0x2cd,0x0,0x8e,WDark,IsWeapon|IsMagic|Unbreakable,0x0,0x0,0,20,95,12,0,0x12,0,NoRank,0xa1,0x0,0x0,1,1,0,0
0x8F Flametongue,0x488,0x3dd,0x3de,0x8f,WStone,IsWeapon|Unbreakable|MonsterWeapon|NegateDef,StatsFlametongue|IsPointer,0x0,0,10,100,0,0,0x13,0,ARank,0xa2,0x0,0x0,0,1,0,0
0x90 Regal Blade,0x407,0x28e,0x0,0x90,WSword,IsWeapon,0x0,0x0,25,20,85,9,0,0x11,600,SRank,0xa3,0x0,0x0,1,1,0,0
