"0xc965a0","Main Portrait Pointer","Mini Portrait Pointer","Palette Pointer","Mouth Pointer","Generic Portrait Pointer (usually 00s)","Mouth X-Position","Mouth Y-Position","Eye X-Position","Eye Y-Position","Eye Control","##UNKNOWN##"
"0x27 Dorcas","0x8c72ff4","0x8c72e24","0x8c72804","0x8c72824","0x0","2","4","3","2","0x1","0x0"
"0x28 Bartre","0x8c71f20","0x8c71d4c","0x8c7172c","0x8c7174c","0x0","2","5","2","3","0x1","0x0"
"0x29 Oswin","0x8c70e74","0x8c70c8c","0x8c7066c","0x8c7068c","0x0","2","4","3","2","0x1","0x0"
"0x2A Dart","0x8c6fee8","0x8c6fd38","0x8c6f718","0x8c6f738","0x0","3","5","3","3","0x1","0x0"
"0x2B Wil","0x8c6ef00","0x8c6ed38","0x8c6e718","0x8c6e738","0x0","2","5","3","3","0x1","0x0"
"0x2C Guy","0x8c6dfe8","0x8c6de14","0x8c6d7f4","0x8c6d814","0x0","2","6","3","4","0x1","0x0"
"0x2D Karla","0x8c6d000","0x8c6ce3c","0x8c6c81c","0x8c6c83c","0x0","2","5","3","3","0x1","0x0"
"0x2E Rath","0x8c6c030","0x8c6be68","0x8c6b848","0x8c6b868","0x0","2","5","3","3","0x1","0x0"
"0x2F Kent","0x8c6b080","0x8c6aec4","0x8c6a8a4","0x8c6a8c4","0x0","2","5","3","3","0x1","0x0"
"0x30 Sain","0x8c6a038","0x8c69e7c","0x8c6985c","0x8c6987c","0x0","2","5","3","3","0x1","0x0"
"0x31 Lowen","0x8c690e0","0x8c68f28","0x8c68908","0x8c68928","0x0","2","5","3","3","0x1","0x0"
"0x32 Marcus","0x8c68134","0x8c67f90","0x8c67970","0x8c67990","0x0","2","5","3","3","0x1","0x0"
"0x33 Florina","0x8c67238","0x8c67044","0x8c66a24","0x8c66a44","0x0","2","7","3","5","0x1","0x0"
"0x34 Shy Florina","0x8c67238","0x8c67044","0x8c66a24","0x8c66a44","0x0","2","7","3","5","0x6","0x0"
"0x35 Fiora","0x8c661fc","0x8c6602c","0x8c65a0c","0x8c65a2c","0x0","2","5","3","3","0x1","0x0"
"0x36 Heath","0x8c65084","0x8c64e94","0x8c64874","0x8c64894","0x0","3","5","3","3","0x1","0x0"
"0x37 Vaida","0x8c641b0","0x8c64008","0x8c639e8","0x8c63a08","0x0","2","5","3","3","0x1","0x0"
"0x38 Erk","0x8c63228","0x8c6304c","0x8c62a2c","0x8c62a4c","0x0","2","6","3","4","0x1","0x0"
"0x39 Nino","0x8c622b0","0x8c620ec","0x8c61acc","0x8c61aec","0x0","2","6","3","4","0x1","0x0"
"0x3A Pent","0x8c61234","0x8c61058","0x8c60a38","0x8c60a58","0x0","3","5","4","3","0x1","0x0"
"0x3B Louise","0x8c6029c","0x8c600d0","0x8c5fab0","0x8c5fad0","0x0","2","6","3","4","0x1","0x0"
"0x3C Canas","0x8c5f354","0x8c5f184","0x8c5eb64","0x8c5eb84","0x0","2","5","3","3","0x1","0x0"
"0x3D Lucius","0x8c5e35c","0x8c5e174","0x8c5db54","0x8c5db74","0x0","2","5","3","3","0x1","0x0"
"0x3E Serra","0x8c5d334","0x8c5d138","0x8c5cb18","0x8c5cb38","0x0","2","6","3","4","0x1","0x0"
"0x3F Priscilla","0x8c5c3c0","0x8c5c208","0x8c5bbe8","0x8c5bc08","0x0","2","6","3","4","0x1","0x0"
"0x40 Farina","0x8c5b434","0x8c5b25c","0x8c5ac3c","0x8c5ac5c","0x0","2","5","3","3","0x1","0x0"
"0x41 Nils","0x8c5a554","0x8c5a3b8","0x8c59d98","0x8c59db8","0x0","2","7","3","5","0x1","0x0"
"0x42 Sad Nils","0x8c596a4","0x8c59508","0x8c58ee8","0x8c58f08","0x0","2","7","3","5","0x1","0x0"
"0x43 Possessed Nils","0x8c58860","0x8c586c4","0x8c580a4","0x8c580c4","0x0","2","7","3","5","0x1","0x0"
"0x44 Nils deep in thought","0x8c5a554","0x8c5a3b8","0x8c59d98","0x8c59db8","0x0","2","7","3","5","0x6","0x0"
"0x45 Renault","0x8c578a0","0x8c576e8","0x8c570c8","0x8c570e8","0x0","2","5","3","3","0x1","0x0"
"0x46 Isadora","0x8c56908","0x8c56730","0x8c56110","0x8c56130","0x0","2","6","3","4","0x1","0x0"
"0x47 Harken","0x8c55820","0x8c5564c","0x8c5502c","0x8c5504c","0x0","2","5","3","3","0x1","0x0"
"0x48 Rebecca","0x8c54860","0x8c5469c","0x8c5407c","0x8c5409c","0x0","2","6","3","4","0x1","0x0"
"0x49 Wallace","0x8c538b8","0x8c53718","0x8c530f8","0x8c53118","0x0","2","4","2","2","0x1","0x0"
"0x4A Merlinus","0x8c52958","0x8c52798","0x8c52178","0x8c52198","0x0","2","5","2","3","0x1","0x0"
"0x4B Hannah (Old fortune teller)","0x8c51b44","0x8c51aac","0x8c5148c","0x8c514ac","0x0","2","6","2","4","0x1","0x0"
"0x4C Elenora","0x8c50d0c","0x8c50c74","0x8c50654","0x8c50674","0x0","1","5","2","3","0x1","0x0"
"0x4D Serious Elenora","0x8c50d0c","0x8c50c74","0x8c50654","0x8c50674","0x0","1","5","2","3","0x6","0x0"
"0x4E Uther","0x8c4fc44","0x8c4fbac","0x8c4f58c","0x8c4f5ac","0x0","3","4","4","2","0x1","0x0"
"0x4F Elbert","0x8c4eddc","0x8c4ed44","0x8c4e724","0x8c4e744","0x0","2","5","3","3","0x1","0x0"
"0x50 Fargus","0x8c4de1c","0x8c4dc30","0x8c4d610","0x8c4d630","0x0","2","5","3","3","0x1","0x0"
"0x51 Zephiel","0x8c4ce64","0x8c4ccc8","0x8c4c6a8","0x8c4c6c8","0x0","2","6","3","4","0x1","0x0"
"0x52 Guinevere","0x8c4c070","0x8c4bfd8","0x8c4b9b8","0x8c4b9d8","0x0","2","8","3","6","0x1","0x0"
"0x53 Desmond","0x8c4b024","0x8c4af8c","0x8c4a96c","0x8c4a98c","0x0","3","4","4","2","0x1","0x0"
"0x54 Hellene","0x8c4a13c","0x8c4a0a4","0x8c49a84","0x8c49aa4","0x0","2","5","3","3","0x1","0x0"
"0x55 Happy Hellene","0x8c49244","0x8c491ac","0x8c48b8c","0x8c48bac","0x0","2","5","3","3","0x1","0x0"
"0x56 Murdock","0x8c48258","0x8c4808c","0x8c47a6c","0x8c47a8c","0x0","2","4","3","2","0x1","0x0"
"0x57 Leila","0x8c4737c","0x8c472e4","0x8c46cc4","0x8c46ce4","0x0","2","6","3","4","0x1","0x0"
"0x58 Leila looking down with her eyes closed","0x8c46614","0x8c4657c","0x8c45f5c","0x8c45f7c","0x0","2","6","3","4","0x1","0x0"
"0x59 Hausen (Lyn's grandfather)","0x8c4581c","0x8c45784","0x8c45164","0x8c45184","0x0","2","5","2","3","0x1","0x0"
"0x5A Jan","0x8c449ec","0x8c44954","0x8c44334","0x8c44354","0x0","2","6","3","4","0x1","0x0"
"0x5B Natalie","0x8c43cb8","0x8c43b18","0x8c434f8","0x8c43518","0x0","2","6","3","4","0x1","0x0"
"0x5C Bramimond","0x8c42dc4","0x8c42d2c","0x8c4270c","0x8c4272c","0x0","2","6","3","3","0x1","0x0"
"0x5D Roland","0x8c41fa4","0x8c41f0c","0x8c418ec","0x8c4190c","0x0","2","6","3","4","0x1","0x0"
"0x5E Durban","0x8c41128","0x8c41090","0x8c40a70","0x8c40a90","0x0","2","5","3","3","0x1","0x0"
"0x5F Evil-faced Nergal (masked)","0x8c401c0","0x8c40128","0x8c3fb08","0x8c3fb28","0x0","3","5","3","3","0x1","0x0"
"0x60 Evil-faced Nergal #2 (masked)","0x8c3f244","0x8c3f1ac","0x8c3eb8c","0x8c3ebac","0x0","3","5","3","3","0x1","0x0"
"0x61 Nergal (Generic/unmasked)","0x8c3e29c","0x8c3e0b4","0x8c3da94","0x8c3dab4","0x0","3","4","3","2","0x1","0x0"
"0x62 Eil Nergal (unmasked)","0x8c3d194","0x8c3cfac","0x8c3c98c","0x8c3c9ac","0x0","2","4","3","2","0x1","0x0"
"0x63 Sonia","0x8c3c084","0x8c3be94","0x8c3b874","0x8c3b894","0x0","3","5","4","3","0x1","0x0"
"0x64 Brendan","0x8c3af18","0x8c3ad48","0x8c3a728","0x8c3a748","0x0","2","4","2","2","0x1","0x0"
"0x65 Lloyd","0x8c39f2c","0x8c39d84","0x8c39764","0x8c39784","0x0","2","5","3","3","0x1","0x0"
"0x66 Linus","0x8c38f70","0x8c38dcc","0x8c387ac","0x8c387cc","0x0","2","4","2","2","0x1","0x0"
"0x67 Limstella","0x8c37ec8","0x8c37cf8","0x8c376d8","0x8c376f8","0x0","2","5","3","3","0x1","0x0"
"0x68 Ephidel","0x8c36f4c","0x8c36eb4","0x8c36894","0x8c368b4","0x0","2","5","3","3","0x1","0x0"
"0x69 Ephidel (hooded)","0x8c362d8","0x8c36240","0x8c35c20","0x8c35c40","0x0","2","5","3","3","0x1","0x0"
"0x6A Darin","0x8c3537c","0x8c35190","0x8c34b70","0x8c34b90","0x0","2","5","3","3","0x1","0x0"
"0x6B Erik","0x8c34380","0x8c341b0","0x8c33b90","0x8c33bb0","0x0","2","5","2","3","0x1","0x0"
"0x6C Helman","0x8c33448","0x8c333b0","0x8c32d90","0x8c32db0","0x0","2","6","2","4","0x1","0x0"
"0x6D Marquess Araphen","0x8c325dc","0x8c32408","0x8c31de8","0x8c31e08","0x0","2","5","2","3","0x1","0x0"
"0x6E Groznyi","0x8c315c8","0x8c31404","0x8c30de4","0x8c30e04","0x0","2","5","3","2","0x1","0x0"
"0x6F Wire","0x8c306c8","0x8c30524","0x8c2ff04","0x8c2ff24","0x0","2","4","2","2","0x1","0x0"
"0x70 Zagan","0x8c2f6d4","0x8c2f508","0x8c2eee8","0x8c2ef08","0x0","2","5","2","3","0x1","0x0"
"0x71 Boies","0x8c2e744","0x8c2e580","0x8c2df60","0x8c2df80","0x0","2","4","2","2","0x1","0x0"
"0x72 Sealen","0x8c2d718","0x8c2d558","0x8c2cf38","0x8c2cf58","0x0","2","5","3","3","0x1","0x0"
"0x73 Bauker","0x8c2c780","0x8c2c5c4","0x8c2bfa4","0x8c2bfc4","0x0","2","5","3","3","0x1","0x0"
"0x74 Bernard","0x8c2b730","0x8c2b54c","0x8c2af2c","0x8c2af4c","0x0","2","5","3","2","0x1","0x0"
"0x75 Damian","0x8c306c8","0x8c30524","0x8c2af0c","0x8c2ff24","0x0","2","4","2","2","0x1","0x0"
"0x76 Zoldam","0x8c2a8d8","0x8c2a738","0x8c2a118","0x8c2a138","0x0","2","6","3","4","0x1","0x0"
"0x77 Uhai","0x8c29970","0x8c297c0","0x8c291a0","0x8c291c0","0x0","2","4","3","2","0x1","0x0"
"0x78 Aion","0x8c325dc","0x8c32408","0x8c29180","0x8c31e08","0x0","2","5","2","3","0x1","0x0"
"0x79 Georg","0x8c28874","0x8c286b4","0x8c28094","0x8c280b4","0x0","3","5","3","3","0x1","0x0"
"0x7A Cameron","0x8c27978","0x8c277e8","0x8c271c8","0x8c271e8","0x0","2","6","3","4","0x1","0x0"
"0x7B Oleg","0x8c2d718","0x8c2d558","0x8c271a8","0x8c2cf58","0x0","2","5","3","3","0x1","0x0"
"0x7C Eubans","0x8c268c8","0x8c26708","0x8c260e8","0x8c26108","0x0","2","5","3","3","0x1","0x0"
"0x7D Kishuna","0x8c25aac","0x8c25910","0x8c252f0","0x8c25310","0x0","2","5","3","3","0x1","0x0"
"0x7E Paul","0x8c24b00","0x8c24940","0x8c24320","0x8c24340","0x0","2","5","3","3","0x1","0x0"
"0x7F Jasmine","0x8c23b54","0x8c2399c","0x8c2337c","0x8c2339c","0x0","2","5","3","3","0x1","0x0"
"0x80 Pascal","0x8c2c780","0x8c2c5c4","0x8c2335c","0x8c2bfc4","0x0","2","5","3","3","0x1","0x0"
"0x81 Kenneth","0x8c22b0c","0x8c22940","0x8c22320","0x8c22340","0x0","2","5","3","3","0x1","0x0"
"0x82 Jerme","0x8c21b20","0x8c21974","0x8c21354","0x8c21374","0x0","3","5","3","3","0x1","0x0"
"0x83 Maxime","0x8c27978","0x8c277e8","0x8c21334","0x8c271e8","0x0","2","6","3","4","0x1","0x0"
"0x84 Ursula","0x8c20bf8","0x8c20a58","0x8c20438","0x8c20458","0x0","2","5","3","3","0x1","0x0"
"0x85 Teodor","0x8c1fd18","0x8c1fb6c","0x8c1f54c","0x8c1f56c","0x0","2","5","3","3","0x1","0x0"
"0x86 Denning","0x8c1ef20","0x8c1ed90","0x8c1e770","0x8c1e790","0x0","3","5","3","3","0x1","0x0"
"0x87 Kaim","0x8c28874","0x8c286b4","0x8c1e750","0x8c280b4","0x0","3","5","3","3","0x1","0x0"
"0x88 Batta","0x8c1df90","0x8c1ddd8","0x8c1d7b8","0x8c1d7d8","0x0","2","5","3","3","0x1","0x0"
"0x89 Zugu","0x8c1cf28","0x8c1cd4c","0x8c1c72c","0x8c1c74c","0x0","2","5","3","3","0x1","0x0"
"0x8A Glass","0x8c1c048","0x8c1beb0","0x8c1b890","0x8c1b8b0","0x0","2","5","3","3","0x1","0x0"
"0x8B Migal","0x8c1b098","0x8c1aee0","0x8c1a8c0","0x8c1a8e0","0x0","2","5","2","3","0x1","0x0"
"0x8C Carjiga","0x8c1a008","0x8c19e58","0x8c19838","0x8c19858","0x0","2","5","3","3","0x1","0x0"
"0x8D Bug","0x8c18ff4","0x8c18e40","0x8c18820","0x8c18840","0x0","2","5","3","3","0x1","0x0"
"0x8E Puzon","0x8c18068","0x8c17eac","0x8c1788c","0x8c178ac","0x0","2","5","2","3","0x1","0x0"
"0x8F Bool","0x8c170cc","0x8c16efc","0x8c168dc","0x8c168fc","0x0","2","5","2","3","0x1","0x0"
"0x90 Heintz","0x8c2a8d8","0x8c2a738","0x8c168bc","0x8c2a138","0x0","2","6","3","4","0x1","0x0"
"0x91 Beyard","0x8c268c8","0x8c26708","0x8c1689c","0x8c26108","0x0","2","5","3","3","0x1","0x0"
"0x92 Yogi","0x8c16074","0x8c15eb8","0x8c15898","0x8c158b8","0x0","2","5","3","3","0x1","0x0"
"0x93 Eagler","0x8c15074","0x8c14ea8","0x8c14888","0x8c148a8","0x0","2","5","3","3","0x1","0x0"
"0x94 Lundgren","0x8c13ff4","0x8c13e3c","0x8c1381c","0x8c1383c","0x0","2","5","3","3","0x1","0x0"
"0x95 Unlisted (Looks like a blue haired generic mercenary boss)","0x8c1c048","0x8c1beb0","0x8c137fc","0x8c1b8b0","0x0","2","5","3","3","0x1","0x0"
"0x96 Lloyd (Morph)","0x8c1304c","0x8c12ea8","0x8c12888","0x8c128a8","0x0","2","5","3","3","0x1","0x0"
"0x97 Linus (Morph)","0x8c120d8","0x8c11f34","0x8c11914","0x8c11934","0x0","2","4","2","2","0x1","0x0"
"0x98 Brendan (Morph)","0x8c10fe8","0x8c10e18","0x8c107f8","0x8c10818","0x0","2","4","2","2","0x1","0x0"
"0x99 Uhai (Morph)","0x8c10084","0x8c0fed4","0x8c0f8b4","0x8c0f8d4","0x0","2","4","3","2","0x1","0x0"
"0x9A Ursula (Morph)","0x8c0f1cc","0x8c0f02c","0x8c0ea0c","0x8c0ea2c","0x0","2","5","3","3","0x1","0x0"
"0x9B Kenneth (Morph)","0x8c0e1dc","0x8c0e010","0x8c0d9f0","0x8c0da10","0x0","2","5","3","3","0x1","0x0"
"0x9C Darin (Morph)","0x8c0d178","0x8c0cf90","0x8c0c970","0x8c0c990","0x0","2","5","3","3","0x1","0x0"
"0x9D Jerme (Morph)","0x8c0c198","0x8c0bfec","0x8c0b9cc","0x8c0b9ec","0x0","3","5","3","3","0x1","0x0"
"0x9E Roy (Young)","0x8c0b444","0x8c0b3ac","0x8c0ad8c","0x8c0adac","0x0","2","8","3","6","0x1","0x0"
"0x9F Lilina (Young)","0x8c0a7b0","0x8c0a718","0x8c0a0f8","0x8c0a118","0x0","2","8","3","6","0x1","0x0"
"0xA0 Fa","0x8c09a38","0x8c0988c","0x8c0926c","0x8c0928c","0x0","2","7","3","5","0x1","0x0"
"0xA1 Sophia","0x8c08b08","0x8c08954","0x8c08334","0x8c08354","0x0","2","7","2","5","0x1","0x0"
"0xA2 Bishop that gives Lyn the Mani Katti","0x8c07c54","0x8c07bbc","0x8c0759c","0x8c075bc","0x0","2","6","2","4","0x1","0x0"
"0xA3 Caelin servant that talks to you at the end of chapter 10","0x8c06ec8","0x8c06e30","0x8c06810","0x8c06830","0x0","2","5","3","3","0x1","0x0"
"0xA4 Caelin servant that talks to you at the end of chapter 10 looking relieved","0x8c06ec8","0x8c06e30","0x8c067f0","0x8c06830","0x0","2","5","3","3","0x1","0x0"
"0xA5 Generic Blue Soldier","0x8c06148","0x8c060b0","0x8c05a90","0x8c05ab0","0x0","3","6","3","3","0x1","0x0"
"0xA6 Generic Red Soldier","0x8c06148","0x8c060b0","0x8c05a70","0x8c05ab0","0x0","3","6","3","3","0x1","0x0"
"0xA7 Generic Gray Soldier","0x8c06148","0x8c060b0","0x8c05a50","0x8c05ab0","0x0","3","6","3","3","0x1","0x0"
"0xA8 Generic Bronze Soldier","0x8c06148","0x8c060b0","0x8c05a30","0x8c05ab0","0x0","3","6","3","3","0x1","0x0"
"0xA9 Random male citizen (Balding man with moustache)","0x8c05350","0x8c052b8","0x8c04c98","0x8c04cb8","0x0","3","6","3","4","0x1","0x0"
"0xAA Random male citizen (Green hair and moustache)","0x8c045d8","0x8c04540","0x8c03f20","0x8c03f40","0x0","2","5","3","3","0x1","0x0"
"0xAB Random male citizen (The above, recolored with brown hair)","0x8c045d8","0x8c04540","0x8c03f00","0x8c03f40","0x0","2","5","3","3","0x1","0x0"
"0xAC Random male citizen (Scrawny, older man with a moustache)","0x8c0388c","0x8c037f4","0x8c031d4","0x8c031f4","0x0","2","6","3","4","0x1","0x0"
"0xAD Random female citizen (Older lady with her hair in a bun)","0x8c02b68","0x8c02ad0","0x8c024b0","0x8c024d0","0x0","3","6","3","4","0x1","0x0"
"0xAE Random female citizen (Younger lady with freckles)","0x8c01e34","0x8c01d9c","0x8c0177c","0x8c0179c","0x0","2","6","3","4","0x1","0x0"
"0xAF Random female citizen (Younger lady with long hair)","0x8c010ac","0x8c01014","0x8c009f4","0x8c00a14","0x0","2","6","3","4","0x1","0x0"
"0xB0 Random male citizen (Younger man with short hair)","0x8c00360","0x8c002c8","0x8bffca8","0x8bffcc8","0x0","2","5","3","3","0x1","0x0"
"0xB1 Random male citizen (Younger man with freckles)","0x8bff600","0x8bff568","0x8bfef48","0x8bfef68","0x0","2","6","3","4","0x1","0x0"
"0xB2 Random male citizen (Boy with short blond hair)","0x8bfe994","0x8bfe8fc","0x8bfe2dc","0x8bfe2fc","0x0","2","7","3","5","0x1","0x0"
"0xB3 Random male citizen (Boy with short ruddy [Reddish orange] hair)","0x8bfe994","0x8bfe8fc","0x8bfe2bc","0x8bfe2fc","0x0","2","7","3","5","0x1","0x0"
"0xB4 Random female citizen (Little girl with brown pigtails)","0x8bfdcc8","0x8bfdc30","0x8bfd610","0x8bfd630","0x0","2","7","3","5","0x1","0x0"
"0xB5 Random female citizen (Younger lady with long orange hair)","0x8c010ac","0x8c01014","0x8bfd5f0","0x8c00a14","0x0","2","6","3","4","0x1","0x0"
"0xB6 Random male citizen (Old man with a short beard)","0x8bfcf24","0x8bfce8c","0x8bfc86c","0x8bfc88c","0x0","2","7","2","5","0x1","0x0"
"0xB7 Random female citizen (Old lady with a hood and grey hair)","0x8bfc1c0","0x8bfc128","0x8bfbb08","0x8bfbb28","0x0","2","6","2","4","0x1","0x0"
"0xB8 Random female citizen (same as above, only recolored, and with brown hair)","0x8bfc1c0","0x8bfc128","0x8bfbae8","0x8bfbb28","0x0","2","6","2","4","0x1","0x0"
"0xB9 Random male citizen (Younger with orange hair)","0x8c00360","0x8c002c8","0x8bfbac8","0x8bffcc8","0x0","2","5","3","3","0x1","0x0"
"0xBA Random enemy assassin/Black fang member","0x8bfb3e8","0x8bfb350","0x8bfad30","0x8bfad50","0x0","2","6","2","3","0x1","0x0"
"0xBB Random enemy hero/thug (looks like it could be a boss, but no name was attached to it)","0x8c1df90","0x8c1ddd8","0x8bfad10","0x8c1d7d8","0x0","2","5","3","3","0x1","0x0"
"0xBC Random enemy brigand (headband and buckteeth)","0x8bfa62c","0x8bfa594","0x8bf9f74","0x8bf9f94","0x0","2","6","2","4","0x1","0x0"
"0xBD Random enemy brigand (Sideburns)","0x8bf98cc","0x8bf9834","0x8bf9214","0x8bf9234","0x0","2","5","2","3","0x1","0x0"
"0xBE Enemy Swordfighter card","0x0","0x0","0x8bf8c2c","0x0","0x8bf8c4c","0","0","0","0","0x1","0x0"
"0xBF Enemy Swordmaster card","0x0","0x0","0x8bf86b4","0x0","0x8bf86d4","0","0","0","0","0x1","0x0"
"0xC0 Enemy Fighter card","0x0","0x0","0x8bf7f4c","0x0","0x8bf7f6c","0","0","0","0","0x1","0x0"
"0xC1 Enemy Warrior card","0x0","0x0","0x8bf774c","0x0","0x8bf776c","0","0","0","0","0x1","0x0"
"0xC2 Enemy Knight card","0x0","0x0","0x8bf6fd8","0x0","0x8bf6ff8","0","0","0","0","0x1","0x0"
"0xC3 Enemy General card","0x0","0x0","0x8bf679c","0x0","0x8bf67bc","0","0","0","0","0x1","0x0"
"0xC4 Enemy Archer card","0x0","0x0","0x8bf61b4","0x0","0x8bf61d4","0","0","0","0","0x1","0x0"
"0xC5 Enemy Sniper card","0x0","0x0","0x8bf5b78","0x0","0x8bf5b98","0","0","0","0","0x1","0x0"
"0xC6 Enemy Cleric card","0x0","0x0","0x8bf5570","0x0","0x8bf5590","0","0","0","0","0x1","0x0"
"0xC7 Enemy Bishop card","0x0","0x0","0x8bf4ec8","0x0","0x8bf4ee8","0","0","0","0","0x1","0x0"
"0xC8 Enemy Mage card","0x0","0x0","0x8bf47e8","0x0","0x8bf4808","0","0","0","0","0x1","0x0"
"0xC9 Enemy Sage card","0x0","0x0","0x8bf4134","0x0","0x8bf4154","0","0","0","0","0x1","0x0"
"0xCA Enemy Shaman card","0x0","0x0","0x8bf3aa0","0x0","0x8bf3ac0","0","0","0","0","0x1","0x0"
"0xCB Enemy Druid card","0x0","0x0","0x8bf330c","0x0","0x8bf332c","0","0","0","0","0x1","0x0"
