"0xb7b58c","Class Name","Class Description","Class Number","This Class Promotes To","Map Sprite# (standing)","Walking Speed","Default portrait","***UNKNOWN***","***UNKNOWN***","Base HP","Base STR/MGC","Base SKL","Base SPD","Base DEF","Base MDF","Base CON","Base MOV","Max HP","Max STR/MGC","Max SKL","Max SPD","Max DEF","Max MDF","Max CON","Class Relative Power","HP Growth","Str Growth","Skl Growth","Spd Growth","Def Growth","Res Growth","Luck Growth","HP Promotion Bonus","STR/MGC Promotion Bonus","SKL Promotion Bonus","SPD Promotion Bonus","DEF Promotion Bonus","RES Promotion Bonus","Class Ability 1","Class Ability 2","Class Ability 3","Class Ability 4","Base Sword Level","Base Spear Level","Base Axe Level","Base Bow Level","Base Staff Level","Base Anima Level","Base Light Level","Base Dark Level","Battle Animation Pointer","Movement Cost Pointer","Movement Cost(rain) Pointer","Movement Cost(snow) Pointer","Terrain defence bonus","Terrain avoid bonus","Terrain resistance bonus","***UNKNOWN*** Pointer"
"Swordmaster (F)","0xfcf8","0x4b4","0xa1","0x7c","0x84","79","0x2a","0xff","0xca","85","-123","111","-115","32","6","5","99","-77","116","-121","90","11","-3","-108","0x90","-107","-22","-2","-7","12","93","-17","86","16","98","68","-51","25","0xcb","0xd0","0x74","0x93","254","76","218","58","53","235","143","71","0x823ab6f7","0x21653c1b","0x6f938eed","0xcd4e6f76","0xa165edce","0xdc10bc53","0x93a99ac","0x45b97d45"
"Fighter","0x9b62","0xcad6","0x54","0x89","0xad","25","0xa0","0x13","0xe1","-116","43","-73","-80","-38","-1","43","124","-2","18","3","48","-116","108","43","0x98","-115","58","93","93","115","-58","-82","55","-87","70","-15","56","-65","0xfe","0xba","0x12","0x17","232","126","107","119","212","157","181","59","0x3aa97e23","0xcff754a9","0xb77ae867","0x6a231082","0xa68658ce","0xd267f49b","0x7f59a9d6","0xd5b7ba3c"
"Warrior","0xdc11","0x29e0","0xb","0x69","0x77","156","0x7c","0xb3","0x7b","115","106","118","110","47","11","-99","-30","-123","-32","102","-51","-44","73","-12","0xdc","74","2","126","61","89","94","18","6","122","82","-110","-118","34","0x5d","0x27","0x9","0x9f","202","132","36","238","88","105","18","79","0x49d5907a","0x7f85ff32","0x24f152f","0x24c83d7e","0x49154599","0x3f48c8cb","0x978e5509","0x91cd1a04"
"Knight","0x127","0xefbb","0xea","0x24","0xcb","136","0x6d","0x6f","0x25","1","-117","-33","-9","85","18","113","-39","86","18","-116","96","45","9","79","0x7a","-112","73","-127","113","-20","102","-27","-68","33","-127","-85","-109","110","0x68","0x10","0xc9","0x24","6","106","96","75","98","240","221","66","0x58ee093f","0xae79f5a9","0x49b8be51","0x275d228a","0x5bad9909","0x228a049d","0xda9e146d","0x24853bf"
"Knight (F)","0xdc4","0xd7c3","0xc2","0xae","0x4d","39","0x1","0x12","0x38","9","-34","-41","-107","-18","51","11","-114","83","72","2","6","106","-48","102","0xfb","75","30","28","-50","-109","-127","80","74","57","-61","111","-61","-33","0xd4","0x75","0x92","0x44","166","138","126","164","126","170","147","4","0xfe8aa644","0x49c4dc97","0xf7924402","0x7067a24","0x3a249742","0x274fe382","0x56f59c01","0x289e8112"
"General","0x4985","0x228a","0x6d","0x94","0x4","122","0x46","0x2e","0x7a","-62","-18","-110","122","38","38","1","-95","-76","81","18","21","107","105","18","0x6e","-32","-32","58","73","-37","-45","-83","9","73","126","77","-60","-72","0x48","0x2","0x32","0xff","37","9","59","201","234","58","73","126","0x49b8b51d","0x4978408c","0x6bda355d","0xb40125e5","0x25e560cf","0x5fe66c01","0xaf52125e","0x5df50125"
"General (F)","0xe43f","0xbf24","0x52","0xc4","0x5a","18","0x6e","0x70","0xa9","-50","36","-11","-35","15","-55","36","-34","127","48","-74","-109","79","122","-112","0x49","-116","96","45","9","113","-39","86","18","52","127","76","2","-117","0x9f","0x44","0x9d","0x24","243","172","100","169","158","4","156","43","0x7cf4024d","0xbf12429d","0x7e0934bd","0x4997c1d","0x3721a78d","0x5d01255f","0x55fbbbb5","0x27bb0124"
"Archer","0x491","0xa632","0xae","0xb7","0x92","6","0x86","0xa6","0xe7","86","18","-103","69","21","73","-117","90","-99","36","122","66","72","78","-34","0x93","-117","-97","68","-99","36","-117","-4","-63","38","-85","72","2","-125","0x7e","0x95","0x4","0xcb","36","1","79","226","78","183","73","203","0x93f48c8","0x1242d49f","0x8b49347a","0x16442493","0x15024bfb","0x24f792b","0xafe91e81","0xe9fd7e92"
"Archer (F)","0x4424","0x2b7a","0x9","0x6","0x26","210","0x33","0x31","0x9","83","-28","-87","23","55","9","113","69","21","73","126","-41","-124","36","50","0x16","23","73","-34","-1","42","9","-117","92","-49","-95","36","126","-89","0x21","0x1a","0x92","0x7a","66","72","78","222","147","219","115","112","0xa55d0127","0xe47a24bc","0x922ad91","0x495b08a","0x921a206","0x915738bb","0xcf5f8b04","0x8a0624a1"
"Sniper","0x248","0xa57e","0x20","0x9","0x6","198","0xf3","0x56","0x12","95","35","-91","73","122","22","39","1","6","-122","79","2","122","-66","72","0x2","122","-32","90","21","73","-10","-73","-70","78","18","-18","-118","58","0x49","0x15","0x4b","0x24","74","2","126","77","196","184","72","2","0xb13d49f","0xa13f8d49","0xc93b24bc","0x7f34493e","0xe24f024c","0x4f49b74e","0x249bca7a","0x7a12659a"
"Sniper (F)","0x4e7e","0x7a02","0xbe","0x4f","0x2","122","0xbe","0x49","0x2","-69","-72","36","1","-59","-114","-110","6","38","72","2","-103","93","72","2","0x45","-12","27","125","58","9","-11","25","-111","4","6","6","-87","-109","0x4","0x3b","0xc9","0x3e","73","141","63","161","188","36","159","212","0x9a490b13","0x59a966a5","0xd1fc0126","0xc5124df0","0x7bc90186","0xd742eb12","0xa6493aea","0xdc1b5852"
"Monk","0x649","0xd586","0xf3","0x50","0x12","187","0xc0","0x76","0x81","-19","98","-100","4","-127","46","-51","114","23","-53","36","-127","46","-51","-110","0x1e","53","9","-69","-64","118","-127","-19","98","-103","4","95","-125","-102","0x25","0x3d","0x6a","0x12","244","168","154","101","177","52","9","244","0xb1659aa8","0xe40624c3","0xbb937176","0x59a922c0","0x8a49966a","0x4f2eefaa","0x3f031202","0x7a49e5dc"
"Cleric","0x1194","0xb27a","0x92","0x32","0xff","37","0x9","0x8d","0x67","19","-44","-7","-61","108","36","1","-117","-97","68","-99","36","21","107","105","0x12","-12","-36","74","2","108","-42","42","33","34","-55","123","18","-117","0x9f","0x44","0x9d","0x24","79","122","144","73","243","204","42","237","0xcfb44997","0x5c3d3ca7","0x8d9c125e","0x249d7e86","0xe9f4bdbf","0xf592f2e1","0x24e43f5d","0xf591959c"
"Bishop","0x96a3","0x1245","0x32","0xc6","0x35","231","0x25","0x1","0xf3","-52","42","-19","-105","73","-115","-89","33","55","95","37","1","6","-118","40","0xd5","60","-13","36","-100","-107","81","80","115","26","-110","-76","-49","-89","0xf0","0xcf","0xc4","0x24","222","127","162","31","73","166","210","152","0xb7812486","0x7a1245fa","0xabf34416","0x7a012434","0xabf34416","0x8f02495e","0x995c4a2c","0xedb7632a"
"Bishop (F)","0x2429","0x2501","0xdf","0xe","0x4d","107","0x65","0xaa","0xa9","-4","72","2","69","-67","-3","-123","-67","44","124","58","9","59","-67","-115","0x5c","12","-71","-7","-110","-121","124","61","-61","82","18","-69","100","-79","0xfe","0x6b","0xc4","0xbf","188","36","69","253","226","55","145","96","0x643c5716","0x3d190929","0x799bd144","0x7355fb9f","0xa7de921a","0x490d39af","0xb11c9181","0xdd025532"
"Mage","0x957e","0x9904","0x3d","0x41","0x58","97","0x12","0x36","0xaa","-82","76","21","123","29","-73","73","69","-3","-30","103","-101","67","67","46","0x49","-34","127","48","-74","-7","55","60","-40","77","18","-11","-99","75","0x2e","0x24","0x93","0x4f","122","202","27","205","144","97","113","147","0x7e1af7de","0xf03ec415","0x7176eaa9","0xa2a27a93","0x1271dc46","0xb1407a49","0x920d7def","0x1b0496b0"
"Mage (F)","0xd0cb","0x7b05","0x7d","0x36","0xa8","37","0x1","0x8d","0xcf","-19","98","-56","-51","-54","84","69","-105","-14","36","122","-32","90","-6","115","0xa4","-94","-36","-103","4","-65","-99","81","27","-103","90","55","-3","-92","0xa3","0x96","0x45","0x12","187","16","55","222","98","200","205","236","0x346b9fb3","0x9f8b0124","0x4fcfa6a7","0x957ef50f","0x44f2a692","0xaee4c22c","0x1255ffe","0x215c7d45"
"Sage","0x37a5","0xc555","0x8","0x48","0x43","18","0x3b","0xdd","0x73","119","115","62","-12","-128","-128","-39","-106","69","18","-127","-98","-102","-30","66","0xd6","-113","98","-36","-50","-8","36","69","-67","-3","57","-16","-54","84","0x7a","0xce","0xad","0x93","4","46","63","56","54","41","244","235","0x71e99a32","0x9ffaefab","0xfd45024e","0x6a8fa8ba","0x2e3372a1","0x93fd4592","0xc7eda110","0x4ea2424f"
"Sage (F)","0x4512","0x1bf4","0xbd","0xb9","0x2b","234","0x24","0x1","0x36","94","27","42","8","89","-1","33","98","18","-115","63","-31","-1","57","82","0x7e","41","-108","-117","-21","37","1","-10","-73","-70","-1","76","16","-70","0x13","0x21","0xe0","0x8b","68","73","21","203","163","159","73","98","0xf0d7316e","0xc93b24ab","0x56b4863e","0x607b16a6","0x124df758","0x324728bb","0x48ae8109","0x835f0126"
"Shaman","0x4c91","0xc502","0x1a","0x91","0x4c","2","0xc5","0x36","0x22","-103","4","-59","-102","-111","76","2","-69","-64","35","-103","4","122","-50","-115","0x64","18","-69","-88","68","50","9","122","-50","-117","100","18","108","-106","0x27","0x1","0x99","0xfd","148","197","77","2","37","239","38","211","0xc5049db3","0x451992fe","0x4c1afc46","0x3f031202","0x24c9192","0x30422ccb","0xef8d9324","0x649976d5"
"Shaman (F)","0x2baa","0xd7dd","0x2d","0xcd","0x93","153","0x45","0x15","0x49","15","-112","72","2","68","-34","-42","-98","-2","-44","85","36","1","-127","113","0xec","102","-37","119","-5","-85","95","99","73","15","-112","104","-105","-23","0x82","0xcc","0xa3","0x52","204","252","226","36","1","122","224","90","0xa2a473fa","0x8b19a9dc","0x7064a1f5","0x34ed8bc3","0xfc3b9fdf","0x127911e","0x987eb545","0x13d023ee"
"Druid","0xb6f5","0xb77d","0x79","0x12","0x3b","201","0x2d","0xe9","0xa7","110","-108","14","-79","107","-6","127","-51","-40","86","-112","39","1","73","73","0x49","73","73","73","73","73","73","73","73","-86","-82","-70","-101","30","0xfc","0xc5","0xa2","0x20","245","229","159","27","98","207","125","155","0xf4b5d5a1","0x4f223de4","0xa0a2aa02","0x5c915110","0x621878b8","0xc868ebf","0xfd1fee05","0x581944ec"
"Druid (F)","0x8d75","0x9233","0x2a","0x2d","0xc9","252","0x67","0x62","0x50","104","-59","16","117","71","-65","-61","-43","-101","-50","-109","-86","76","55","-112","0x1e","-14","53","25","-86","-67","-65","15","-12","-71","25","-62","-74","73","0x37","0x43","0xab","0x6b","68","73","2","170","162","160","16","221","0x391226f2","0xcecd7196","0x2d06bf35","0x345f980b","0xc1640496","0x6497f96a","0x620c6fef","0xed6c857e"
"Cavalier","0x5cc7","0xfc9a","0xff","0xe3","0xc2","149","0x27","0x1","0xaa","-95","60","17","-38","94","-108","32","11","82","-41","-6","-71","35","-38","-6","0xe7","41","9","42","29","-81","-78","55","106","4","93","91","92","114","0x15","0xd8","0x26","0xbb","225","10","115","147","127","156","36","42","0x2d97af1d","0xaec6645","0xc8af6515","0xf853a4d6","0x3b7ad0cd","0x125a873","0x8776532a","0xc08eeead"
"Cavalier (F)","0x3dbe","0x5c1f","0x5a","0xda","0xda","98","0x6a","0xde","0x63","-125","-23","-74","104","-105","4","42","29","-81","-78","55","106","48","-34","-82","0x40","84","36","23","-18","56","82","-122","-52","85","71","18","90","110","0x86","0xb0","0x7b","0xcf","243","92","26","144","173","73","167","240","0xec73e89b","0x2a012756","0x3bb515af","0x4f0dae82","0x56055bad","0xbeb89d89","0xd5cd410c","0x1d2a0491"
"Paladin","0xb2af","0x2137","0xf0","0x6f","0xb4","208","0xdd","0x56","0xcb","67","-105","55","-49","-13","60","38","-50","110","-85","46","-43","-90","-109","-86","0xa2","-31","-9","89","-76","110","59","2","-73","-47","76","67","106","-42","0xfd","0x8d","0xfb","0x96","110","39","254","67","22","166","147","170","0x3daac0a2","0x976d6749","0xee8d311a","0xa857e634","0x69bc83c7","0x24f32fe","0xfcc92d2a","0xbf42a567"
"Paladin (F)","0xfb4a","0x5143","0x50","0xc8","0xbc","247","0xd7","0x8a","0x6d","-50","72","2","90","-110","-7","-49","118","120","-95","-49","113","84","99","-85","0x80","-63","26","-75","31","-50","-14","31","119","79","-69","76","87","18","0xc6","0xdb","0x15","0x1e","169","54","74","188","132","28","87","197","0x25a05ebd","0x57125aa1","0x44de5ec5","0xd7024f22","0x7493dbe2","0x5e27f7c6","0x2a049e42","0x45fd4fb2"
"Troubadour","0xede3","0xd80a","0xf1","0xbd","0x51","77","0x37","0x21","0x24","1","42","-29","-19","10","-78","-111","93","-22","64","34","-99","-35","43","-37","0xea","-2","-33","-64","-11","-84","72","2","42","-29","-19","-46","-39","-52","0x2f","0xd8","0xbf","0xa1","241","22","181","95","191","224","186","103","0x1274ffb5","0xa547992a","0x3da7ee90","0x4a7368cc","0xefd1d295","0x7ca5bd5f","0x40aa093a","0x83fe44af"
"Valkyrie","0xe56d","0x95f8","0x42","0x7e","0xf7","122","0x81","0x96","0x84","106","73","-58","-49","122","-33","-122","103","-75","-105","43","35","76","-126","24","0xa6","107","-43","-65","-2","-112","-99","-113","85","-21","37","1","-86","65","0x84","0xb8","0x9b","0x1e","236","72","25","210","90","223","52","180","0xbb74beb7","0x93a6db3","0x4766632a","0xecb990ca","0x9dda978b","0xdf32dbd8","0xd5d6fb50","0xef2a24f2"
"Nomad","0x5431","0xb3f7","0x5f","0x2f","0xb0","238","0xe0","0xfb","0x97","-8","-94","-3","120","-37","107","117","18","-86","76","55","-112","30","-14","53","0xf9","-96","-9","-121","-42","1","-105","-16","-97","-42","74","123","-73","67","0x2b","0x4e","0xb9","0x3a","146","42","27","180","129","241","118","133","0x463285ca","0x27909789","0x37c55701","0xb67bd907","0xc642757b","0xdd1abc5e","0x2c87fc4e","0xf9aa49e4"
"Nomad (F)","0x8815","0x1fb7","0x7f","0x93","0x46","249","0x11","0x5e","0x75","89","-64","-13","-20","75","115","59","-29","38","-1","-35","37","1","42","-87","0xfd","29","-69","-39","-126","15","-37","30","-38","115","42","-93","-3","-104","0xbb","0x8c","0x5a","0x75","18","42","29","15","237","163","117","43","0xfb4d1b70","0x18777df1","0x8eafac2a","0x4773f550","0x2eefbdb2","0x8745aa09","0xa37b2056","0x9edad326"
"Nomad Trooper","0xc03b","0xbf4d","0x7d","0xf2","0x9","24","0xcd","0x9e","0xad","51","-37","-10","-102","39","1","-86","-94","-96","89","-38","-4","-126","93","-105","0x18","-76","-70","-109","-122","105","-67","25","-25","73","-35","-95","78","-87","0xf8","0xa6","0x34","0xdd","114","150","78","148","123","98","129","216","0xe32a0495","0xec5ec9e7","0x7c2511e7","0x948ecf8b","0xadf5ad21","0x1443feb6","0xe32a49e4","0x477ec9e7"
"Nomad Trooper (F)","0xbb88","0xc1e9","0x70","0x3b","0xb4","226","0x94","0xf","0x9e","117","-113","-101","-17","11","-110","90","67","35","-25","-125","-29","-24","-73","108","0xe0","-64","93","70","-115","-70","49","47","36","-122","-78","55","45","17","0x54","0x27","0x1","0xaa","76","55","144","30","178","174","188","68","0xd34aaf82","0x7b2af1d0","0x2a124213","0x9dd79303","0xba1468ed","0xd9705341","0x52e2b86a","0xf0f9db6"
"Pegasus Knight","0x80b3","0xfee3","0xa2","0xfe","0xb3","36","0xdd","0xe9","0xe8","101","79","99","-1","28","58","-52","-75","126","-37","111","-14","36","-86","39","0x7c","-79","40","104","-106","126","-73","-70","64","78","-86","16","-32","125","0x7d","0x5","0x57","0xc6","245","130","61","155","225","116","18","42","0xfeb1b41b","0xbe33a49e","0x8144c9bf","0xc8576f1","0xf11bf1c1","0xaa93a612","0xcedeb2df","0xeeb0eb1c"
"Falcon Knight","0xf702","0xabb6","0x40","0x41","0xc1","202","0x8","0x17","0x52","95","-24","-23","36","42","29","-99","-126","-13","16","5","-31","107","79","124","0x8a","-16","-107","-29","123","-13","-89","-34","-13","-68","74","-36","121","-11","0x95","0x4","0x2a","0xc2","46","54","221","251","219","155","243","140","0x8c390978","0xb7a5c99f","0x74f0aebd","0x93c85c6","0x917c27aa","0xfb96a530","0x87d5cdbf","0x853a4d6c"
"Wywern Knight","0xbedf","0x8939","0xb5","0x2b","0x4f","2","0xc6","0xcf","0xe4","-46","-91","-45","40","-22","-71","111","-87","-109","126","-53","99","-117","118","73","0x45","-2","106","-105","-11","-57","41","-99","66","-15","48","85","-96","-100","0x7d","0x5a","0xee","0x14","178","252","197","200","171","147","246","91","0x4a6e18f3","0xfd909137","0xb8743565","0xb83f64fa","0x274da8cb","0xbe7f1701","0x9866cf60","0x1b75b43"
"Wywern Knight (F)","0xfeeb","0x5b76","0x58","0x12","0xf3","36","0x8c","0x30","0xb4","-30","-108","15","-98","117","-17","20","-64","93","70","-51","-39","27","-103","-97","0x16","-17","19","-30","36","1","-117","-38","11","-1","-43","87","18","42","0x7a","0xb6","0xff","0x4f","157","163","189","142","179","231","85","214","0xc4de5d1d","0x520caa61","0xaa24f374","0x404161a2","0x4d74e9fb","0x6a95bb0d","0x7ff3641d","0x95b1f3ff"
"Wywern Lord","0xf304","0xd42b","0xab","0xa8","0x31","2","0x52","0x29","0xd6","-46","54","-105","-2","12","90","-9","86","-100","113","-109","-28","-123","60","9","0x2a","-103","120","-39","42","26","126","-97","-119","61","-9","45","-18","27","0x3b","0xfb","0x3a","0xef","179","82","186","229","213","73","42","109","0x3e299a8a","0x39a8cbb8","0xa7e0347b","0x74eb94da","0x757bac0a","0x29cfc612","0x921f3a3f","0x45b1e04d"
"Wywern Lord (F)","0x4c03","0x6c1e","0x5d","0x2d","0x5e","106","0x77","0xe6","0x49","42","27","-28","-77","-18","15","-83","-125","104","-35","118","-54","105","22","-106","0xa6","-109","42","69","94","-74","116","-68","42","75","-123","-102","116","10","0x7f","0x1a","0xa2","0x8f","160","204","56","238","55","106","58","79","0xd3192a02","0x2a6a9737","0x460ea2fd","0x6843fb3","0xb2b2b2ac","0x48fe26f5","0x21ff13b7","0x2a49d30b"
"Soldier","0xcc49","0x5efd","0xba","0xde","0xc2","77","0xff","0x19","0x1e","102","-63","35","94","-33","71","20","93","-54","-81","60","9","-86","65","16","0x2f","65","-64","49","56","-44","-115","-127","102","-122","-112","-22","14","61","0xdb","0xf6","0xba","0x32","226","97","42","9","6","106","208","102","0x5431cafb","0x7d575eec","0x2a49e677","0xc04760b2","0xdab0d12c","0x79e017af","0xe1e9c1de","0x2a49d597"
