"0xfff2a0","HP Bonus","STR/MGC Bonus","SKL Bonus","SPD Bonus","DEF Bonus","MDF Bonus","LCK Bonus","##UNKNOWN##"
"FFF4E0 Pointer - 0x8FFF4E0","0","0","0","0","0","0","0","0x0"
"FFF4E8 Pointer - 0x8FFF4E8","0","0","0","0","0","0","0","0x0"
"FFF4F0 Pointer - 0x8FFF4F0","0","0","0","0","0","0","0","0x0"
"FFF4F8 Pointer - 0x8FFF4F8","0","0","0","0","0","0","0","0x0"
"FFF500 Pointer - 0x8FFF500","0","0","0","0","0","0","0","0x0"
"FFF508 Pointer - 0x8FFF508","0","0","0","0","0","0","0","0x0"
"FFF510 Pointer - 0x8FFF510","0","0","0","0","0","0","0","0x0"
"FFF518 Pointer - 0x8FFF518","0","0","0","0","0","0","0","0x0"
"FFF520 Pointer - 0x8FFF520","0","0","0","0","0","0","0","0x0"
"FFF528 Pointer - 0x8FFF528","0","0","0","0","0","0","0","0x0"
"FFF530 Pointer - 0x8FFF530","0","0","0","0","0","0","0","0x0"
"FFF538 Pointer - 0x8FFF538","0","0","0","0","0","0","0","0x0"
"FFF540 Pointer - 0x8FFF540","0","0","0","0","0","0","0","0x0"
"FFF548 Pointer - 0x8FFF548","0","0","0","0","0","0","0","0x0"
"FFF550 Pointer - 0x8FFF550","0","0","0","0","0","0","0","0x0"
"FFF558 Pointer - 0x8FFF558","0","0","0","0","0","0","0","0x0"
"FFF560 Pointer - 0x8FFF560","0","0","0","0","0","0","0","0x0"
"FFF568 Pointer - 0x8FFF568","0","0","0","0","0","0","0","0x0"
"FFF570 Pointer - 0x8FFF570","0","0","0","0","0","0","0","0x0"
"FFF578 Pointer - 0x8FFF578","0","0","0","0","0","0","0","0x0"
"FFF580 Pointer - 0x8FFF580","0","0","0","0","0","0","0","0x0"
"FFF588 Pointer - 0x8FFF588","0","0","0","0","0","0","0","0x0"
"FFF590 Pointer - 0x8FFF590","0","0","0","0","0","0","0","0x0"
"FFF598 Pointer - 0x8FFF598","0","0","0","0","0","0","0","0x0"
"FFF5A0 Pointer - 0x8FFF5A0","0","0","0","0","0","0","0","0x0"
"FFF5A8 Pointer - 0x8FFF5A8","0","0","0","0","0","0","0","0x0"
"FFF5B0 Pointer - 0x8FFF5B0","0","0","0","0","0","0","0","0x0"
"FFF5B8 Pointer - 0x8FFF5B8","0","0","0","0","0","0","0","0x0"
"FFF5C0 Pointer - 0x8FFF5C0","0","0","0","0","0","0","0","0x0"
"FFF5C8 Pointer - 0x8FFF5C8","0","0","0","0","0","0","0","0x0"
"FFF5D0 Pointer - 0x8FFF5D0","0","0","0","0","0","0","0","0x0"
"FFF5D8 Pointer - 0x8FFF5D8","0","0","0","0","0","0","0","0x0"
"FFF5E0 Pointer - 0x8FFF5E0","0","0","0","0","0","0","0","0x0"
"FFF5E8 Pointer - 0x8FFF5E8","0","0","0","0","0","0","0","0x0"
"FFF5F0 Pointer - 0x8FFF5F0","0","0","0","0","0","0","0","0x0"
"FFF5F8 Pointer - 0x8FFF5F8","0","0","0","0","0","0","0","0x0"
"FFF600 Pointer - 0x8FFF600","0","0","0","0","0","0","0","0x0"
"FFF608 Pointer - 0x8FFF608","0","0","0","0","0","0","0","0x0"
"FFF610 Pointer - 0x8FFF610","0","0","0","0","0","0","0","0x0"
"FFF618 Pointer - 0x8FFF618","0","0","0","0","0","0","0","0x0"
"FFF620 Pointer - 0x8FFF620","0","0","0","0","0","0","0","0x0"
"FFF628 Pointer - 0x8FFF628","0","0","0","0","0","0","0","0x0"
"FFF630 Pointer - 0x8FFF630","0","0","0","0","0","0","0","0x0"
"FFF638 Pointer - 0x8FFF638","0","0","0","0","0","0","0","0x0"
"FFF640 Pointer - 0x8FFF640","0","0","0","0","0","0","0","0x0"
"FFF648 Pointer - 0x8FFF648","0","0","0","0","0","0","0","0x0"
"FFF650 Pointer - 0x8FFF650","0","0","0","0","0","0","0","0x0"
"FFF658 Pointer - 0x8FFF658","0","0","0","0","0","0","0","0x0"
"FFF660 Pointer - 0x8FFF660","0","0","0","0","0","0","0","0x0"
"FFF668 Pointer - 0x8FFF668","0","0","0","0","0","0","0","0x0"
"FFF670 Pointer - 0x8FFF670","0","0","0","0","0","0","0","0x0"
"FFF678 Pointer - 0x8FFF678","0","0","0","0","0","0","0","0x0"
"FFF680 Pointer - 0x8FFF680","0","0","0","0","0","0","0","0x0"
"FFF688 Pointer - 0x8FFF688","0","0","0","0","0","0","0","0x0"
"FFF690 Pointer - 0x8FFF690","0","0","0","0","0","0","0","0x0"
"FFF698 Pointer - 0x8FFF698","0","0","0","0","0","0","0","0x0"
"FFF6A0 Pointer - 0x8FFF6A0","0","0","0","0","0","0","0","0x0"
"FFF6A8 Pointer - 0x8FFF6A8","0","0","0","0","0","0","0","0x0"
"FFF6B0 Pointer - 0x8FFF6B0","0","0","0","0","0","0","0","0x0"
"FFF6B8 Pointer - 0x8FFF6B8","0","0","0","0","0","0","0","0x0"
"FFF6C0 Pointer - 0x8FFF6C0","0","0","0","0","0","0","0","0x0"
"FFF6C8 Pointer - 0x8FFF6C8","0","0","0","0","0","0","0","0x0"
"FFF6D0 Pointer - 0x8FFF6D0","0","0","0","0","0","0","0","0x0"
"FFF6D8 Pointer - 0x8FFF6D8","0","0","0","0","0","0","0","0x0"
