"0xc999c0","Weapon","No. of Chars to Display (1 or 2)","Animation Used","##UNKNOWN##","Alternate Pointer","Return to original position (map)","Facing position (map)","Enemy's flashing colour (map)","##UNKNOWN##"
"0x6c","0x3d","2","0x35","0x0","0x0","0x1","0x0","0x4","0x0"
"0x6d","0x3f","2","0x33","0x0","0x0","0x1","0x0","0x5","0x0"
"0x6e","0x42","2","0x37","0x0","0x0","0x1","0x0","0x5","0x0"
"0x6f","0x43","2","0x38","0x0","0x0","0x1","0x0","0x5","0x0"
"0x70","0x45","2","0x34","0x0","0x0","0x1","0x0","0x1","0x0"
"0x71","0x49","2","0x36","0x0","0x0","0x1","0x0","0x1","0x0"
"0x72","0x86","2","0x21","0x0","0x0","0x1","0x0","0x5","0x0"
"0x73","0x8f","2","0x13","0x0","0x0","0x1","0x0","0x2","0x0"
"0x74","0x8e","2","0x39","0x0","0x0","0x1","0x0","0x1","0x0"
"0x75","0x7c","2","0x3a","0x0","0x0","0x0","0x0","0x2","0x0"
"0x76","0x7d","2","0x3b","0x0","0x0","0x0","0x0","0x4","0x0"
"0x77","0x7e","2","0x3c","0x0","0x0","0x0","0x0","0x4","0x0"
"0x78","0x7f","2","0x3d","0x0","0x0","0x0","0x0","0x3","0x0"
"0x79","0x80","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7a","0x81","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7b","0x82","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7c","0x83","2","0x2","0x0","0x0","0x1","0x0","0x0","0x0"
"0x7d","0x99","2","0x35","0x0","0x0","0x1","0x0","0x4","0x0"
"0x7e","0x59","2","0xffff","0x0","0x0","0x1","0x0","0x0","0x0"
