"0xcdc3b4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x17","0xea","0x14","0x5e","0x65","17","11","0x11","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x18","0xea","0x14","0x5e","0x65","4","10","0x4","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x19","0xea","0x14","0x5e","0x65","12","4","0xc","0x4","0x1e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1a","0xf2","0x3c","0x5e","0xa5","29","12","0x1d","0xc","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x1b","0xf2","0x3c","0x5e","0xa5","13","6","0xd","0x6","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x1c","0xf2","0x3c","0x5e","0xa5","23","5","0x17","0x5","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x1d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x5e","0xc","0x0","0x84","4","1","0x4","0x1","0x29","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x1f","0xea","0x14","0x5e","0x65","11","13","0xb","0xd","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x20","0xea","0x20","0x5e","0x65","26","1","0x1a","0x1","0x39","0x5d","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0xea","0x20","0x5e","0x4d","16","5","0x10","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x22","0xea","0x20","0x5e","0x4d","3","2","0x3","0x2","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0xea","0x20","0x5e","0x4d","5","2","0x5","0x2","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0xea","0x20","0x5e","0x4d","5","13","0x5","0xd","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x25","0xea","0x20","0x5e","0x4d","4","8","0x4","0x8","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x26","0xf0","0xa","0x5e","0x65","9","3","0x9","0x3","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0xea","0x14","0x5e","0x65","12","12","0xc","0xc","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x28","0xea","0x14","0x5e","0x65","10","1","0xa","0x1","0x1e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x29","0xea","0x12","0x5e","0x65","12","0","0xc","0x0","0x2a","0x5e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2a","0xea","0x14","0x5e","0x65","21","6","0x15","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0xea","0x14","0x5e","0x65","28","9","0x1c","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2c","0xea","0x14","0x5e","0x65","23","9","0x17","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2d","0xea","0x14","0x5e","0x65","21","1","0x15","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2e","0xea","0x14","0x5e","0x65","17","11","0x11","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0xea","0x14","0x5e","0x65","4","10","0x4","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x30","0xea","0x14","0x5e","0x65","12","4","0xc","0x4","0x1e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0xf2","0x3c","0x5e","0xa5","29","12","0x1d","0xc","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x32","0xf2","0x3c","0x5e","0xa5","13","6","0xd","0x6","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x33","0xf2","0x3c","0x5e","0xa5","23","5","0x17","0x5","0x1","0x68","0x0","0x0","0x10","0x5","0xa","0x0"
"0x34","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0x1","0x1","0x0","0x91","8","3","0x8","0x3","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x36","0x2","0x9","0x0","0x19","11","3","0xb","0x3","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x37","0x2d","0x2","0x0","0x61","10","4","0xa","0x4","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x38","0x27","0x42","0x0","0xa2","6","4","0x6","0x4","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x39","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3a","0x2","0x9","0x0","0x19","4","5","0x4","0x5","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x3b","0x2d","0x2","0x0","0x61","6","5","0x6","0x5","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x26","0x41","0x0","0x18","3","4","0x3","0x4","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x1","0x1","0x0","0x91","4","2","0x5","0x4","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x27","0x42","0x0","0xa2","4","2","0x4","0x3","0x3c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
