"0xcc70f4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x16","0x17","0x28","0x3","0x8","0","1","0x0","0x1","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x17","0x18","0x28","0x3","0x8","1","2","0x1","0x2","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x18","0x1d","0x32","0x3","0x8","2","1","0x2","0x1","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0xd","0x18","0x3","0x10","2","3","0x2","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x8","0x12","0x3","0x18","3","1","0x3","0x1","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x11","0x1d","0x3","0x8","3","3","0x3","0x3","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x13","0x20","0x3","0x8","4","2","0x4","0x2","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x26","0x41","0x3","0x8","5","2","0x5","0x2","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0xb6","0x14","0x0","0x34","12","15","0xc","0xf","0x1e","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x20","0xba","0x38","0xb6","0x15","7","15","0x7","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0xba","0x38","0xb6","0x15","8","15","0x8","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0xb9","0x18","0xb6","0x15","9","8","0x9","0x8","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x23","0xb7","0x39","0xb6","0x15","13","16","0xd","0x10","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x24","0xbb","0x28","0xb6","0xd","8","13","0x8","0xd","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0xbb","0x28","0xb6","0xd","7","13","0x7","0xd","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0xb8","0xa","0xb6","0xd","4","11","0x4","0xb","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0xbd","0x20","0xb6","0xd","13","5","0xd","0x5","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x28","0xbc","0x24","0xb6","0xd","13","4","0xd","0x4","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0xb9","0x18","0xb6","0xd","11","10","0xb","0xa","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0xba","0x38","0xb6","0xd","11","14","0xb","0xe","0x1e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2b","0xb8","0xa","0xb6","0xd","11","16","0xb","0x10","0x12","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0xb7","0x39","0xb6","0xd","13","14","0xd","0xe","0x2a","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0xba","0x38","0xb6","0x15","2","15","0x2","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0xba","0x38","0xb6","0x15","1","14","0x1","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
