"0xcc9c34","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x12","0x23","0x3c","0x0","0x21","5","4","0x5","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x46","0x2e","0x0","0x7c","14","10","0xe","0xa","0x33","0x2d","0x0","0x0","0x0","0x3","0x1","0x0"
"0x15","0x5f","0x2e","0x46","0x1d","14","9","0xe","0x9","0x2c","0x0","0x0","0x0","0x0","0x1e","0x1","0x0"
"0x16","0x5f","0x14","0x46","0x25","7","11","0x7","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x17","0x5f","0x18","0x46","0x25","8","14","0x8","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x18","0x5f","0x3c","0x46","0x25","8","16","0x8","0x10","0x1","0x6a","0x0","0x0","0x6","0x5","0x1","0x0"
"0x19","0x5f","0x20","0x46","0x1d","12","1","0xc","0x1","0x37","0x6b","0x0","0x0","0x0","0x1e","0x1","0x0"
"0x1a","0x5f","0xa","0x46","0x1d","11","0","0xb","0x0","0x1","0x69","0x0","0x0","0x11","0x0","0x1","0x0"
"0x1b","0x5f","0x38","0x46","0x35","2","9","0x2","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1c","0x5f","0x38","0x46","0x35","3","10","0x3","0xa","0x1c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1d","0x5f","0x20","0x46","0x1d","11","10","0xb","0xa","0x37","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x46","0x2e","0x0","0x7c","14","10","0xe","0xa","0x33","0x2d","0x5f","0x0","0x0","0x3","0x1","0x0"
"0x20","0x5f","0x2e","0x46","0x1d","14","9","0xe","0x9","0x2c","0x0","0x0","0x0","0x0","0x1e","0x1","0x0"
"0x21","0x5f","0x14","0x46","0x25","7","11","0x7","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x22","0x5f","0x3c","0x46","0x25","8","16","0x8","0x10","0x1","0x6a","0x0","0x0","0x6","0x5","0x1","0x0"
"0x23","0x5f","0x20","0x46","0x1d","12","1","0xc","0x1","0x37","0x6b","0x0","0x0","0x0","0x1e","0x1","0x0"
"0x24","0x5f","0xa","0x46","0x1d","11","0","0xb","0x0","0x1","0x69","0x0","0x0","0x11","0x0","0x1","0x0"
"0x25","0x5f","0x38","0x46","0x35","1","8","0x1","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x26","0x5f","0x38","0x46","0x35","3","10","0x3","0xa","0x1c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x27","0x5f","0x20","0x46","0x1d","11","10","0xb","0xa","0x37","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x28","0x5f","0x14","0x46","0x25","8","11","0x8","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x29","0x5f","0x18","0x46","0x25","7","14","0x7","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2a","0x5f","0x2e","0x46","0x1d","14","11","0xe","0xb","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2b","0x5f","0x2e","0x46","0x1d","0","2","0x0","0x2","0x2c","0x0","0x0","0x0","0x0","0x1e","0x1","0x0"
"0x2c","0x5f","0x14","0x46","0x25","13","2","0xd","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2d","0x5f","0x14","0x46","0x25","2","9","0x2","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2e","0x5f","0x18","0x46","0x25","9","14","0x9","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x5f","0x12","0x46","0x25","0","1","0x0","0x1","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x31","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x32","0x5f","0x28","0x46","0x25","14","11","0xe","0xb","0x1","0x14","0x0","0x0","0x0","0x0","0x1","0x0"
"0x33","0x5f","0x28","0x46","0x25","14","9","0xe","0x9","0x1c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x34","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0x5f","0xe","0x46","0x25","7","16","0x7","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x36","0x5f","0xa","0x46","0x25","9","16","0x9","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x5f","0x12","0x46","0x25","1","0","0x1","0x0","0x28","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x39","0x5f","0x12","0x46","0x25","0","2","0x0","0x2","0x26","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0x2","0x3","0x2","0x19","5","2","0x5","0x2","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x1","0x1","0x2","0x29","7","4","0x7","0x4","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3d","0xb","0x14","0x2","0x49","9","6","0x9","0x6","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x1a","0x2a","0x1","0x11","10","7","0xa","0x7","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0xe","0x19","0x2","0x29","6","3","0x6","0x3","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x11","0x1d","0x2","0x21","4","3","0x4","0x3","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x13","0x20","0x2","0x19","3","4","0x3","0x4","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0x19","0x28","0x2","0x31","10","5","0xa","0x5","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x44","0x23","0x3c","0x2","0x21","5","4","0x5","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x20","0x34","0x0","0x3c","9","16","0xd","0xa","0x1e","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
