"0xccecec","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0x4d","0x16","0x0","0x2c","12","2","0xc","0x2","0x1d","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x4f","0x4e","0x2a","0x4d","0x24","10","7","0xa","0x7","0x16","0x3","0x6c","0x0","0x0","0x3","0x9","0x0"
"0x50","0x6e","0x18","0x4d","0x4d","11","12","0xb","0xc","0x33","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x51","0x6d","0x2e","0x4d","0x3d","11","8","0xb","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x52","0x6d","0x2e","0x4d","0x3d","11","7","0xb","0x7","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x53","0x6d","0x28","0x4d","0x3d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x54","0x6d","0x28","0x4d","0x3d","9","8","0x9","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x55","0x6d","0x14","0x4d","0x45","6","15","0x6","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x56","0x6d","0x14","0x4d","0x3d","1","2","0x1","0x2","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x57","0x6d","0x38","0x4d","0x45","2","1","0x2","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x58","0x6d","0xe","0x4d","0x4d","0","3","0x0","0x3","0xe","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x59","0x6d","0x24","0x4d","0x45","13","3","0xd","0x3","0x45","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5a","0x6e","0x28","0x4d","0x3d","17","14","0x11","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0x6d","0x2e","0x4d","0x3d","15","16","0xf","0x10","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5c","0x6d","0x2c","0x4d","0x45","18","16","0x12","0x10","0x4b","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5d","0x6d","0x14","0x4d","0x3d","1","9","0x1","0x9","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5e","0x6d","0x14","0x4d","0x35","20","2","0x14","0x2","0x18","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5f","0x6d","0x14","0x4d","0x3d","21","1","0x15","0x1","0x1e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x60","0x6d","0x20","0x4d","0x3d","4","5","0x4","0x5","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x61","0x6d","0x24","0x4d","0x3d","11","3","0xb","0x3","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x62","0x6d","0x14","0x4d","0x45","0","13","0x0","0xd","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x63","0x6d","0x28","0x4d","0x3d","17","15","0x11","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x64","0x6d","0x28","0x4d","0x3d","16","8","0x10","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x65","0x6d","0x28","0x4d","0x3d","16","15","0x10","0xf","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x66","0x6d","0x2e","0x4d","0x3d","17","16","0x11","0x10","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x67","0x6d","0x14","0x4d","0x3d","7","2","0x7","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x68","0x6d","0x14","0x4d","0x3d","6","1","0x6","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x69","0x6d","0x14","0x4d","0x3d","20","8","0x14","0x8","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6a","0x6d","0x14","0x4d","0x3d","21","11","0x15","0xb","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6b","0x6d","0x14","0x4d","0x3d","1","15","0x1","0xf","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6c","0x6d","0x14","0x4d","0x3d","6","9","0x6","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6d","0x6d","0x18","0x4d","0x3d","10","14","0xa","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6e","0x6e","0x18","0x4d","0x3d","16","19","0x10","0x13","0x30","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0x4d","0x16","0x0","0x2c","12","2","0xc","0x2","0x1d","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x71","0x4e","0x2a","0x4d","0x24","10","7","0xa","0x7","0x16","0x3","0x6c","0x0","0x0","0x3","0x9","0x0"
"0x72","0x6e","0x18","0x4d","0x4d","11","12","0xb","0xc","0x33","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x73","0x6d","0x2e","0x4d","0x3d","11","8","0xb","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x74","0x6d","0x2e","0x4d","0x3d","11","7","0xb","0x7","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x75","0x6d","0x28","0x4d","0x3d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x76","0x6d","0x28","0x4d","0x3d","9","8","0x9","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x77","0x6d","0x14","0x4d","0x45","6","15","0x6","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x78","0x6d","0x14","0x4d","0x45","21","15","0x15","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x79","0x6d","0x14","0x4d","0x3d","1","2","0x1","0x2","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7a","0x6d","0x38","0x4d","0x45","2","1","0x2","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7b","0x6d","0xe","0x4d","0x4d","0","3","0x0","0x3","0xe","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7c","0x6e","0x24","0x4d","0x7d","13","3","0xd","0x3","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7d","0x6e","0x28","0x4d","0x3d","17","14","0x11","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7e","0x6d","0x2e","0x4d","0x3d","15","16","0xf","0x10","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7f","0x6d","0x2c","0x4d","0x45","18","16","0x12","0x10","0x4b","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x80","0x6d","0x14","0x4d","0x3d","1","9","0x1","0x9","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x81","0x6d","0x14","0x4d","0x35","20","2","0x14","0x2","0x18","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x82","0x6d","0x14","0x4d","0x3d","21","1","0x15","0x1","0x1e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x83","0x6d","0x20","0x4d","0x3d","4","5","0x4","0x5","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x84","0x6d","0x24","0x4d","0x3d","11","3","0xb","0x3","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x85","0x6d","0x14","0x4d","0x45","0","13","0x0","0xd","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x86","0x6d","0x28","0x4d","0x3d","18","14","0x12","0xe","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x87","0x6d","0x2e","0x4d","0x3d","15","15","0xf","0xf","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x88","0x6d","0x2e","0x4d","0x3d","17","9","0x11","0x9","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x89","0x6d","0x2e","0x4d","0x3d","18","8","0x12","0x8","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8a","0x6d","0x28","0x4d","0x3d","17","8","0x11","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8b","0x6d","0x28","0x4d","0x3d","18","9","0x12","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8c","0x6d","0x14","0x4d","0x3d","2","8","0x2","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x8d","0x6d","0x14","0x4d","0x45","1","14","0x1","0xe","0x16","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8e","0x6d","0x14","0x4d","0x35","19","3","0x13","0x3","0x18","0x6e","0x0","0x0","0x0","0x3","0x9","0x0"
"0x8f","0x6d","0x24","0x4d","0x3d","10","2","0xa","0x2","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x90","0x6d","0x24","0x4d","0x3d","14","2","0xe","0x2","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x91","0x6d","0x20","0x4d","0x3d","6","10","0x6","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x92","0x6e","0x18","0x4d","0x4d","16","19","0x10","0x13","0x30","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x93","0x6d","0x18","0x4d","0x4d","1","17","0x1","0x11","0x33","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x94","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x95","0x6d","0x18","0x4d","0x3d","15","19","0xf","0x13","0x2c","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x96","0x6d","0x12","0x4d","0x3d","17","19","0x11","0x13","0x1f","0x28","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x6d","0xa","0x4d","0x35","14","12","0xe","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x99","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9a","0x6d","0x18","0x4d","0x3d","1","18","0x1","0x12","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x6d","0x24","0x4d","0x3d","14","12","0xe","0xc","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0x6d","0x32","0x4d","0x3d","0","21","0x0","0x15","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9f","0x6d","0x32","0x4d","0x3d","0","21","0x1","0x14","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa1","0x6d","0x3c","0x4d","0x25","20","16","0x14","0x10","0x1","0x68","0x71","0x0","0x6","0x5","0x9","0x0"
"0xa2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa3","0x6d","0x3c","0x4d","0x25","20","16","0x14","0x10","0x1","0x68","0x0","0x0","0x6","0x5","0x9","0x0"
"0xa4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa5","0x6d","0x20","0x4d","0x3d","4","13","0x4","0xd","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa7","0x6d","0x20","0x4d","0x3d","4","13","0x4","0xd","0x38","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0xa8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa9","0x36","0x3c","0x0","0x64","0","1","0x0","0x1","0x3","0x6a","0x7a","0x0","0x6","0x5","0x9","0x0"
"0xaa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x36","0x3c","0x0","0x64","20","16","0x14","0x10","0x3","0x68","0x68","0x0","0x6","0x5","0x9","0x0"
"0xac","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xad","0x6d","0x20","0x4d","0x3d","0","2","0x0","0x2","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xae","0x6d","0x20","0x4d","0x3d","0","1","0x0","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xaf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x6d","0x14","0x4d","0x3d","3","0","0x3","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xb1","0x6d","0x14","0x4d","0x3d","4","0","0x4","0x0","0x18","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xb2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x6d","0x12","0x4d","0x3d","0","1","0x0","0x1","0x28","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0xb4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x25","0x40","0x0","0xa","9","19","0x9","0x13","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb7","0x25","0x40","0x0","0xa","14","2","0xe","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb9","0x25","0x40","0x0","0xa","11","7","0xa","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xba","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbb","0xda","0x22","0x0","0xa4","8","17","0x8","0x11","0x3a","0x3b","0x4e","0x0","0x3","0x3","0xa","0x0"
"0xbc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbd","0x25","0x40","0x0","0xa","12","5","0xc","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbe","0x7b","0x4b","0x0","0x53","13","9","0xd","0x9","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xbf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc0","0x1","0x1","0x0","0x8","12","25","0xc","0x16","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc1","0x2","0x3","0x0","0x8","13","25","0xd","0x17","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc2","0x2d","0x2","0x0","0x8","13","25","0xd","0x18","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc4","0x24","0x3e","0x0","0x6c","12","15","0xc","0xf","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc6","0xdb","0x41","0x0","0xa","11","15","0xb","0x7","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
