"0xcdfe84","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x13","0xe","0x1b","0x0","0x71","8","21","0x8","0x15","0x30","0x2e","0x31","0x33","0x0","0x0","0x0","0x0"
"0x14","0x16","0x26","0x0","0x79","10","21","0xa","0x15","0x45","0x46","0x48","0x4b","0x0","0x0","0x0","0x0"
"0x15","0x30","0x2a","0x0","0x71","7","22","0x7","0x16","0x17","0x4","0x1d","0xd","0x0","0x0","0x0","0x0"
"0x16","0x1b","0x2d","0x0","0x51","9","22","0x9","0x16","0x4c","0x4d","0x4f","0x4e","0x0","0x0","0x0","0x0"
"0x17","0x15","0x22","0x0","0x71","6","23","0x6","0x17","0x3b","0x3a","0x4c","0x4d","0x0","0x0","0x0","0x0"
"0x18","0x22","0x3b","0x0","0x41","8","23","0x8","0x17","0x21","0x2b","0x29","0x24","0x0","0x0","0x0","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x44","0x45","0x0","0xa4","8","2","0x8","0x2","0x8e","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x1b","0x72","0x22","0x44","0x95","7","3","0x7","0x3","0x3b","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1c","0x72","0x26","0x44","0x9d","9","3","0x9","0x3","0x46","0x52","0x47","0x0","0x0","0x3","0xa","0x0"
"0x1d","0xf1","0x26","0x44","0x8d","2","12","0x2","0xc","0x49","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0xf9","0x1e","0x44","0xa4","3","11","0x3","0xb","0x43","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1f","0x72","0x22","0x44","0x95","4","12","0x4","0xc","0x3b","0x3a","0x4d","0x0","0x0","0x3","0xa","0x0"
"0x20","0xf4","0x10","0x44","0xa4","12","11","0xc","0xb","0x90","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x21","0xf5","0xc","0x44","0xa4","14","11","0xe","0xb","0xb","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x22","0x72","0x13","0x44","0x9d","1","17","0x1","0x11","0x21","0x2e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x23","0xf6","0x13","0x44","0xa4","2","16","0x2","0x10","0x92","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x24","0x72","0x16","0x44","0x95","15","17","0xf","0x11","0x21","0x17","0x0","0x0","0x0","0x0","0xa","0x0"
"0x25","0xfa","0x16","0x44","0xa4","14","16","0xe","0x10","0x91","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x26","0xf8","0x2d","0x44","0xa4","3","21","0x3","0x15","0x3d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x27","0xeb","0x1a","0x44","0x8d","12","21","0xc","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x28","0xf7","0x30","0x44","0xa4","13","22","0xd","0x16","0x93","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x29","0x56","0x3e","0x44","0xa4","2","22","0x2","0x16","0x11","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0xeb","0x1a","0x44","0x95","14","21","0xe","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0x44","0x45","0x0","0xa4","8","2","0x8","0x2","0x8e","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x2d","0x72","0x22","0x44","0x95","7","3","0x7","0x3","0x3b","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x72","0x26","0x44","0x9d","9","3","0x9","0x3","0x46","0x52","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2f","0x72","0x26","0x44","0x8d","2","12","0x2","0xc","0x49","0x47","0x4d","0x0","0x0","0x3","0xa","0x0"
"0x30","0xf9","0x1e","0x44","0xa4","3","11","0x3","0xb","0x43","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0x72","0x22","0x44","0x95","4","12","0x4","0xc","0x3b","0x3a","0x4d","0x0","0x0","0x3","0xa","0x0"
"0x32","0xf4","0x10","0x44","0xa4","12","11","0xc","0xb","0x90","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0xf5","0xc","0x44","0xa4","14","11","0xe","0xb","0xb","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0x72","0x13","0x44","0x9d","1","17","0x1","0x11","0x21","0x2e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0xf6","0x13","0x44","0xa4","2","16","0x2","0x10","0x92","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0x72","0x13","0x44","0x95","3","17","0x3","0x11","0x21","0x2e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0xfa","0x16","0x44","0xa4","14","16","0xe","0x10","0x91","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0xf8","0x2d","0x44","0xa4","3","21","0x3","0x15","0x3d","0x3d","0x0","0x0","0x0","0x0","0xa","0x0"
"0x39","0xeb","0x1a","0x44","0x8d","12","21","0xc","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0xf7","0x30","0x44","0xa4","13","22","0xd","0x16","0x93","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0xeb","0x1a","0x44","0x95","14","21","0xe","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3d","0x44","0x45","0x0","0xa4","8","2","0x8","0x2","0x8e","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x3e","0x72","0x22","0x44","0x95","7","3","0x7","0x3","0x3b","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3f","0x72","0x26","0x44","0x9d","9","3","0x9","0x3","0x46","0x52","0x0","0x0","0x0","0x3","0xa","0x0"
"0x40","0x72","0x26","0x44","0x8d","2","12","0x2","0xc","0x49","0x47","0x4d","0x0","0x0","0x3","0xa","0x0"
"0x41","0xf9","0x1e","0x44","0xa4","3","11","0x3","0xb","0x43","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x42","0x72","0x22","0x44","0x95","4","12","0x4","0xc","0x3b","0x3a","0x4d","0x0","0x0","0x3","0xa","0x0"
"0x43","0xf4","0x10","0x44","0xa4","12","11","0xc","0xb","0x90","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x44","0xf5","0xc","0x44","0xa4","14","11","0xe","0xb","0xb","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x45","0x72","0x13","0x44","0x9d","1","17","0x1","0x11","0x21","0x2e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0xf6","0x13","0x44","0xa4","2","16","0x2","0x10","0x92","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x47","0x72","0x16","0x44","0x95","15","17","0xf","0x11","0x21","0x17","0x0","0x0","0x0","0x0","0xa","0x0"
"0x48","0xfa","0x16","0x44","0xa4","14","16","0xe","0x10","0x91","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x49","0xf8","0x2d","0x44","0xa4","3","21","0x3","0x15","0x3d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4a","0xeb","0x1a","0x44","0x8d","12","21","0xc","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4b","0xf7","0x30","0x44","0xa4","13","22","0xd","0x16","0x93","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4c","0x56","0x3e","0x44","0xa4","2","22","0x2","0x16","0x11","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4d","0xeb","0x1a","0x44","0x95","14","21","0xe","0x15","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4e","0x72","0x22","0x44","0x95","5","0","0x5","0x0","0x3b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4f","0x72","0x22","0x44","0x8d","11","0","0xb","0x0","0x3b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x50","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x72","0x26","0x44","0x8d","5","0","0x5","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x52","0x72","0x26","0x44","0x9d","11","0","0xb","0x0","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x72","0x1e","0x44","0x8d","5","0","0x5","0x0","0x40","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x72","0x1e","0x44","0x95","11","0","0xb","0x0","0x40","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x56","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x72","0x22","0x44","0x95","5","0","0x5","0x0","0x3b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x58","0x72","0x22","0x44","0x8d","11","0","0xb","0x0","0x3b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0xeb","0x16","0x44","0x55","8","26","0x8","0x18","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0xeb","0x16","0x44","0x55","7","26","0x7","0x18","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0xeb","0x16","0x44","0x55","9","26","0x9","0x18","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5e","0x1","0x7","0x0","0x41","17","1","0x11","0x1","0x4","0x9","0x10","0x16","0x0","0x0","0x0","0x0"
"0x5f","0x2","0x9","0x0","0x29","18","2","0x12","0x2","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x60","0x2d","0x8","0x0","0x41","19","1","0x13","0x1","0xa","0x4","0x2d","0xb","0x0","0x0","0x0","0x0"
"0x61","0x26","0x41","0x0","0x41","19","2","0x13","0x2","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x63","0x1","0x7","0x0","0x41","7","19","0x7","0x13","0x4","0x9","0x10","0x16","0x0","0x0","0x0","0x0"
"0x64","0x2","0x9","0x0","0x29","9","19","0x9","0x13","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x65","0x2d","0x8","0x0","0x41","6","20","0x6","0x14","0xa","0x4","0x2d","0xb","0x0","0x0","0x0","0x0"
"0x66","0x26","0x41","0x0","0x41","7","20","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x67","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x68","0x27","0x42","0x0","0xa0","14","2","0xe","0x2","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x69","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x27","0x42","0x0","0xa0","10","20","0xa","0x14","0x3c","0x86","0x84","0x85","0x0","0x0","0x0","0x0"
"0x6b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x44","0x45","0x0","0xa4","8","16","0x8","0x10","0x8e","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0xf8","0x2d","0x44","0xa4","5","16","0x5","0x10","0x3d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0xf9","0x1e","0x44","0xa4","6","14","0x6","0xe","0x43","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x71","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x72","0xfa","0x16","0x44","0xa4","7","13","0x7","0xd","0x91","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x73","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x74","0xf6","0x13","0x44","0xa4","9","13","0x9","0xd","0x92","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x75","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x76","0xf7","0x30","0x44","0xa4","11","16","0xb","0x10","0x93","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x77","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x78","0xf5","0xc","0x44","0xa4","11","15","0xb","0xf","0xb","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x79","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7a","0xf4","0x10","0x44","0xa4","10","14","0xa","0xe","0x90","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7c","0x56","0x3e","0x44","0xa4","5","15","0x5","0xf","0x11","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7e","0x1","0x7","0x0","0x41","6","10","0x6","0xa","0x4","0x9","0x10","0x16","0x0","0x0","0x0","0x0"
"0x7f","0x2","0x9","0x0","0x29","8","10","0x8","0xa","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x80","0x2d","0x8","0x0","0x41","6","12","0x6","0xc","0xa","0x4","0x2d","0xb","0x0","0x0","0x0","0x0"
"0x81","0x26","0x41","0x0","0x41","5","12","0x5","0xc","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0x27","0x42","0x0","0xa0","9","11","0x9","0xb","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
