"0xcc86d4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x22","0x42","0x38","0x40","0x15","8","15","0x9","0xd","0x14","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x23","0x42","0x18","0x40","0x15","8","15","0x9","0xf","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x24","0x42","0x18","0x40","0x15","8","15","0xf","0xc","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x25","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x40","0x14","0x0","0x6c","2","10","0x2","0xa","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x27","0x42","0x18","0x40","0x1d","2","13","0x2","0xd","0x2c","0x6b","0x0","0x0","0x0","0x6","0x29","0x0"
"0x28","0x42","0x28","0x40","0x15","1","11","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0x42","0x28","0x40","0x15","3","11","0x3","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x42","0x32","0x40","0x2d","3","6","0x3","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2b","0x42","0x32","0x40","0x15","5","10","0x5","0xa","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0x42","0x18","0x40","0x25","16","14","0x10","0xe","0x2d","0x0","0x0","0x0","0x0","0x0","0x29","0x0"
"0x2d","0x42","0x39","0x40","0xd","17","10","0x11","0xa","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x42","0x28","0x40","0x15","9","13","0x9","0xd","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x42","0x18","0x40","0x15","9","15","0x9","0xf","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0x42","0x39","0x40","0x15","0","9","0x0","0x9","0x28","0x6b","0x0","0x0","0x0","0x4","0x9","0x0"
"0x32","0x42","0x39","0x40","0x15","6","16","0x6","0x10","0x28","0x6b","0x0","0x0","0x0","0x4","0x9","0x0"
"0x33","0x42","0x39","0x40","0xd","14","11","0xe","0xb","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x34","0x42","0x18","0x40","0x1d","5","2","0x5","0x2","0x2c","0x6b","0x0","0x0","0x0","0x3","0x29","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x42","0x32","0x40","0x2d","16","16","0x10","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x37","0x42","0x32","0x40","0x2d","17","15","0x11","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x38","0x42","0x32","0x40","0x2d","1","16","0x1","0x10","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x39","0x42","0x32","0x40","0x2d","0","15","0x0","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x42","0x28","0x40","0x15","3","3","0x3","0x3","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x42","0x39","0x40","0x15","8","15","0x8","0xf","0x28","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x42","0x38","0x40","0x15","11","16","0xb","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0x42","0x18","0x40","0x15","12","16","0xc","0x10","0x2c","0x0","0x0","0x0","0x0","0x0","0x29","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x42","0x38","0x40","0x35","0","13","0x0","0xd","0x14","0x0","0x0","0x0","0x0","0x0","0x11","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x43","0x42","0x32","0x40","0x35","0","13","0x0","0xd","0x14","0x0","0x0","0x0","0x0","0x0","0x11","0x0"
"0x44","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0x42","0x28","0x40","0x35","0","13","0x0","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x11","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
