"0xcd19fc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x5d","0xe8","0x14","0x53","0x4d","13","1","0xd","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5e","0xe8","0x14","0x53","0x4d","7","12","0x7","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5f","0xe8","0x18","0x53","0x4d","9","6","0x9","0x6","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x60","0xe8","0x1c","0x53","0x7d","8","5","0x8","0x5","0x3f","0x67","0x0","0x0","0x0","0x0","0xa","0x0"
"0x61","0xe8","0x20","0x53","0x4d","9","14","0x9","0xe","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x62","0xe8","0x20","0x53","0x4d","11","8","0xb","0x8","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0xe8","0x18","0x53","0x4d","10","12","0xa","0xc","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0xe8","0x20","0x53","0x4d","9","1","0x9","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0xe8","0x20","0x53","0x4d","14","14","0xe","0xe","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x66","0xe8","0x20","0x53","0x4d","13","10","0xd","0xa","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x67","0xe8","0x20","0x53","0x4d","0","9","0x0","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x68","0xe8","0x34","0x53","0x4d","17","15","0x11","0xf","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x69","0xe8","0x34","0x53","0x4d","13","12","0xd","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6a","0xe8","0x34","0x53","0x4d","11","0","0xb","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6b","0xe8","0x34","0x53","0x4d","4","13","0x4","0xd","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6c","0xe8","0x34","0x53","0x4d","2","11","0x2","0xb","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6d","0xe8","0x20","0x53","0x4d","13","4","0xd","0x4","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6e","0xe8","0x20","0x53","0x4d","16","11","0x10","0xb","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0x53","0x13","0x0","0x2c","13","9","0xd","0x9","0x24","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x71","0x54","0x13","0x53","0x24","12","6","0xc","0x6","0x20","0x28","0x73","0x0","0x0","0x3","0xa","0x0"
"0x72","0xe8","0x39","0x53","0x4d","18","6","0x12","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x73","0xe8","0x18","0x53","0x4d","20","4","0x14","0x4","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x74","0xe8","0x24","0x53","0x4d","0","13","0x0","0xd","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x75","0xe8","0x20","0x53","0x4d","1","1","0x1","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x76","0xe8","0x28","0x53","0x4d","14","1","0xe","0x1","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x77","0xe8","0x2e","0x53","0x4d","15","1","0xf","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x78","0xe8","0x2e","0x53","0x4d","15","2","0xf","0x2","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x79","0xe8","0x28","0x53","0x4d","16","2","0x10","0x2","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7a","0xe8","0x18","0x53","0x4d","15","8","0xf","0x8","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7b","0xe8","0x14","0x53","0x4d","20","7","0x14","0x7","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7c","0xe8","0x14","0x53","0x4d","21","8","0x15","0x8","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7d","0xe8","0x18","0x53","0x4d","10","13","0xa","0xd","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7e","0xe8","0x20","0x53","0x7d","9","14","0x9","0xe","0x39","0x67","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7f","0xe8","0x18","0x53","0x4d","8","15","0x8","0xf","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x80","0xe8","0x20","0x53","0x4d","13","5","0xd","0x5","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x81","0xe8","0x20","0x53","0x4d","13","10","0xd","0xa","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x82","0xe8","0x20","0x53","0x4d","0","9","0x0","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x83","0xe8","0x1c","0x53","0x4d","1","8","0x1","0x8","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x84","0xe8","0x34","0x53","0x4d","2","13","0x2","0xd","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x85","0xe8","0x34","0x53","0x4d","3","14","0x3","0xe","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x86","0xe8","0x34","0x53","0x4d","3","1","0x3","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x87","0xe8","0x34","0x53","0x4d","2","2","0x2","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x88","0xe8","0x34","0x53","0x4d","13","6","0xd","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x89","0xe8","0x34","0x53","0x4d","12","7","0xc","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8a","0xe8","0x18","0x53","0x4d","10","5","0xa","0x5","0x33","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8b","0xe8","0x1c","0x53","0x4d","11","3","0xb","0x3","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8c","0xe8","0x20","0x53","0x4d","9","1","0x9","0x1","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8d","0xe8","0x20","0x53","0x4d","5","7","0x5","0x7","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8e","0xe8","0x20","0x53","0x4d","6","4","0x6","0x4","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x15","0x22","0x0","0x32","9","10","0x9","0xa","0x39","0x38","0x6c","0x0","0x0","0x3","0xe","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x15","0x22","0x0","0x32","1","4","0x1","0x6","0x39","0x38","0x6c","0x0","0x0","0x3","0x0","0x0"
"0x93","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x94","0x22","0x3b","0x0","0x22","18","12","0x11","0xc","0x24","0x0","0x0","0x0","0x0","0x21","0x2","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0x22","0x3b","0x0","0x22","18","12","0x11","0xc","0x24","0x0","0x0","0x0","0x0","0x22","0x2","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0xe8","0x34","0x53","0x4d","2","15","0x2","0xf","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x99","0xe8","0x34","0x53","0x4d","0","4","0x0","0x4","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9b","0xe8","0x34","0x53","0x4d","4","15","0x4","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9c","0xe8","0x34","0x53","0x4d","0","2","0x0","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0xe8","0x20","0x53","0x4d","4","2","0x4","0x2","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa0","0xe8","0x24","0x53","0x4d","0","11","0x0","0xb","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa1","0xe8","0x24","0x53","0x4d","0","3","0x0","0x3","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa3","0x1","0x1","0x0","0x71","16","4","0x10","0x4","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa4","0x2","0x3","0x1","0x61","16","7","0x10","0x7","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xa5","0x2d","0x2","0x0","0x49","14","3","0xe","0x3","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xa6","0x25","0x40","0x0","0x29","16","5","0x10","0x5","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa8","0xda","0x41","0x0","0xa","20","7","0x14","0x7","0x0","0x0","0x0","0x0","0x6","0x3","0x2","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x1","0x1","0x0","0x71","7","6","0x7","0x6","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x2","0x3","0x0","0x61","5","6","0x5","0x6","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xac","0x2d","0x2","0x0","0x49","6","7","0x6","0x7","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xad","0x22","0x3b","0x0","0x20","9","5","0x9","0x5","0x24","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xae","0x15","0x22","0x0","0x32","6","3","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaf","0xf","0x1b","0x0","0x22","4","3","0x4","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x27","0x42","0x0","0xa2","7","4","0x7","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x1","0x1","0x0","0x71","7","6","0x7","0x6","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x2","0x3","0x0","0x61","5","6","0x5","0x6","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x2d","0x2","0x0","0x49","6","7","0x6","0x7","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x22","0x3b","0x0","0x22","9","5","0x9","0x5","0x24","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x15","0x22","0x0","0x32","6","3","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb7","0xf","0x1b","0x0","0x22","4","3","0x4","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x27","0x42","0x0","0xa2","7","4","0x7","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
