"0xd00000","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x48","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xfe","0x0","0x0","0x0","0x40"
"0x49","0xff","0xff","0xbe","0xfe","0","0","0x0","0x0","0xfe","0xff","0xff","0xdf","0x0","0x0","0x0","0x0"
"0x4a","0xff","0xff","0xf7","0xff","0","0","0x0","0x0","0xff","0xff","0xdb","0xff","0x0","0x0","0x0","0x0"
"0x4b","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xef","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x4c","0xff","0xff","0xff","0xef","0","0","0x0","0x0","0xff","0xff","0xff","0xef","0x0","0x0","0x0","0x0"
"0x4d","0xff","0xff","0x77","0xff","128","64","0x0","0x0","0xbf","0xff","0xff","0xdd","0x0","0x0","0x0","0x0"
"0x4e","0xef","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x4f","0xff","0xff","0xff","0xff","0","64","0x0","0x0","0xff","0xff","0x7f","0xfb","0x0","0x0","0x0","0x0"
"0x50","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xef","0xff","0x0","0x0","0x0","0x0"
"0x51","0xff","0xff","0xff","0xfd","0","0","0x80","0x0","0xff","0xff","0xf6","0xff","0x0","0x0","0x0","0x0"
"0x52","0xff","0xff","0xf7","0xdf","0","0","0x0","0x0","0xff","0xfd","0xdf","0xfd","0x0","0x0","0x0","0x0"
"0x53","0xff","0xfd","0xff","0xfe","0","0","0x0","0x0","0xbf","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x54","0xff","0xff","0xff","0xbf","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x55","0xff","0xff","0xfd","0xfe","0","0","0x0","0x0","0xff","0xff","0xef","0xff","0x0","0x0","0x0","0x0"
"0x56","0xff","0xff","0xff","0xfb","0","0","0x0","0x0","0xbf","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x57","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xff","0x7f","0x0","0x0","0x0","0x0"
"0x58","0xff","0xff","0xff","0xef","0","0","0x0","0x0","0xff","0xff","0xfb","0xdf","0x0","0x0","0x0","0x0"
"0x59","0xff","0xff","0xdf","0xcd","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x5a","0xff","0xff","0x7d","0xff","0","0","0x0","0x0","0xff","0xff","0xfe","0xdf","0x0","0x0","0x0","0x0"
"0x5b","0xff","0xff","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xe3","0x69","0x0","0x0","0x0","0x0"
"0x5c","0xff","0xff","0xfe","0xfa","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x5d","0xff","0xfe","0xff","0xff","0","0","0x0","0x0","0xff","0xff","0xf3","0xef","0x0","0x0","0x0","0x0"
"0x5e","0xf7","0xff","0xff","0x7f","0","0","0x0","0x0","0x7f","0xfc","0xff","0xff","0x0","0x0","0x0","0x0"
"0x5f","0xcf","0xdf","0xbb","0xff","0","0","0x0","0x0","0xff","0xff","0xf9","0xdb","0x0","0x0","0x0","0x0"
"0x60","0xff","0xfd","0xff","0xff","0","0","0x0","0x0","0x7f","0xfe","0xff","0xff","0x0","0x0","0x0","0x0"
"0x61","0xff","0xff","0x7f","0xff","0","0","0x0","0x0","0x6d","0x7b","0xbe","0xbf","0x0","0x0","0x0","0x0"
"0x62","0xff","0xfe","0xff","0xef","0","0","0x0","0x0","0xff","0xff","0xff","0xff","0x0","0x0","0x0","0x0"
"0x63","0xff","0xff","0xf7","0xff","0","4","0x0","0x0","0x46","0xaf","0xfd","0xdd","0x0","0x0","0x0","0x0"
