"0xccceb4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1a","0x4b","0x30","0x0","0x3c","13","22","0xd","0x16","0x3","0x33","0x32","0x65","0x3","0x3","0x9","0x0"
"0x1b","0x6e","0x2e","0x4b","0x3d","4","16","0x4","0x10","0x2c","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1c","0x6e","0x2e","0x4b","0x45","11","12","0xb","0xc","0x33","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x6e","0x3c","0x4b","0x2d","12","4","0xc","0x4","0x1","0x55","0x0","0x0","0x6","0xc","0x9","0x0"
"0x1e","0x6e","0x24","0x4b","0x35","14","9","0xe","0x9","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x6d","0x28","0x4b","0x35","10","13","0xa","0xd","0x3","0x7a","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x6d","0x3a","0x4b","0x3d","11","3","0xb","0x3","0x20","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x21","0x6d","0x28","0x4b","0x2d","9","21","0x9","0x15","0x14","0x79","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x6d","0x28","0x4b","0x35","11","22","0xb","0x16","0x1","0x14","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x6d","0x2e","0x4b","0x35","6","20","0x6","0x14","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x24","0x6d","0x28","0x4b","0x2d","16","10","0x10","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x6d","0x28","0x4b","0x2d","6","22","0x6","0x16","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x26","0x6d","0x28","0x4b","0x2d","3","16","0x3","0x10","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x27","0x6d","0x1c","0x4b","0x2d","14","16","0xe","0x10","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x28","0x6d","0xe","0x4b","0x65","15","19","0xf","0x13","0x2","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x29","0x6d","0x3a","0x4b","0x35","14","10","0xe","0xa","0x1f","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x2a","0x6d","0x2e","0x4b","0x35","9","22","0x9","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x6d","0x18","0x4b","0x35","4","12","0x4","0xc","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0x6d","0x28","0x4b","0x35","9","20","0x9","0x14","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x6d","0x2e","0x4b","0x35","12","22","0xc","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2e","0x6d","0x2e","0x4b","0x35","13","21","0xd","0x15","0x32","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x4b","0x30","0x0","0x3c","13","22","0xd","0x16","0xd","0x33","0x32","0x65","0x3","0x3","0x9","0x0"
"0x31","0x6e","0x2e","0x4b","0x3d","15","17","0xf","0x11","0x2c","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x32","0x6e","0x2e","0x4b","0x45","11","12","0xb","0xc","0x33","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x33","0x6e","0x3c","0x4b","0x2d","1","15","0x1","0xf","0x1","0x55","0x0","0x0","0x6","0xc","0x9","0x0"
"0x34","0x6e","0x24","0x4b","0x35","14","9","0xe","0x9","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x6d","0x28","0x4b","0x35","10","13","0xa","0xd","0x3","0x7a","0x0","0x0","0x0","0x3","0x9","0x0"
"0x36","0x6d","0x3a","0x4b","0x3d","11","3","0xb","0x3","0x20","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x37","0x6d","0x28","0x4b","0x35","11","20","0xb","0x14","0x1","0x14","0x79","0x0","0x0","0x0","0x9","0x0"
"0x38","0x6d","0x2e","0x4b","0x35","13","5","0xd","0x5","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x6d","0x32","0x4b","0x2d","14","2","0xe","0x2","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3a","0x6d","0x28","0x4b","0x2d","6","22","0x6","0x16","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3b","0x6d","0x28","0x4b","0x2d","3","16","0x3","0x10","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3c","0x6d","0x1c","0x4b","0x2d","14","16","0xe","0x10","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3d","0x6d","0xe","0x4b","0x65","15","19","0xf","0x13","0x2","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3e","0x6d","0x3a","0x4b","0x35","14","10","0xe","0xa","0x20","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x3f","0x6d","0x2e","0x4b","0x35","15","7","0xf","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x40","0x6d","0x28","0x4b","0x35","4","12","0x4","0xc","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x41","0x6d","0x28","0x4b","0x35","7","17","0x7","0x11","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x42","0x6d","0x32","0x4b","0x3d","16","8","0x10","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x6d","0x2e","0x4b","0x35","12","22","0xc","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x44","0x6d","0x2e","0x4b","0x35","13","21","0xd","0x15","0x32","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x4b","0x30","0x0","0x3c","13","22","0xd","0x16","0x3","0x33","0x32","0x65","0x3","0x3","0x9","0x0"
"0x47","0x6d","0x2e","0x4b","0x35","6","20","0x6","0x14","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x6d","0x28","0x4b","0x2d","16","10","0x10","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x49","0x6d","0x28","0x4b","0x35","11","22","0xb","0x16","0x1","0x14","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4a","0x6d","0x28","0x4b","0x2d","6","22","0x6","0x16","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x6d","0x28","0x4b","0x2d","3","16","0x3","0x10","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4c","0x6d","0x1c","0x4b","0x2d","14","16","0xe","0x10","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4d","0x6d","0x28","0x4b","0x35","10","13","0xa","0xd","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4e","0x6d","0xe","0x4b","0x65","15","19","0xf","0x13","0x2","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4f","0x6d","0x3a","0x4b","0x35","14","10","0xe","0xa","0x1f","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x50","0x6e","0x3a","0x4b","0x3d","11","3","0xb","0x3","0x20","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x51","0x6e","0x2e","0x4b","0x3d","4","16","0x4","0x10","0x2c","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x52","0x6d","0x2e","0x4b","0x35","9","22","0x9","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0x6d","0x18","0x4b","0x35","4","12","0x4","0xc","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x54","0x6d","0x28","0x4b","0x35","9","20","0x9","0x14","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x55","0x6d","0x28","0x4b","0x2d","9","21","0x9","0x15","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x56","0x6e","0x2e","0x4b","0x45","11","12","0xb","0xc","0x33","0x6f","0x0","0x0","0x0","0x3","0x9","0x0"
"0x57","0x6e","0x3c","0x4b","0x2d","12","4","0xc","0x4","0x1","0x55","0x0","0x0","0x6","0xc","0x9","0x0"
"0x58","0x6e","0x1c","0x4b","0x35","14","9","0xe","0x9","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x59","0x6d","0x2e","0x4b","0x35","12","22","0xc","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5a","0x6d","0x2e","0x4b","0x35","13","21","0xd","0x15","0x32","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5b","0x6d","0x28","0x4b","0x2d","15","6","0xf","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5c","0x6d","0x28","0x4b","0x2d","3","12","0x3","0xc","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5d","0x6d","0x28","0x4b","0x2d","9","17","0x9","0x11","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5e","0x6d","0x28","0x4b","0x2d","16","16","0x10","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5f","0x6d","0x28","0x4b","0x2d","15","15","0xf","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x60","0x6d","0x28","0x4b","0x2d","5","14","0x5","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x61","0x6d","0x3a","0x4b","0x35","16","2","0x10","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x62","0x6d","0x3a","0x4b","0x35","0","1","0x0","0x1","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x63","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x64","0x4b","0x30","0x0","0x3c","13","22","0xd","0x16","0xd","0x33","0x32","0x65","0x3","0x3","0x9","0x0"
"0x65","0x6d","0x2e","0x4b","0x35","13","5","0xd","0x5","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x66","0x6d","0x32","0x4b","0x2d","14","2","0xe","0x2","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x67","0x6d","0x28","0x4b","0x35","11","20","0xb","0x14","0x1","0x14","0x0","0x0","0x0","0x0","0x9","0x0"
"0x68","0x6d","0x28","0x4b","0x2d","6","22","0x6","0x16","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x69","0x6d","0x28","0x4b","0x2d","3","16","0x3","0x10","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6a","0x6d","0x1c","0x4b","0x2d","14","16","0xe","0x10","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6b","0x6d","0x28","0x4b","0x35","10","13","0xa","0xd","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6c","0x6d","0xe","0x4b","0x65","15","19","0xf","0x13","0x2","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6d","0x6d","0x3a","0x4b","0x35","14","10","0xe","0xa","0x20","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x6e","0x6e","0x3a","0x4b","0x3d","11","3","0xb","0x3","0x20","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6f","0x6e","0x2e","0x4b","0x3d","15","17","0xf","0x11","0x2c","0x6f","0x0","0x0","0x0","0x0","0x9","0x0"
"0x70","0x6d","0x2e","0x4b","0x35","15","7","0xf","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x71","0x6d","0x28","0x4b","0x35","4","12","0x4","0xc","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x72","0x6d","0x28","0x4b","0x35","7","17","0x7","0x11","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x73","0x6d","0x32","0x4b","0x3d","16","8","0x10","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x74","0x6e","0x2e","0x4b","0x45","11","12","0xb","0xc","0x33","0x6f","0x0","0x0","0x0","0x3","0x9","0x0"
"0x75","0x6e","0x3c","0x4b","0x2d","1","15","0x1","0xf","0x1","0x55","0x0","0x0","0x6","0xc","0x9","0x0"
"0x76","0x6e","0x1c","0x4b","0x35","14","9","0xe","0x9","0x3e","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x77","0x6d","0x2e","0x4b","0x35","12","22","0xc","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x78","0x6d","0x2e","0x4b","0x35","13","21","0xd","0x15","0x32","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x79","0x6d","0x2e","0x4b","0x35","4","16","0x4","0x10","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7a","0x6d","0x2e","0x4b","0x35","7","22","0x7","0x16","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7b","0x6d","0x2e","0x4b","0x35","9","18","0x9","0x12","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7c","0x6d","0x32","0x4b","0x2d","15","0","0xf","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7d","0x6d","0x32","0x4b","0x2d","16","1","0x10","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7e","0x6d","0x32","0x4b","0x2d","0","21","0x0","0x15","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7f","0x6d","0x32","0x4b","0x2d","1","22","0x1","0x16","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x80","0x6d","0x32","0x4b","0x2d","2","21","0x2","0x15","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x81","0x6d","0x32","0x4b","0x2d","3","22","0x3","0x16","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x82","0x6d","0x28","0x4b","0x35","12","11","0xc","0xb","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x83","0x6d","0x3a","0x4b","0x35","11","17","0xb","0x11","0x20","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x84","0x6d","0x3a","0x4b","0x35","13","12","0xd","0xc","0x28","0x0","0x0","0x0","0x0","0x1b","0x9","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x33","0x3a","0x0","0x40","8","6","0x8","0x6","0x20","0x28","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x1e","0x32","0x0","0x3a","3","0","0x3","0x5","0x16","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x1e","0x32","0x0","0x3a","3","0","0x3","0x5","0x1e","0x1c","0x6b","0x0","0x0","0x3","0xe","0x0"
"0x8b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x6d","0x3a","0x4b","0x35","14","0","0xe","0x0","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x6d","0x32","0x4b","0x35","14","0","0xe","0x0","0x1c","0x0","0x0","0x0","0x0","0xd","0x9","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x6d","0x3a","0x4b","0x35","2","0","0x2","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x6d","0x2f","0x4b","0x35","16","19","0x10","0x13","0x32","0x0","0x0","0x0","0x0","0xd","0x9","0x0"
"0x93","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x94","0xda","0x22","0x0","0xc","9","11","0x9","0xb","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x95","0x39","0x3d","0x0","0x72","7","11","0x7","0xb","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0x24","0x3e","0x0","0x6c","6","11","0x6","0xb","0xd","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x39","0x3f","0x0","0x72","7","11","0x7","0xb","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x99","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9a","0x1","0x1","0x0","0x49","8","3","0x8","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x2","0x3","0x0","0x41","7","4","0x7","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x2d","0x2","0x0","0x41","6","3","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9d","0x25","0x40","0x0","0xa","8","5","0x8","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0x4b","0x30","0x0","0x3c","3","10","0x3","0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa0","0x39","0x4f","0x0","0x72","5","7","0x5","0x7","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
