"0xcca198","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x14","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x47","0x14","0x0","0x94","21","3","0x15","0x3","0x1c","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x16","0x6a","0xa","0x47","0x1d","6","15","0x6","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x17","0x6a","0x28","0x47","0x1d","12","2","0xc","0x2","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x6a","0x28","0x47","0x25","14","2","0xe","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x6a","0x28","0x47","0x1d","11","6","0xb","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1a","0x6a","0xa","0x47","0x2d","14","8","0xe","0x8","0x3","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x6a","0xe","0x47","0x2d","10","4","0xa","0x4","0x1","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x6a","0x3c","0x47","0x1d","12","4","0xc","0x4","0x1","0x6a","0x0","0x0","0x0","0x5","0x9","0x0"
"0x1d","0x6a","0xa","0x47","0x25","11","16","0xb","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1e","0xec","0xa","0x47","0x2d","10","15","0xa","0xf","0x1","0x1b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1f","0x6b","0x18","0x47","0x2d","13","6","0xd","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x6a","0x18","0x47","0x35","17","6","0x11","0x6","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x6a","0xe","0x47","0x15","13","10","0xd","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x6a","0x28","0x47","0x2d","23","6","0x17","0x6","0x14","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x6a","0x28","0x47","0x1d","23","7","0x17","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x24","0x6a","0xa","0x47","0x15","5","14","0x5","0xe","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0x6a","0x20","0x47","0x45","18","2","0xb","0x8","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x26","0xec","0x20","0x47","0x4d","11","8","0x12","0x2","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x27","0x6a","0xa","0x47","0x2d","11","11","0xb","0xb","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x28","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0x47","0x14","0x0","0x44","21","3","0x15","0x3","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x20"
"0x2a","0x6a","0xa","0x47","0x1d","5","11","0x5","0xb","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x6a","0x32","0x47","0x35","12","5","0xc","0x5","0x15","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2c","0x6a","0x32","0x47","0x3d","14","2","0xe","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x6a","0x32","0x47","0x1d","10","9","0xa","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2e","0x6a","0xa","0x47","0x2d","14","8","0xe","0x8","0x3","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x6a","0xe","0x47","0x2d","10","4","0xa","0x4","0x1","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x30","0x6a","0x3c","0x47","0x1d","6","13","0x6","0xd","0x1","0x6a","0x0","0x0","0x0","0x5","0x9","0x0"
"0x31","0x6a","0xa","0x47","0x25","11","16","0xb","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x32","0x6a","0xa","0x47","0x25","10","15","0xa","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x33","0x6b","0x18","0x47","0x2d","13","6","0xd","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x34","0x6a","0x18","0x47","0x35","17","6","0x11","0x6","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x6a","0xe","0x47","0x15","13","10","0xd","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x36","0x6a","0x28","0x47","0x2d","23","6","0x17","0x6","0x3","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x37","0xec","0x28","0x47","0x1d","23","7","0x17","0x7","0x1b","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x38","0x6a","0xa","0x47","0x15","4","12","0x4","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x6a","0x20","0x47","0x45","18","2","0xb","0x8","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3a","0xec","0x20","0x47","0x4d","11","8","0x12","0x2","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x47","0x14","0x0","0x94","21","3","0x15","0x3","0x1c","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x3d","0x6a","0xa","0x47","0x1d","6","15","0x6","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0x6a","0x28","0x47","0x1d","12","2","0xc","0x2","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3f","0x6a","0x28","0x47","0x25","14","2","0xe","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x40","0x6a","0x28","0x47","0x1d","11","6","0xb","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x6a","0xa","0x47","0x2d","14","8","0xe","0x8","0x3","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x42","0x6a","0xe","0x47","0x2d","10","4","0xa","0x4","0x1","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x43","0x6a","0x3c","0x47","0x1d","12","4","0xc","0x4","0x1","0x6a","0x0","0x0","0x0","0x5","0x9","0x0"
"0x44","0x6a","0xa","0x47","0x25","11","16","0xb","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0x6a","0xa","0x47","0x25","10","15","0xa","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x46","0x6b","0x18","0x47","0x2d","13","6","0xd","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x47","0x6a","0x18","0x47","0x35","17","6","0x11","0x6","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x48","0x6a","0xe","0x47","0x15","13","10","0xd","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x49","0x6a","0x28","0x47","0x2d","23","6","0x17","0x6","0x14","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4a","0x6a","0x28","0x47","0x1d","23","7","0x17","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4b","0x6a","0xa","0x47","0x15","5","14","0x5","0xe","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0xec","0x20","0x47","0x1d","11","8","0xb","0x8","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4d","0x6a","0x20","0x47","0x2d","18","2","0x12","0x2","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4e","0x6a","0xa","0x47","0x2d","11","11","0xb","0xb","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4f","0x6a","0x28","0x47","0x1d","6","16","0x6","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0x6a","0x28","0x47","0x1d","7","16","0x7","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x51","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x52","0x47","0x14","0x0","0x44","21","3","0x15","0x3","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x20"
"0x53","0x6a","0xa","0x47","0x1d","5","11","0x5","0xb","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x54","0x6a","0x32","0x47","0x35","12","5","0xc","0x5","0x15","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x55","0x6a","0x32","0x47","0x3d","14","2","0xe","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x56","0x6a","0x32","0x47","0x1d","10","9","0xa","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x57","0x6a","0xa","0x47","0x2d","14","8","0xe","0x8","0x3","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x58","0x6a","0xe","0x47","0x2d","10","4","0xa","0x4","0x1","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x59","0x6a","0x3c","0x47","0x1d","6","13","0x6","0xd","0x1","0x6a","0x0","0x0","0x0","0x5","0x9","0x0"
"0x5a","0x6a","0xa","0x47","0x25","11","16","0xb","0x10","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0x6a","0xa","0x47","0x25","10","15","0xa","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5c","0x6b","0x18","0x47","0x2d","13","6","0xd","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5d","0x6a","0x18","0x47","0x35","17","6","0x11","0x6","0x2d","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5e","0x6a","0xe","0x47","0x15","13","10","0xd","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5f","0x6a","0x28","0x47","0x2d","23","6","0x17","0x6","0x3","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x60","0x6a","0x28","0x47","0x1d","23","7","0x17","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x61","0x6a","0xa","0x47","0x15","4","12","0x4","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x62","0xec","0x20","0x47","0x1d","11","8","0xb","0x8","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x63","0x6a","0x20","0x47","0x2d","18","2","0x12","0x2","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x64","0x6a","0x28","0x47","0x1d","6","16","0x6","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x65","0x6a","0x28","0x47","0x1d","7","16","0x7","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x66","0x6a","0x28","0x47","0x2d","23","1","0x17","0x1","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x67","0x6a","0x28","0x47","0x2d","23","2","0x17","0x2","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x68","0x6a","0x32","0x47","0x3d","19","6","0x13","0x6","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x69","0x6a","0x32","0x47","0x3d","20","7","0x14","0x7","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x2d","0x2","0x1","0x20","21","14","0x15","0xe","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x31","0x32","0x1","0x18","21","13","0x15","0xd","0x15","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6d","0x2e","0x18","0x1","0x20","22","13","0x16","0xd","0x2c","0x2d","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x2f","0x28","0x1","0x28","15","11","0xf","0xb","0x3","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x30","0x28","0x1","0x20","19","15","0x13","0xf","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x71","0x2d","0x2","0x1","0x20","21","14","0x15","0xe","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x72","0x31","0x32","0x1","0x18","21","13","0x15","0xd","0x15","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x73","0x2e","0x18","0x1","0x20","22","13","0x16","0xd","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x74","0x2f","0x28","0x1","0x28","15","11","0xf","0xb","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x75","0x30","0x28","0x1","0x20","19","15","0x13","0xf","0x14","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x76","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x77","0xe4","0x39","0x47","0x1d","8","0","0x8","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x78","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x79","0xe4","0x39","0x47","0x1d","6","16","0x6","0x10","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x7a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7b","0xe4","0x39","0x47","0x25","23","16","0x17","0x10","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x7c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7d","0x6a","0xa","0x47","0x25","15","2","0xf","0x2","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7e","0x6a","0x28","0x47","0x25","15","4","0xf","0x4","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x6a","0x28","0x47","0x1d","1","0","0x1","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x81","0x6a","0x28","0x47","0x25","3","0","0x3","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x6a","0x28","0x47","0x3d","3","0","0x3","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x84","0x6a","0x28","0x47","0x3d","3","0","0x1","0x0","0x1c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x1","0x1","0x0","0x31","3","0","0x3","0x0","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x87","0x2","0x3","0x1","0x29","2","0","0x2","0x0","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x88","0x1a","0x2a","0x1","0x19","0","0","0x0","0x0","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x1","0x1","0x0","0x31","21","5","0x15","0x5","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x2","0x3","0x1","0x29","20","4","0x14","0x4","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x2d","0x2","0x1","0x20","22","4","0x16","0x4","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x1a","0x2a","0x1","0x19","22","6","0x16","0x6","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8e","0xb","0x14","0x1","0x49","20","6","0x14","0x6","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
