"0xcc820c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0x2","0x3","0x1","0x8","2","0","0x2","0x1","0x8d","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x23","0x3c","0x1","0x10","1","0","0x1","0x0","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x24","0xb","0x14","0x1","0x48","2","0","0x2","0x0","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x11","0x1d","0x1","0x8","1","0","0x1","0x1","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x2","0x3","0x1","0x8","4","2","0x4","0x2","0x8d","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0xb","0x14","0x1","0x48","3","2","0x3","0x2","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x3f","0x12","0x0","0x4c","6","2","0x6","0x4","0x20","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x2b","0x42","0x38","0x3f","0x15","5","3","0x8","0x8","0x14","0x0","0x0","0x0","0x0","0x6","0x9","0x0"
"0x2c","0x42","0x38","0x3f","0xd","6","3","0xa","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x42","0x39","0x3f","0xd","16","9","0xf","0x9","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2f","0x42","0xa","0x3f","0xd","7","7","0x8","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x30","0x42","0xa","0x3f","0xd","15","1","0xe","0x4","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x31","0x42","0xa","0x3f","0x15","15","1","0xf","0x5","0x1","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x42","0x39","0x3f","0x1d","12","12","0xc","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x33","0x42","0x39","0x3f","0xd","16","9","0xe","0x6","0x1f","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x34","0x42","0x12","0x3f","0xd","15","1","0x10","0x3","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x42","0x18","0x3f","0x15","16","1","0xe","0x2","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x36","0x42","0x18","0x3f","0x15","6","7","0x4","0x5","0x2c","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x37","0x42","0x38","0x3f","0x15","5","7","0x7","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0x29","0x0"
"0x38","0x42","0x38","0x3f","0xd","5","8","0x5","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x39","0x42","0x12","0x3f","0x15","16","4","0xc","0x4","0x1f","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0xcd","0x38","0x3f","0x15","3","1","0x2","0x2","0x28","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
