"0xcc64e0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xf","0xda","0x47","0x0","0x3b","8","10","0x8","0xa","0x0","0x0","0x0","0x0","0x6","0x0","0x0","0x0"
"0x10","0xdb","0x47","0x0","0x3b","6","13","0x6","0xd","0x0","0x0","0x0","0x0","0x6","0x0","0x0","0x0"
"0x11","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x12","0x9c","0xa","0x9f","0x15","17","10","0x8","0x9","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x13","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x3","0x2","0x0","0x8","4","7","0x4","0x7","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x15","0x17","0x28","0x3","0x8","5","10","0x5","0xa","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x16","0x18","0x28","0x3","0x8","6","9","0x6","0x9","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x17","0x1d","0x32","0x3","0x8","3","10","0x3","0xa","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0xd","0x18","0x3","0x10","6","10","0x6","0xa","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x8","0x12","0x3","0x18","3","9","0x3","0x9","0x1f","0x28","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x13","0x20","0x3","0x8","6","11","0x6","0xb","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x11","0x1d","0x3","0x8","4","9","0x4","0x9","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x9f","0x14","0x0","0x2c","12","1","0xc","0x1","0x16","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x1e","0xa2","0xa","0x9f","0xd","17","10","0x7","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x1f","0xa2","0xa","0x9f","0xd","17","10","0x8","0xb","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x20","0xa3","0x18","0x9f","0xd","12","2","0xc","0x2","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x21","0xa4","0x38","0x9f","0xd","16","7","0x10","0x7","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x22","0xa4","0x38","0x9f","0xd","16","10","0x10","0xa","0x14","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x23","0xdf","0x38","0x9f","0xd","16","4","0x10","0x4","0x14","0x69","0x0","0x0","0x3","0x3","0x1","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x9f","0x14","0x0","0x2c","12","1","0xc","0x1","0x16","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x26","0xa2","0xa","0x9f","0xd","17","10","0x7","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x27","0xa2","0xa","0x9f","0xd","17","10","0x8","0xb","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x28","0xa3","0x18","0x9f","0xd","12","2","0xc","0x2","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x29","0xa4","0x38","0x9f","0xd","16","7","0x10","0x7","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2a","0xdf","0x38","0x9f","0xd","16","10","0x10","0xa","0x14","0x69","0x0","0x0","0x3","0x3","0x1","0x0"
"0x2b","0xdf","0x38","0x9f","0xd","16","4","0x10","0x4","0x14","0x69","0x0","0x0","0x3","0x3","0x1","0x0"
"0x2c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x23","0x3c","0x3","0x10","4","1","0x4","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2f","0x1c","0x2e","0x3","0x38","17","11","0x11","0xb","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0x3","0x2","0x0","0x8","8","7","0x8","0x7","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x32","0x17","0x28","0x3","0x8","7","6","0x7","0x6","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x33","0x18","0x28","0x3","0x8","7","8","0x7","0x8","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x34","0x1d","0x32","0x3","0x8","8","5","0x8","0x5","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0xd","0x18","0x3","0x10","6","5","0x6","0x5","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0xcd","0x51","0x0","0xa","8","6","0x8","0x6","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x1c","0x2e","0x3","0x38","11","7","0xb","0x7","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
