"0xcdded0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x12","0x2","0x9","0x0","0x19","0","28","0x0","0x1c","0x21","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x13","0x2d","0x8","0x0","0x29","5","28","0x5","0x1c","0xa","0x4","0x12","0x2d","0x0","0x0","0x0","0x0"
"0x14","0x22","0x3b","0x0","0x21","0","25","0x0","0x19","0x28","0x26","0x25","0x24","0x0","0x0","0x0","0x0"
"0x15","0x5","0x13","0x0","0x51","0","29","0x0","0x1d","0x21","0x2e","0x2a","0x0","0x0","0x0","0x0","0x0"
"0x16","0xe","0x1b","0x0","0x61","0","26","0x0","0x1a","0x30","0x2e","0x33","0x0","0x0","0x0","0x0","0x0"
"0x17","0x15","0x22","0x0","0xa1","2","26","0x2","0x1a","0x39","0x3a","0x4c","0x4d","0x0","0x0","0x0","0x0"
"0x18","0x16","0x26","0x0","0x61","3","27","0x3","0x1b","0x44","0x45","0x46","0x4b","0x0","0x0","0x0","0x0"
"0x19","0x10","0x1e","0x0","0x9","2","25","0x2","0x19","0x3f","0x40","0x4a","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x1b","0x2d","0x0","0x39","3","25","0x3","0x19","0x4b","0x4d","0x4f","0x38","0x0","0x0","0x0","0x0"
"0x1b","0x30","0x2a","0x0","0x59","7","28","0x7","0x1c","0x17","0x4","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x1c","0x31","0x33","0x0","0x31","4","28","0x4","0x1c","0x1a","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0x1d","0x20","0x34","0x0","0x79","5","27","0x5","0x1b","0x1a","0x17","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x23","0x3c","0x0","0x89","4","26","0x4","0x1a","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0xb","0x16","0x0","0x61","6","29","0x6","0x1d","0x1a","0x17","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x20","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x85","0x5a","0x0","0xa4","24","3","0x18","0x3","0x3b","0x0","0x0","0x0","0x3","0x3","0xa","0x20"
"0x22","0xf1","0x26","0x85","0x45","23","17","0x17","0x11","0x47","0x46","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0xeb","0x34","0x85","0x85","10","4","0xa","0x4","0x1c","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x24","0xeb","0x34","0x85","0x85","12","4","0xc","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x25","0xeb","0x34","0x85","0x85","26","22","0x1a","0x16","0x16","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x26","0xeb","0x34","0x85","0x85","26","20","0x1a","0x14","0x15","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x27","0xeb","0x13","0x85","0x45","18","28","0x12","0x1c","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x28","0xeb","0x13","0x85","0x45","20","15","0x14","0xf","0x27","0x30","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0xeb","0x39","0x85","0x85","7","15","0x7","0xf","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x2a","0xeb","0x10","0x85","0x45","10","18","0xa","0x12","0xc","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0xeb","0xc","0x85","0x85","3","5","0x3","0x5","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0xeb","0xc","0x85","0x85","1","2","0x1","0x2","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0xeb","0x22","0x85","0x55","9","17","0x9","0x11","0x3a","0x3b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0xeb","0x1e","0x85","0x45","10","2","0xa","0x2","0x42","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2f","0xeb","0x1e","0x85","0x45","13","10","0xd","0xa","0x42","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x30","0xeb","0x14","0x85","0x85","13","22","0xd","0x16","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x31","0xeb","0x14","0x85","0x85","13","24","0xd","0x18","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0xeb","0x16","0x85","0x45","13","23","0xd","0x17","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0xeb","0x28","0x85","0x85","4","20","0x4","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0xeb","0x28","0x85","0x85","5","21","0x5","0x15","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0xeb","0x1a","0x85","0x45","4","11","0x4","0xb","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0xeb","0x1a","0x85","0x1d","22","28","0x16","0x1c","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x37","0xeb","0x1a","0x85","0x45","15","8","0xf","0x8","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0xeb","0x1a","0x85","0x45","20","1","0x14","0x1","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x39","0xeb","0x1a","0x85","0x45","27","7","0x1b","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3b","0x85","0x5a","0x0","0xa4","24","3","0x18","0x3","0x3a","0x3b","0x0","0x0","0x3","0x3","0xa","0x20"
"0x3c","0xf1","0x26","0x85","0x45","17","14","0x11","0xe","0x47","0x46","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0xeb","0x36","0x85","0x45","11","5","0xb","0x5","0x17","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x3e","0xeb","0x34","0x85","0x85","10","4","0xa","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x3f","0xeb","0x34","0x85","0x85","12","4","0xc","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x40","0xeb","0x36","0x85","0x45","26","21","0x1a","0x15","0x17","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x41","0xeb","0x34","0x85","0x85","26","22","0x1a","0x16","0x16","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x42","0xeb","0x34","0x85","0x85","26","20","0x1a","0x14","0x1b","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x43","0xeb","0x13","0x85","0x45","22","28","0x16","0x1c","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0xeb","0x13","0x85","0x45","20","15","0x14","0xf","0x27","0x30","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0xeb","0x39","0x85","0x85","10","17","0xa","0x11","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x46","0xeb","0x10","0x85","0x45","16","13","0x10","0xd","0xc","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x47","0xeb","0xc","0x85","0x85","2","5","0x2","0x5","0x21","0x10","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0xeb","0xc","0x85","0x85","1","4","0x1","0x4","0x4","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x49","0xeb","0x22","0x85","0x55","22","9","0x16","0x9","0x3a","0x3b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0xeb","0x1e","0x85","0x45","10","2","0xa","0x2","0x42","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0xeb","0x1e","0x85","0x45","13","10","0xd","0xa","0x42","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0xeb","0x14","0x85","0x85","0","12","0x0","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4d","0xeb","0x14","0x85","0x85","2","12","0x2","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4e","0xeb","0x16","0x85","0x45","1","13","0x1","0xd","0x17","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4f","0xeb","0x28","0x85","0x85","23","27","0x17","0x1b","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0xeb","0x28","0x85","0x85","23","29","0x17","0x1d","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0xeb","0x1a","0x85","0x45","4","13","0x4","0xd","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0xeb","0x1a","0x85","0x45","1","11","0x1","0xb","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0xeb","0x1a","0x85","0x45","19","1","0x13","0x1","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x54","0xeb","0x1a","0x85","0x45","18","12","0x12","0xc","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x55","0xeb","0x39","0x85","0x85","16","20","0x10","0x14","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x56","0xeb","0x1a","0x85","0x45","5","11","0x5","0xb","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x57","0xeb","0x1a","0x85","0x45","24","9","0x18","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0xeb","0x2a","0x85","0x45","23","17","0x17","0x11","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0xeb","0x28","0x85","0x85","22","18","0x16","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0xeb","0x28","0x85","0x85","24","16","0x18","0x10","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x85","0x23","0x85","0xa4","24","3","0x18","0x3","0x3a","0x3b","0x0","0x0","0x3","0x3","0xa","0x20"
"0x5d","0xf1","0x26","0x85","0x45","23","17","0x17","0x11","0x47","0x46","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0xeb","0x34","0x85","0x85","10","4","0xa","0x4","0x1c","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x5f","0xeb","0x34","0x85","0x85","12","4","0xc","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x60","0xeb","0x34","0x85","0x85","26","22","0x1a","0x16","0x16","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x61","0xeb","0x34","0x85","0x85","26","20","0x1a","0x14","0x15","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x62","0xeb","0x13","0x85","0x45","18","28","0x12","0x1c","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0xeb","0x13","0x85","0x45","20","15","0x14","0xf","0x27","0x30","0x0","0x0","0x0","0x3","0xa","0x0"
"0x64","0xeb","0x39","0x85","0x85","7","15","0x7","0xf","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x65","0xeb","0x10","0x85","0x45","10","18","0xa","0x12","0xc","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x66","0xeb","0xc","0x85","0x85","3","5","0x3","0x5","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x67","0xeb","0xc","0x85","0x85","1","2","0x1","0x2","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x68","0xeb","0x22","0x85","0x55","9","17","0x9","0x11","0x3a","0x3b","0x4e","0x0","0x0","0x3","0xa","0x0"
"0x69","0xeb","0x1e","0x85","0x45","10","2","0xa","0x2","0x42","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6a","0xeb","0x1e","0x85","0x45","13","10","0xd","0xa","0x42","0x4e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6b","0xeb","0x14","0x85","0x85","13","22","0xd","0x16","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6c","0xeb","0x14","0x85","0x85","13","24","0xd","0x18","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6d","0xeb","0x16","0x85","0x45","13","23","0xd","0x17","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6e","0xeb","0x28","0x85","0x85","4","20","0x4","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0xeb","0x28","0x85","0x85","5","21","0x5","0x15","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x70","0xeb","0x1a","0x85","0x45","4","11","0x4","0xb","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x71","0xeb","0x1a","0x85","0x1d","22","28","0x16","0x1c","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x72","0xeb","0x1a","0x85","0x45","15","8","0xf","0x8","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x73","0xeb","0x1a","0x85","0x45","20","1","0x14","0x1","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x74","0xeb","0x1a","0x85","0x45","27","7","0x1b","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x75","0xeb","0x1a","0x85","0x1d","24","29","0x18","0x1d","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x76","0xeb","0x1a","0x85","0x1d","10","10","0xa","0xa","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x77","0xeb","0x1a","0x85","0x1d","1","4","0x1","0x4","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x78","0xeb","0x1a","0x85","0x1d","19","4","0x13","0x4","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x79","0xeb","0x34","0x85","0x85","27","19","0x1b","0x13","0x15","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x7a","0xeb","0x34","0x85","0x85","27","23","0x1b","0x17","0x15","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x7b","0xeb","0x34","0x85","0x85","12","6","0xc","0x6","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x7c","0xeb","0x34","0x85","0x85","10","6","0xa","0x6","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x7d","0xeb","0x14","0x85","0x85","15","22","0xf","0x16","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7e","0xeb","0x14","0x85","0x85","15","24","0xf","0x18","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7f","0xeb","0x1a","0x85","0x45","1","13","0x1","0xd","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x80","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x81","0x85","0x23","0x0","0xa4","24","3","0x18","0x3","0x3a","0x3b","0x0","0x0","0x3","0x3","0xa","0x20"
"0x82","0xf1","0x26","0x85","0x45","19","16","0x13","0x10","0x48","0x46","0x0","0x0","0x0","0x3","0xa","0x0"
"0x83","0xeb","0x36","0x85","0x45","11","5","0xb","0x5","0x17","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x84","0xeb","0x34","0x85","0x85","10","4","0xa","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x85","0xeb","0x34","0x85","0x85","12","4","0xc","0x4","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x86","0xeb","0x34","0x85","0x85","10","6","0xa","0x6","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x87","0xeb","0x34","0x85","0x85","12","6","0xc","0x6","0x1a","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x88","0xeb","0x36","0x85","0x45","26","21","0x1a","0x15","0x17","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x89","0xeb","0x34","0x85","0x85","26","22","0x1a","0x16","0x1b","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x8a","0xeb","0x34","0x85","0x85","26","20","0x1a","0x14","0x1e","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x8b","0xeb","0x34","0x85","0x85","25","21","0x19","0x15","0x1b","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x8c","0xeb","0x34","0x85","0x85","27","21","0x1b","0x15","0x1e","0x0","0x0","0x0","0x0","0x1d","0xa","0x0"
"0x8d","0xeb","0x2a","0x85","0x35","23","27","0x17","0x1b","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8e","0xeb","0x2a","0x85","0x35","23","29","0x17","0x1d","0x13","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8f","0xeb","0x2a","0x85","0x45","23","17","0x17","0x11","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x90","0xeb","0x28","0x85","0x85","22","18","0x16","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x91","0xeb","0x28","0x85","0x85","24","16","0x18","0x10","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x92","0xeb","0xc","0x85","0x45","3","6","0x3","0x6","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x93","0xeb","0xc","0x85","0xa5","9","19","0x9","0x13","0x21","0x10","0x0","0x0","0x0","0x3","0xa","0x0"
"0x94","0xeb","0xc","0x85","0x45","2","5","0x2","0x5","0x21","0x10","0x0","0x0","0x0","0x3","0xa","0x0"
"0x95","0xeb","0xc","0x85","0x45","1","4","0x1","0x4","0x4","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x96","0xeb","0x10","0x85","0xa5","10","18","0xa","0x12","0xc","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x97","0xeb","0x13","0x85","0x45","18","26","0x12","0x1a","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x98","0xeb","0x13","0x85","0x45","22","28","0x16","0x1c","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x99","0xeb","0x13","0x85","0x45","20","15","0x14","0xf","0x27","0x30","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9a","0xeb","0x39","0x85","0x85","10","17","0xa","0x11","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x9b","0xeb","0x39","0x85","0x85","16","20","0x10","0x14","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x9c","0xeb","0x22","0x85","0x55","22","9","0x16","0x9","0x3a","0x3b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9d","0xeb","0x1e","0x85","0x45","10","2","0xa","0x2","0x42","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9e","0xeb","0x1e","0x85","0x45","13","10","0xd","0xa","0x42","0x4e","0x52","0x0","0x0","0x3","0xa","0x0"
"0x9f","0xeb","0x14","0x85","0x85","0","12","0x0","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa0","0xeb","0x14","0x85","0x85","2","12","0x2","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa1","0xeb","0x16","0x85","0x45","1","13","0x1","0xd","0x17","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa2","0xeb","0x1a","0x85","0x45","27","9","0x1b","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa3","0xeb","0x1a","0x85","0x45","21","8","0x15","0x8","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa4","0xeb","0x1a","0x85","0x45","19","1","0x13","0x1","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa5","0xeb","0x1a","0x85","0x45","18","12","0x12","0xc","0x2e","0x33","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa6","0xeb","0x1a","0x85","0x45","9","3","0x9","0x3","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa7","0xeb","0x1a","0x85","0x45","24","9","0x18","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa9","0x12","0x1e","0x0","0x80","5","2","0x5","0x3","0x40","0x4e","0x7a","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x12","0x1e","0x0","0x82","5","2","0xff","0x3","0x40","0x4e","0x0","0x0","0x0","0x0","0x0","0x0"
"0xac","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xad","0xeb","0x28","0x85","0x85","5","21","0x5","0x15","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xae","0xeb","0x28","0x85","0x85","4","20","0x4","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xaf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0xeb","0x33","0x85","0x55","3","0","0x3","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb1","0xeb","0x33","0x85","0x55","1","0","0x1","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0xeb","0x30","0x85","0x45","27","28","0x1b","0x1c","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb4","0xeb","0x30","0x85","0x45","26","29","0x1a","0x1d","0x2d","0x3","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0xeb","0x28","0x85","0x85","27","28","0x1b","0x1c","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb7","0xeb","0x28","0x85","0x85","26","29","0x1a","0x1d","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb9","0xeb","0x2d","0x85","0x45","27","28","0x1b","0x1c","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xba","0xeb","0x2d","0x85","0x45","26","29","0x1a","0x1d","0x39","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xbb","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbc","0xeb","0x36","0x85","0x45","26","17","0x1a","0x11","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xbd","0xeb","0x34","0x85","0x85","27","16","0x1b","0x10","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xbe","0xeb","0x34","0x85","0x85","27","18","0x1b","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xbf","0xeb","0x2a","0x85","0x45","8","1","0x8","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc0","0xeb","0x28","0x85","0x85","9","0","0x9","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc1","0xeb","0x28","0x85","0x85","7","0","0x7","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc3","0xeb","0x36","0x85","0x45","26","17","0x1a","0x11","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc4","0xeb","0x34","0x85","0x85","27","16","0x1b","0x10","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc5","0xeb","0x34","0x85","0x85","27","18","0x1b","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc6","0xeb","0x34","0x85","0x85","25","18","0x19","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
