"0xcd8498","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1c","0x6d","0x14","0x51","0x6d","8","23","0x8","0x17","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1d","0x6d","0x14","0x51","0x6d","6","23","0x6","0x17","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0x6d","0xa","0x51","0x6d","7","21","0x7","0x15","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x1f","0x6d","0x18","0x51","0x6d","0","18","0x0","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x20","0x6d","0xa","0x51","0x6d","1","14","0x1","0xe","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0x6d","0x20","0x51","0x6d","0","13","0x0","0xd","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x22","0x6d","0xc","0x51","0x6d","1","11","0x1","0xb","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x6d","0x20","0x51","0x6d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0x6e","0x14","0x51","0x6d","1","9","0x1","0x9","0x16","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x6d","0x18","0x51","0x6d","0","8","0x0","0x8","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x26","0x6d","0xa","0x51","0x6d","0","7","0x0","0x7","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0x6d","0xa","0x51","0x6d","2","7","0x2","0x7","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x28","0x6d","0x12","0x51","0x6d","1","4","0x1","0x4","0x20","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x29","0x6d","0xa","0x51","0x6d","0","2","0x0","0x2","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2a","0x6e","0xc","0x51","0x6d","1","2","0x1","0x2","0x4","0x6a","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x6d","0xa","0x51","0x6d","2","2","0x2","0x2","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x6e","0x14","0x51","0x6d","7","10","0x7","0xa","0x16","0x69","0x0","0x0","0x0","0x11","0xa","0x0"
"0x2d","0x6d","0x20","0x51","0x6d","12","10","0xc","0xa","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x2e","0x6d","0x20","0x51","0x6d","21","8","0x15","0x8","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x2f","0x6d","0x12","0x51","0x6d","23","10","0x17","0xa","0x2b","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x30","0x6d","0x12","0x51","0x6d","28","8","0x1c","0x8","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0x6d","0x20","0x51","0x6d","27","13","0x1b","0xd","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x32","0x6d","0x1c","0x51","0x6d","29","20","0x1d","0x14","0x3f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x33","0x6e","0x1e","0x51","0x35","28","27","0x1c","0x1b","0x40","0x4d","0x66","0x0","0x0","0x3","0xa","0x0"
"0x34","0x6d","0x3c","0x51","0x6d","25","27","0x19","0x1b","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x35","0x6d","0x20","0x51","0x6d","15","26","0xf","0x1a","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x51","0x2d","0x0","0x7c","28","26","0x1c","0x1a","0x3a","0x39","0x0","0x0","0x3","0x3","0xa","0x0"
"0x38","0x5a","0x2a","0x51","0x34","6","11","0x6","0xb","0x17","0x0","0x0","0x0","0x0","0x3","0x2","0x0"
"0x39","0x6e","0x1e","0x51","0x35","26","9","0x1a","0x9","0x40","0x4d","0x66","0x0","0x0","0x3","0xa","0x0"
"0x3a","0x6e","0x20","0x51","0x6d","0","6","0x0","0x6","0x38","0x69","0x0","0x0","0x0","0x11","0xa","0x0"
"0x3b","0x6e","0x12","0x51","0x6d","23","2","0x17","0x2","0x2a","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0x6e","0xc","0x51","0x6d","26","3","0x1a","0x3","0x4","0x6a","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0x6d","0x1c","0x51","0x7d","28","17","0x1c","0x11","0x3f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x3e","0x6d","0x20","0x51","0x6d","10","25","0xa","0x19","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3f","0x6d","0x20","0x51","0x6d","20","10","0x14","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x40","0x6d","0x20","0x51","0x6d","11","25","0xb","0x19","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x41","0x6d","0x20","0x51","0x6d","27","11","0x1b","0xb","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x42","0x6d","0x20","0x51","0x6d","28","4","0x1c","0x4","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0x6d","0x14","0x51","0x6d","8","24","0x8","0x18","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0x6d","0x14","0x51","0x6d","6","24","0x6","0x18","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0x6d","0x14","0x51","0x6d","27","8","0x1b","0x8","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x46","0x6d","0x18","0x51","0x6d","8","26","0x8","0x1a","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x47","0x6d","0x18","0x51","0x6d","29","13","0x1d","0xd","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x6d","0xa","0x51","0x6d","2","26","0x2","0x1a","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x49","0x6d","0xa","0x51","0x6d","21","8","0x15","0x8","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0x6d","0xa","0x51","0x6d","26","26","0x1a","0x1a","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x6d","0xa","0x51","0x6d","29","24","0x1d","0x18","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x6d","0xa","0x51","0x7d","27","27","0x1b","0x1b","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4d","0x6d","0xa","0x51","0x7d","29","25","0x1d","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4e","0x6d","0xa","0x51","0x7d","27","25","0x1b","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4f","0x6d","0xa","0x51","0x7d","29","27","0x1d","0x1b","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0x6d","0x12","0x51","0x6d","7","17","0x7","0x11","0x2a","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x51","0x6d","0x12","0x51","0x6d","7","23","0x7","0x17","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x6d","0x12","0x51","0x6d","11","21","0xb","0x15","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0x6d","0x12","0x51","0x6d","12","26","0xc","0x1a","0x2a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x54","0x6d","0x12","0x51","0x6d","15","20","0xf","0x14","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x55","0x6d","0x12","0x51","0x6d","19","21","0x13","0x15","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x56","0x6d","0x12","0x51","0x55","21","26","0x19","0x1b","0x1f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x57","0x6d","0x12","0x51","0x6d","24","4","0x18","0x4","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0x6d","0x12","0x51","0x6d","28","10","0x1c","0xa","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x59","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5a","0x51","0x2d","0x0","0x7c","7","26","0x7","0x1a","0x3a","0x39","0x0","0x0","0x3","0x3","0xa","0x0"
"0x5b","0x5a","0x2a","0x51","0x34","6","26","0x6","0x1a","0x17","0x0","0x0","0x0","0x0","0x3","0x2","0x0"
"0x5c","0x6d","0x12","0x51","0x6d","23","10","0x17","0xa","0x2b","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5d","0x6d","0x12","0x51","0x6d","28","8","0x1c","0x8","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0x6d","0x20","0x51","0x6d","15","26","0xf","0x1a","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5f","0x6d","0x1e","0x51","0x35","28","27","0x1c","0x1b","0x40","0x4d","0x0","0x0","0x0","0x3","0xa","0x0"
"0x60","0x6d","0x1c","0x51","0x6d","29","20","0x1d","0x14","0x3f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x61","0x6d","0x20","0x51","0x6d","21","8","0x15","0x8","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x62","0x6d","0x20","0x51","0x6d","26","27","0x1a","0x1b","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x63","0x6d","0x20","0x51","0x6d","12","10","0xc","0xa","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x64","0x6d","0x20","0x51","0x6d","27","13","0x1b","0xd","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x65","0x6d","0x24","0x51","0x6d","22","27","0x16","0x1b","0x44","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x66","0x6d","0x12","0x51","0x6d","1","4","0x1","0x4","0x20","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x67","0x6d","0x14","0x51","0x6d","1","9","0x1","0x9","0x16","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x68","0x6d","0x14","0x51","0x6d","8","23","0x8","0x17","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x69","0x6d","0x14","0x51","0x6d","6","23","0x6","0x17","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6a","0x6d","0x14","0x51","0x6d","7","10","0x7","0xa","0x16","0x69","0x0","0x0","0x0","0x11","0xa","0x0"
"0x6b","0x6d","0x18","0x51","0x6d","0","8","0x0","0x8","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x6c","0x6d","0x18","0x51","0x6d","0","18","0x0","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6d","0x6d","0xc","0x51","0x6d","1","11","0x1","0xb","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6e","0x6d","0xa","0x51","0x6d","1","14","0x1","0xe","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6f","0x6d","0xa","0x51","0x6d","7","21","0x7","0x15","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x70","0x6d","0xa","0x51","0x6d","2","7","0x2","0x7","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x71","0x6d","0xa","0x51","0x6d","0","7","0x0","0x7","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x72","0x6d","0xa","0x51","0x6d","0","2","0x0","0x2","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x73","0x6d","0xc","0x51","0x6d","1","2","0x1","0x2","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x74","0x6d","0xa","0x51","0x6d","2","2","0x2","0x2","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x75","0x6d","0x3c","0x51","0x6d","25","27","0x19","0x1b","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x76","0x6d","0x20","0x51","0x6d","0","13","0x0","0xd","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x77","0x6d","0x20","0x51","0x6d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x78","0x6d","0x3c","0x51","0xa5","20","24","0x14","0x18","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x79","0x6d","0x12","0x51","0x6d","23","4","0x17","0x4","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7a","0x6d","0x12","0x51","0x6d","27","2","0x1b","0x2","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7b","0x6d","0x20","0x51","0x6d","16","9","0x10","0x9","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x7c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7d","0x51","0x2d","0x0","0x7c","28","26","0x1c","0x1a","0x3a","0x39","0x0","0x0","0x3","0x3","0xa","0x0"
"0x7e","0x5a","0x2a","0x51","0x35","8","10","0x8","0xa","0x17","0x0","0x0","0x0","0x0","0x3","0x2","0x0"
"0x7f","0x6d","0x12","0x51","0x6d","11","21","0xb","0x15","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x80","0x6d","0x12","0x51","0x6d","28","10","0x1c","0xa","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x81","0x6d","0x20","0x51","0x6d","10","25","0xa","0x19","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x82","0x6d","0x1e","0x51","0x35","26","9","0x1a","0x9","0x40","0x4d","0x0","0x0","0x0","0x3","0xa","0x0"
"0x83","0x6d","0x1c","0x51","0x7d","28","17","0x1c","0x11","0x3f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x84","0x6d","0x20","0x51","0x6d","20","10","0x14","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x85","0x6d","0x20","0x51","0x6d","11","25","0xb","0x19","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x86","0x6d","0x20","0x51","0x6d","0","6","0x0","0x6","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x87","0x6d","0x20","0x51","0x6d","27","11","0x1b","0xb","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x88","0x6d","0x12","0x51","0x55","25","27","0x19","0x1b","0x1f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x89","0x6d","0x12","0x51","0x6d","15","20","0xf","0x14","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8a","0x6d","0x14","0x51","0x6d","8","25","0x8","0x19","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8b","0x6d","0x14","0x51","0x6d","6","25","0x6","0x19","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8c","0x6d","0x14","0x51","0x6d","27","8","0x1b","0x8","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8d","0x6d","0x18","0x51","0x6d","15","26","0xf","0x1a","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x8e","0x6d","0x18","0x51","0x6d","29","13","0x1d","0xd","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8f","0x6d","0xc","0x51","0x6d","26","3","0x1a","0x3","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x90","0x6d","0xa","0x51","0x6d","21","8","0x15","0x8","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x91","0x6d","0x12","0x51","0x6d","2","26","0x2","0x1a","0x1f","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x92","0x6d","0x12","0x51","0x6d","12","26","0xc","0x1a","0x2a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x93","0x6d","0xa","0x51","0x6d","26","26","0x1a","0x1a","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x94","0x6d","0xa","0x51","0x6d","29","24","0x1d","0x18","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x95","0x6d","0x20","0x51","0x6d","28","4","0x1c","0x4","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x96","0x6d","0x12","0x51","0x6d","8","20","0x8","0x14","0x20","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0x97","0x6d","0x12","0x51","0x6d","24","4","0x18","0x4","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x98","0x6d","0x12","0x51","0x6d","23","2","0x17","0x2","0x2a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x99","0x6d","0x12","0x51","0x6d","19","21","0x13","0x15","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9a","0x6d","0xa","0x51","0x7d","27","27","0x1b","0x1b","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9b","0x6d","0xa","0x51","0x7d","29","25","0x1d","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9c","0x6d","0xa","0x51","0x7d","27","25","0x1b","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9d","0x6d","0xa","0x51","0x7d","29","27","0x1d","0x1b","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9e","0x6d","0x12","0x51","0x6d","7","24","0x7","0x18","0x2a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9f","0x6e","0x12","0x51","0x6d","21","4","0x15","0x4","0x2a","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa0","0x6d","0x12","0x51","0x6d","1","4","0x1","0x4","0x2a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa1","0x6d","0x12","0x51","0x6d","2","9","0x2","0x9","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa2","0x6d","0x12","0x51","0x6d","23","9","0x17","0x9","0x2a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa4","0x6d","0x20","0x51","0x6d","23","26","0x1a","0x1b","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa5","0x6d","0x24","0x51","0x6d","21","24","0x16","0x1b","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa7","0x6d","0x3c","0x51","0x6d","5","27","0x5","0x1b","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0xa8","0x6d","0x12","0x51","0x6d","7","27","0x7","0x1b","0x20","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x6d","0x3c","0x51","0x6d","8","11","0x8","0xb","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0xab","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xac","0x6d","0x20","0x51","0x6d","0","27","0x0","0x1b","0x38","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xad","0x6d","0x24","0x51","0x6d","8","11","0x8","0xb","0x44","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xae","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x6d","0xc","0x51","0x35","12","27","0xc","0x1b","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb0","0x6d","0xa","0x51","0x6d","11","27","0xb","0x1b","0x3","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb2","0x6d","0x18","0x51","0x6d","6","27","0x6","0x1b","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb3","0x6d","0x1a","0x51","0x2d","3","27","0x3","0x1b","0x2d","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x6d","0x14","0x51","0x6d","9","27","0x9","0x1b","0x16","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb6","0x6d","0x16","0x51","0x2d","0","26","0x0","0x1a","0x16","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x6d","0x24","0x51","0x6d","8","27","0x8","0x1b","0x44","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xb9","0x6d","0x1c","0x51","0x6d","2","27","0x2","0x1b","0x3e","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xba","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbb","0x6d","0x24","0x51","0x6d","8","27","0x8","0x1b","0x44","0x0","0x0","0x0","0x0","0x11","0xa","0x0"
"0xbc","0x6d","0x1c","0x51","0x6d","2","27","0x2","0x1b","0x3e","0x69","0x0","0x0","0x0","0x11","0xa","0x0"
"0xbd","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbe","0x14","0x21","0x0","0x2a","25","16","0x19","0x10","0x39","0x6c","0x0","0x0","0x6","0x3","0x0","0x0"
"0xbf","0x24","0x3e","0x0","0x6a","3","19","0x3","0x13","0xd","0x6c","0x0","0x0","0x7","0x3","0x10","0x0"
"0xc0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc1","0x6d","0x26","0x51","0x45","1","26","0x1","0x1a","0x45","0x87","0x0","0x0","0x3","0x3","0xa","0x0"
"0xc2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc3","0x1","0x1","0x0","0x89","14","0","0xf","0x3","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc4","0x2","0x3","0x0","0x81","14","0","0xd","0x3","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0xc5","0x2d","0x2","0x0","0x71","14","0","0xe","0x2","0xa","0x3","0x12","0x0","0x0","0x0","0x0","0x0"
