"0xccabe0","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x14","0x30","0x28","0x0","0x29","11","27","0xb","0x1b","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x15","0x2f","0x28","0x0","0x29","13","27","0xd","0x1b","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x16","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x48","0x16","0x0","0xc","14","1","0xe","0x1","0x16","0x0","0x0","0x0","0x3","0x3","0x9","0x20"
"0x18","0x78","0x18","0x48","0x45","2","11","0x2","0xb","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x78","0x18","0x48","0x45","1","20","0x1","0x14","0x2d","0x78","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0xec","0x14","0x48","0x2d","3","2","0x3","0x2","0x14","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0xec","0x12","0x48","0x25","0","6","0x0","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x6a","0x14","0x48","0x25","11","21","0xb","0x15","0x14","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1d","0x6a","0x18","0x48","0x35","0","5","0x0","0x5","0x2c","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1e","0x6a","0x18","0x48","0x35","14","14","0xe","0xe","0x2c","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x1f","0x6a","0x14","0x48","0x1d","8","2","0x8","0x2","0x1c","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x6a","0x18","0x48","0x2d","15","15","0xf","0xf","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x6a","0x24","0x48","0x15","1","23","0x1","0x17","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x22","0x6a","0x18","0x48","0x25","3","15","0x3","0xf","0x32","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x6a","0x14","0x48","0x2d","4","14","0x4","0xe","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x24","0x6a","0x18","0x48","0x1d","5","21","0x5","0x15","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x25","0x6a","0x14","0x48","0x2d","13","2","0xd","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x26","0x6a","0x14","0x48","0x25","15","2","0xf","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x27","0x6a","0x14","0x48","0x25","14","4","0xe","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x28","0x6a","0x18","0x48","0x35","10","22","0xa","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x29","0x6a","0x18","0x48","0x35","12","22","0xc","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2a","0x6a","0x18","0x48","0x45","7","1","0x7","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2b","0x6a","0x18","0x48","0x45","9","1","0x9","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0x6a","0x14","0x48","0x25","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0x6a","0x18","0x48","0x3d","1","6","0x1","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2e","0x6a","0x18","0x48","0x3d","8","1","0x8","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x48","0x16","0x0","0xc","14","1","0xe","0x1","0x20","0x1c","0x0","0x0","0x3","0x3","0x9","0x20"
"0x31","0x78","0x18","0x48","0x45","2","11","0x2","0xb","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x78","0x18","0x48","0x45","1","20","0x1","0x14","0x2d","0x78","0x0","0x0","0x0","0x3","0x9","0x0"
"0x33","0xec","0x14","0x48","0x2d","3","2","0x3","0x2","0x14","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x34","0xec","0x12","0x48","0x25","0","6","0x0","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x6a","0x2e","0x48","0x35","14","14","0xe","0xe","0x2c","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x36","0x6a","0x18","0x48","0x1d","5","21","0x5","0x15","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x37","0x6a","0x18","0x48","0x35","0","5","0x0","0x5","0x2c","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x38","0x6a","0x14","0x48","0x1d","8","2","0x8","0x2","0x1c","0x6b","0x0","0x0","0x0","0x3","0x9","0x0"
"0x39","0x6a","0x14","0x48","0x25","11","21","0xb","0x15","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x6a","0x28","0x48","0x2d","15","15","0xf","0xf","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3b","0x6a","0x24","0x48","0x15","1","23","0x1","0x17","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3c","0x6a","0x18","0x48","0x25","3","15","0x3","0xf","0x32","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0x6a","0x14","0x48","0x2d","4","14","0x4","0xe","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3e","0x6a","0x14","0x48","0x2d","13","2","0xd","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x3f","0x6a","0x14","0x48","0x25","15","2","0xf","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x40","0x6a","0x20","0x48","0x25","14","4","0xe","0x4","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x41","0x6a","0xe","0x48","0x35","10","22","0xa","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0x6a","0xa","0x48","0x35","12","22","0xc","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0x6a","0x2e","0x48","0x45","7","1","0x7","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0x6a","0x2e","0x48","0x45","9","1","0x9","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0x6a","0x14","0x48","0x25","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x46","0x6a","0x18","0x48","0x3d","1","6","0x1","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x47","0x6a","0x28","0x48","0x3d","8","1","0x8","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x48","0x16","0x0","0xc","14","1","0xe","0x1","0x16","0x28","0x0","0x0","0x3","0x3","0x9","0x20"
"0x4a","0x78","0x18","0x48","0x45","2","11","0x2","0xb","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x6a","0x14","0x48","0x25","11","21","0xb","0x15","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0x6a","0x18","0x48","0x2d","15","15","0xf","0xf","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4d","0x6a","0x24","0x48","0x15","1","23","0x1","0x17","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4e","0x6a","0x18","0x48","0x35","14","14","0xe","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4f","0x6a","0x18","0x48","0x25","3","15","0x3","0xf","0x32","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0x6a","0x14","0x48","0x2d","4","14","0x4","0xe","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x51","0x6a","0x18","0x48","0x1d","5","21","0x5","0x15","0x2c","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x52","0x6a","0x14","0x48","0x2d","13","2","0xd","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x53","0x6a","0x14","0x48","0x25","15","2","0xf","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x54","0x6a","0x14","0x48","0x25","14","4","0xe","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x55","0x6a","0x18","0x48","0x35","10","22","0xa","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x56","0x6a","0x18","0x48","0x35","12","22","0xc","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x57","0x6a","0x18","0x48","0x45","7","1","0x7","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x58","0x6a","0x18","0x48","0x45","9","1","0x9","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x59","0x6a","0x14","0x48","0x25","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5a","0x6a","0x18","0x48","0x35","0","5","0x0","0x5","0x2c","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0xec","0x12","0x48","0x25","0","6","0x0","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5c","0x6a","0x18","0x48","0x3d","1","6","0x1","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5d","0x6a","0x14","0x48","0x1d","8","2","0x8","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5e","0x6a","0x18","0x48","0x3d","8","1","0x8","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5f","0x6a","0x18","0x48","0x25","15","22","0xf","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x60","0x6a","0x18","0x48","0x25","15","20","0xf","0x14","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x61","0x6a","0x18","0x48","0x25","4","9","0x4","0x9","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x62","0x6a","0x18","0x48","0x25","6","7","0x6","0x7","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x63","0x6a","0x18","0x48","0x25","10","8","0xa","0x8","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x64","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x65","0x48","0x16","0x0","0xc","14","1","0xe","0x1","0x20","0x1c","0x0","0x0","0x3","0x3","0x9","0x20"
"0x66","0x78","0x18","0x48","0x45","2","11","0x2","0xb","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x67","0x6a","0x14","0x48","0x3d","11","21","0xb","0x15","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x68","0x6a","0x28","0x48","0x2d","15","15","0xf","0xf","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x69","0x6a","0x24","0x48","0x55","1","23","0x1","0x17","0x44","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6a","0x6a","0x2e","0x48","0x35","14","14","0xe","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6b","0x6a","0x18","0x48","0x25","3","15","0x3","0xf","0x32","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6c","0x6a","0x14","0x48","0x2d","4","14","0x4","0xe","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6d","0x6a","0x18","0x48","0x1d","5","21","0x5","0x15","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6e","0x6a","0x14","0x48","0x2d","13","2","0xd","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x6f","0x6a","0x14","0x48","0x25","15","2","0xf","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x70","0x6a","0x20","0x48","0x55","14","4","0xe","0x4","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x71","0x6a","0xe","0x48","0x35","10","22","0xa","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x72","0x6a","0xa","0x48","0x35","12","22","0xc","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x73","0x6a","0x2e","0x48","0x45","7","1","0x7","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x74","0x6a","0x2e","0x48","0x45","9","1","0x9","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x75","0x6a","0x14","0x48","0x25","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x76","0x6a","0x18","0x48","0x35","0","5","0x0","0x5","0x2c","0x69","0x0","0x0","0x0","0x0","0x9","0x0"
"0x77","0xec","0x12","0x48","0x25","0","6","0x0","0x6","0x26","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x78","0x6a","0x18","0x48","0x3d","1","6","0x1","0x6","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x79","0x6a","0x14","0x48","0x55","8","2","0x8","0x2","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7a","0x6a","0x28","0x48","0x3d","8","1","0x8","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7b","0x6a","0x18","0x48","0x3d","6","7","0x6","0x7","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7c","0x6a","0x18","0x48","0x3d","4","9","0x4","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x7d","0x6a","0x18","0x48","0x3d","15","20","0xf","0x14","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7e","0x6a","0x18","0x48","0x3d","15","22","0xf","0x16","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7f","0x6a","0x18","0x48","0x3d","10","8","0xa","0x8","0x2c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x80","0x6a","0x18","0x48","0x1d","7","20","0x7","0x14","0x2d","0x69","0x0","0x0","0x0","0x3","0x9","0x0"
"0x81","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0xda","0x1c","0x0","0x1a","16","9","0x10","0x9","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0x83","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x84","0x10","0x1c","0x0","0x1a","16","9","0x10","0x9","0x0","0x0","0x0","0x0","0x13","0x3","0x9","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x4","0xa","0x48","0x2c","16","8","0x10","0x8","0x3","0x0","0x0","0x0","0x12","0x3","0x9","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0xda","0x1c","0x0","0x1a","16","9","0x10","0x9","0x0","0x0","0x0","0x0","0x13","0x3","0x9","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x10","0x1c","0x0","0x1a","16","9","0x10","0x9","0x0","0x0","0x0","0x0","0x12","0x3","0x9","0x0"
"0x8b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x4","0xa","0x48","0x2c","16","8","0x10","0x8","0x3","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x8d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x6a","0x18","0x48","0x45","5","8","0x5","0x8","0x2c","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x6a","0x24","0x48","0x2d","5","8","0x5","0x8","0x44","0x0","0x0","0x0","0x0","0x1c","0x9","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x6a","0x3c","0x48","0x45","5","8","0x5","0x8","0x1","0x6a","0x0","0x0","0x6","0x5","0x9","0x0"
"0x93","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x94","0x6a","0x3c","0x48","0x45","5","8","0x5","0x8","0x1","0xd","0x6a","0x0","0x6","0x5","0x9","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0x6a","0x3c","0x48","0x55","5","8","0x5","0x8","0x1","0x0","0x0","0x0","0x10","0x5","0x9","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x6a","0x28","0x48","0x2d","0","27","0x0","0x1b","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x99","0x6a","0x28","0x48","0x2d","0","26","0x0","0x1a","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x6a","0x28","0x48","0x2d","0","27","0x0","0x1b","0x1","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9c","0x6a","0x28","0x48","0x2d","0","26","0x0","0x1a","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0x6a","0x28","0x48","0x2d","0","26","0x0","0x1a","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9f","0x6a","0x2e","0x48","0x2d","0","26","0x0","0x1b","0x2c","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa1","0x75","0x38","0x0","0x33","14","9","0xe","0x9","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xa2","0x76","0x38","0x0","0x33","15","8","0xf","0x8","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xa3","0x77","0x38","0x0","0x3b","15","9","0xf","0x9","0x0","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0xa4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa5","0xdb","0x38","0x0","0xd","16","11","0x10","0xb","0x0","0x0","0x0","0x0","0x6","0xc","0x9","0x0"
"0xa6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa7","0x1","0x1","0x0","0x39","21","5","0x15","0x5","0x9","0x1","0x0","0x0","0x0","0x0","0x8","0x0"
"0xa8","0x2","0x3","0x0","0x29","19","6","0x13","0x6","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0xa9","0x2d","0x2","0x0","0x8","19","5","0x13","0x5","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xaa","0xb","0x14","0x0","0x49","20","6","0x14","0x6","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xac","0x1","0x1","0x0","0x39","21","5","0x15","0x5","0x9","0x1","0x0","0x0","0x0","0x0","0x8","0x0"
"0xad","0x2","0x3","0x0","0x29","19","6","0x13","0x6","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0xae","0x2d","0x2","0x0","0x8","19","5","0x13","0x5","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xaf","0x1a","0x2a","0x0","0x8","20","6","0x14","0x6","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb1","0x1","0x1","0x0","0x39","16","26","0xc","0x1a","0x9","0x1","0x0","0x0","0x0","0x0","0x8","0x0"
"0xb2","0x2","0x3","0x0","0x29","16","26","0xb","0x1a","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x2d","0x2","0x0","0x8","16","27","0xa","0x1b","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0xb4","0x1a","0x2a","0x0","0x8","16","27","0x9","0x1b","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x28","0x44","0x0","0x28","15","26","0xf","0x1a","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
