"0xce1384","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x3a","0x41","0xa","0x0","0x64","7","8","0x7","0x8","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x3b","0x43","0x1e","0x0","0x64","8","8","0x8","0x8","0x3f","0x4c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x3c","0x44","0x45","0x0","0x64","9","8","0x9","0x8","0x40","0x37","0x0","0x0","0x3","0x3","0x9","0x0"
"0x3d","0x45","0x28","0x0","0x64","10","8","0xa","0x8","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x3e","0x46","0x2e","0x0","0x64","11","8","0xb","0x8","0x2e","0x33","0x0","0x0","0x3","0x3","0x9","0x0"
"0x3f","0x47","0x14","0x0","0x64","12","8","0xc","0x8","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x40","0x48","0x16","0x0","0x64","13","8","0xd","0x8","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x41","0x49","0x2a","0x0","0x64","14","8","0xe","0x8","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x42","0x4a","0x24","0x0","0x64","15","8","0xf","0x8","0x44","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x43","0x4b","0x30","0x0","0x64","16","8","0x10","0x8","0x2c","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x44","0x4c","0x22","0x0","0x64","2","9","0x2","0x9","0x37","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x45","0x4d","0x16","0x0","0x64","3","9","0x3","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x46","0x4e","0x2a","0x0","0x64","4","9","0x4","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x47","0x4f","0x13","0x0","0x64","5","9","0x5","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x48","0x50","0x2a","0x0","0x64","6","9","0x6","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x49","0x51","0x2d","0x0","0x64","7","9","0x7","0x9","0x37","0x4b","0x4f","0x0","0x3","0x3","0x9","0x0"
"0x4a","0x53","0x13","0x0","0x64","8","9","0x8","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4b","0x54","0x13","0x0","0x64","9","9","0x9","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4c","0x57","0x2a","0x0","0x64","10","9","0xa","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4d","0x58","0x1e","0x0","0x64","11","9","0xb","0x9","0x3f","0x4c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4e","0x59","0x3e","0x0","0x64","12","9","0xc","0x9","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4f","0x5a","0x2a","0x0","0x64","13","9","0xd","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x50","0x5b","0x5a","0x0","0x64","14","9","0xe","0x9","0x37","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x51","0x5c","0x26","0x0","0x64","15","9","0xf","0x9","0x46","0x4a","0x0","0x0","0x3","0x3","0x9","0x0"
"0x52","0x5d","0x3b","0x0","0x64","16","9","0x10","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x3","0x2","0x0","0x78","2","4","0x2","0x4","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x55","0x1c","0x2e","0x0","0x78","3","4","0x3","0x4","0x2e","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x56","0x18","0x28","0x0","0x78","4","4","0x4","0x4","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x57","0xd","0x18","0x0","0x78","5","4","0x5","0x4","0x2d","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x58","0x1d","0x32","0x0","0x78","6","4","0x6","0x4","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x59","0x16","0x24","0x0","0x78","7","4","0x7","0x4","0x44","0x48","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5a","0x20","0x34","0x0","0x78","8","4","0x8","0x4","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5b","0x21","0x37","0x0","0x78","9","4","0x9","0x4","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5c","0x22","0x3b","0x0","0x78","10","4","0xa","0x4","0x1f","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5d","0x23","0x3c","0x0","0x78","11","4","0xb","0x4","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5e","0x24","0x3e","0x0","0x78","12","4","0xc","0x4","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x5f","0x27","0x42","0x0","0x78","13","4","0xd","0x4","0x3b","0x3c","0x3d","0x43","0x0","0x0","0x0","0x0"
"0x60","0x2a","0x16","0x0","0x78","14","4","0xe","0x4","0x16","0x15","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x61","0x2b","0x37","0x0","0x78","2","5","0x2","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x62","0x2c","0x14","0x0","0x78","3","5","0x3","0x5","0x16","0x1c","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x63","0x2e","0x18","0x0","0x78","4","5","0x4","0x5","0x2c","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x64","0x2f","0x28","0x0","0x78","5","5","0x5","0x5","0x1","0x16","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x65","0x30","0x28","0x0","0x78","6","5","0x6","0x5","0x1","0x16","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x66","0x32","0x30","0x0","0x78","7","5","0x7","0x5","0x2e","0x33","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x67","0x33","0x3a","0x0","0x78","8","5","0x8","0x5","0x1f","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x68","0x34","0x2b","0x0","0x78","9","5","0x9","0x5","0x1","0x14","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x69","0x35","0x4c","0x0","0x78","10","5","0xa","0x5","0x79","0x7a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x36","0x3c","0x0","0x79","11","5","0xb","0x5","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x6b","0x37","0x11","0x0","0x78","12","5","0xc","0x5","0xc","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x6c","0x38","0xc","0x0","0x78","13","5","0xd","0x5","0x1f","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x6d","0x39","0x3d","0x0","0x79","14","5","0xe","0x5","0x1","0x6b","0x79","0x7a","0x0","0x0","0x0","0x0"
"0x6e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x5e","0xc","0x0","0x7c","2","8","0x2","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x70","0x60","0x1a","0x0","0x64","3","8","0x3","0x8","0x2c","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x71","0x63","0x10","0x0","0x64","4","8","0x4","0x8","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x72","0x64","0xc","0x0","0x7c","5","8","0x5","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x73","0x65","0x10","0x0","0x64","6","8","0x6","0x8","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x74","0x66","0xc","0x0","0x7c","7","8","0x7","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x75","0x7b","0x47","0x0","0x64","8","8","0x8","0x8","0x6b","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x76","0x84","0x13","0x0","0x64","9","8","0x9","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x77","0x85","0x5a","0x0","0x64","10","8","0xa","0x8","0x37","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x78","0x86","0x46","0x0","0x64","11","8","0xb","0x8","0x6b","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x79","0x87","0x39","0x0","0x64","12","8","0xc","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7a","0x89","0x39","0x0","0x64","13","8","0xd","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7b","0x8d","0xa","0x0","0x64","14","8","0xe","0x8","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7c","0x8e","0x39","0x0","0x64","15","8","0xf","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7d","0x94","0x39","0x0","0x64","16","8","0x10","0x8","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7e","0x99","0x39","0x0","0x64","2","9","0x2","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7f","0x9f","0x14","0x0","0x7c","3","9","0x3","0x9","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x80","0xa6","0x24","0x0","0x64","4","9","0x4","0x9","0x44","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x81","0xad","0xa","0x0","0x64","5","9","0x5","0x9","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x82","0xb6","0x14","0x0","0x7c","6","9","0x6","0x9","0x16","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x83","0xbe","0x2a","0x0","0x64","7","9","0x7","0x9","0x14","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x84","0xc5","0x16","0x0","0x7c","8","9","0x8","0x9","0x16","0x15","0x0","0x0","0x3","0x3","0x9","0x0"
"0x85","0xf4","0x10","0x0","0x64","9","9","0x9","0x9","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x86","0xf5","0xc","0x0","0x7c","10","9","0xa","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x87","0xf6","0x13","0x0","0x64","11","9","0xb","0x9","0x1f","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x88","0xf7","0x30","0x0","0x64","12","9","0xc","0x9","0x2c","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x89","0xf8","0x2d","0x0","0x64","13","9","0xd","0x9","0x37","0x4b","0x4f","0x0","0x3","0x3","0x9","0x0"
"0x8a","0xf9","0x1e","0x0","0x64","14","9","0xe","0x9","0x3f","0x4c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x8b","0xfa","0x16","0x0","0x7c","15","9","0xf","0x9","0x16","0x15","0x0","0x0","0x3","0x3","0x9","0x0"
"0x8c","0x56","0x3e","0x0","0x64","16","9","0x10","0x9","0x1","0x6b","0x0","0x0","0x3","0x3","0x9","0x0"
"0x8d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
