"0xce0898","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x18","0x13","0x20","0x0","0xa1","11","12","0xb","0xc","0x38","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0xb","0x14","0x0","0xa1","11","13","0xb","0xd","0x14","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x8","0x12","0x0","0xa1","12","13","0xc","0xd","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x23","0x3c","0x0","0x79","13","13","0xd","0xd","0xd","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x1","0x7","0x0","0xa1","12","24","0xc","0x18","0x9","0x84","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x4","0xa","0x0","0xa1","12","23","0xc","0x17","0xb","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x6","0xe","0x0","0xa1","13","25","0xd","0x19","0xc","0x8c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0xe","0x19","0x0","0xa1","10","25","0xa","0x19","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x11","0x1d","0x0","0xa1","13","24","0xd","0x18","0x9","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x13","0x20","0x0","0xa1","14","25","0xe","0x19","0x38","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0xb","0x14","0x0","0xa1","11","25","0xb","0x19","0x14","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x24","0x8","0x12","0x0","0xa1","11","24","0xb","0x18","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x5","0x13","0x0","0x79","10","23","0xa","0x17","0xb","0x85","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x1a","0x2a","0x0","0x79","14","23","0xe","0x17","0xb","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x27","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0x27","0x42","0x0","0xa0","12","11","0xc","0xb","0x3c","0x86","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2a","0x26","0x41","0x0","0xa0","12","14","0xc","0xe","0x3c","0x86","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0x3a","0x4a","0x0","0xa2","12","14","0xc","0xe","0x3c","0x86","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x86","0x46","0x0","0xa4","12","5","0xc","0x5","0x8f","0x0","0x0","0x0","0x3","0x3","0xa","0x20"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x86","0x46","0x0","0xa4","12","5","0xc","0x5","0x8f","0x0","0x0","0x0","0x3","0x3","0xa","0x20"
"0x31","0xeb","0x26","0x86","0x55","4","12","0x4","0xc","0x48","0x51","0x0","0x0","0x0","0x3","0xa","0x0"
"0x32","0xeb","0x26","0x86","0x55","21","24","0x15","0x18","0x46","0x52","0x0","0x0","0x0","0x3","0xa","0x0"
"0x33","0xeb","0x22","0x86","0x55","3","24","0x3","0x18","0x3a","0x50","0x0","0x0","0x0","0x3","0xa","0x0"
"0x34","0xeb","0x22","0x86","0x55","20","12","0x14","0xc","0x3a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0xeb","0x1e","0x86","0x55","6","18","0x6","0x12","0x41","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0xeb","0x1e","0x86","0x55","18","18","0x12","0x12","0x41","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x37","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
