"0xcd53bc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x23","0x6d","0x24","0x2b","0x5d","17","8","0x11","0x8","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x24","0x6d","0x39","0x2b","0x5d","8","23","0x8","0x17","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x25","0x6d","0x39","0x2b","0x5d","20","26","0x14","0x1a","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x26","0x6d","0x39","0x2b","0x5d","10","22","0xa","0x16","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x27","0x6d","0x39","0x2b","0x5d","20","10","0x14","0xa","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x28","0x6d","0x2e","0x2b","0x5d","1","26","0x1","0x1a","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0x6d","0x22","0x2b","0x2d","19","5","0x13","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0x6d","0x1c","0x2b","0x5d","19","6","0x13","0x6","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2b","0x6e","0x24","0x2b","0x5d","1","6","0x1","0x6","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x6d","0x2e","0x2b","0x5d","4","26","0x4","0x1a","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2d","0x6d","0x28","0x2b","0x5d","5","26","0x5","0x1a","0xe","0x64","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2e","0x6d","0x18","0x2b","0x5d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2f","0x6d","0x39","0x2b","0x5d","8","14","0x8","0xe","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x30","0x6d","0xe","0x2b","0x5d","18","23","0x12","0x17","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0x70","0x34","0x2b","0x5d","19","26","0x13","0x1a","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0x70","0x34","0x2b","0x5d","1","18","0x1","0x12","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x70","0x34","0x2b","0x5d","0","19","0x0","0x13","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0x6d","0x20","0x2b","0x5d","3","12","0x3","0xc","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0x6d","0x14","0x2b","0x5d","2","12","0x2","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x37","0x2b","0x37","0x0","0x54","17","2","0x11","0x2","0x77","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0x6d","0x2e","0x2b","0x5d","9","26","0x9","0x1a","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x39","0x70","0x34","0x2b","0x5d","18","1","0x12","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3a","0x70","0x34","0x2b","0x5d","16","1","0x10","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3b","0x6d","0x24","0x2b","0x5d","4","13","0x4","0xd","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3c","0x6d","0x39","0x2b","0x5d","8","23","0x8","0x17","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x3d","0x6d","0x39","0x2b","0x5d","20","26","0x14","0x1a","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x3e","0x6d","0x39","0x2b","0x5d","10","22","0xa","0x16","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x6d","0x39","0x2b","0x5d","1","17","0x1","0x11","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x40","0x6d","0x2e","0x2b","0x5d","8","25","0x8","0x19","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0x6d","0x22","0x2b","0x2d","0","5","0x0","0x5","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x42","0x6d","0x1c","0x2b","0x5d","1","5","0x1","0x5","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x43","0x6e","0x24","0x2b","0x5d","1","6","0x1","0x6","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0x6d","0x2e","0x2b","0x5d","4","26","0x4","0x1a","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0x6d","0x28","0x2b","0x5d","2","24","0x2","0x18","0xe","0x64","0x0","0x0","0x0","0x3","0xa","0x0"
"0x46","0x6d","0x18","0x2b","0x5d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x47","0x6d","0x39","0x2b","0x5d","8","14","0x8","0xe","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x48","0x6d","0xe","0x2b","0x5d","18","23","0x12","0x17","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x49","0x70","0x34","0x2b","0x5d","19","2","0x13","0x2","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x4a","0x6d","0x20","0x2b","0x5d","3","12","0x3","0xc","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x6d","0x14","0x2b","0x5d","11","25","0xb","0x19","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x70","0x34","0x2b","0x5d","20","1","0x14","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x4d","0x70","0x34","0x2b","0x5d","1","1","0x1","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x4e","0x70","0x34","0x2b","0x5d","2","2","0x2","0x2","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x4f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x50","0x2b","0x37","0x0","0x54","2","2","0x2","0x2","0x77","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0x6d","0x2e","0x2b","0x5d","1","25","0x1","0x19","0x32","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x70","0x34","0x2b","0x5d","3","1","0x3","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0x70","0x34","0x2b","0x5d","1","1","0x1","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x54","0x6d","0x24","0x2b","0x5d","17","8","0x11","0x8","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x6d","0x39","0x2b","0x5d","8","23","0x8","0x17","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x56","0x6e","0x39","0x2b","0x5d","20","26","0x14","0x1a","0x25","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x57","0x6d","0x39","0x2b","0x5d","10","22","0xa","0x16","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x58","0x6d","0x39","0x2b","0x5d","20","10","0x14","0xa","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x59","0x6d","0x2e","0x2b","0x5d","1","26","0x1","0x1a","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5a","0x6d","0x22","0x2b","0x2d","19","5","0x13","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x6d","0x1c","0x2b","0x5d","19","6","0x13","0x6","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0x6e","0x24","0x2b","0x95","1","6","0x1","0x6","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5d","0x6d","0x2e","0x2b","0x5d","4","26","0x4","0x1a","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5e","0x6d","0x28","0x2b","0x95","5","26","0x5","0x1a","0xe","0x64","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5f","0x6d","0x18","0x2b","0x5d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x60","0x6d","0x39","0x2b","0x5d","8","14","0x8","0xe","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x61","0x6d","0xe","0x2b","0x5d","18","23","0x12","0x17","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x62","0x70","0x34","0x2b","0x5d","19","26","0x13","0x1a","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0x70","0x34","0x2b","0x5d","1","18","0x1","0x12","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0x70","0x34","0x2b","0x5d","0","19","0x0","0x13","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0x6d","0x20","0x2b","0x5d","3","12","0x3","0xc","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x66","0x6d","0x14","0x2b","0x5d","2","12","0x2","0xc","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x67","0x70","0x34","0x2b","0x5d","18","2","0x12","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x68","0x70","0x34","0x2b","0x5d","19","2","0x13","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x69","0x70","0x34","0x2b","0x5d","2","24","0x2","0x18","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6a","0x70","0x34","0x2b","0x5d","3","25","0x3","0x19","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6b","0x6d","0x1c","0x2b","0x5d","16","8","0x10","0x8","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6c","0x6d","0x1c","0x2b","0x5d","17","9","0x11","0x9","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6d","0x6d","0x39","0x2b","0x5d","7","21","0x7","0x15","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6e","0x6d","0x39","0x2b","0x5d","4","19","0x4","0x13","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0x6d","0x39","0x2b","0x5d","10","14","0xa","0xe","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x70","0x6d","0x39","0x2b","0x5d","18","10","0x12","0xa","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x71","0x6d","0x39","0x2b","0x5d","19","24","0x13","0x18","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x72","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x73","0x2b","0x37","0x0","0x54","17","2","0x11","0x2","0x77","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x74","0x6d","0x2e","0x2b","0x5d","9","26","0x9","0x1a","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x75","0x70","0x34","0x2b","0x5d","18","1","0x12","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x76","0x70","0x34","0x2b","0x5d","16","1","0x10","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x77","0x6d","0x24","0x2b","0x5d","4","13","0x4","0xd","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x78","0x6d","0x39","0x2b","0x5d","8","23","0x8","0x17","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x79","0x6e","0x39","0x2b","0x5d","20","26","0x14","0x1a","0x25","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x7a","0x6d","0x39","0x2b","0x5d","10","22","0xa","0x16","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7b","0x6d","0x39","0x2b","0x5d","1","17","0x1","0x11","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x7c","0x6d","0x2e","0x2b","0x5d","8","25","0x8","0x19","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7d","0x6d","0x22","0x2b","0x2d","0","5","0x0","0x5","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7e","0x6d","0x1c","0x2b","0x5d","1","5","0x1","0x5","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7f","0x6e","0x24","0x2b","0x95","1","6","0x1","0x6","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x80","0x6d","0x2e","0x2b","0x5d","4","26","0x4","0x1a","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x81","0x6d","0x28","0x2b","0x5d","2","26","0x2","0x1a","0xe","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x82","0x6d","0x18","0x2b","0x5d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x83","0x6d","0x39","0x2b","0x5d","8","14","0x8","0xe","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x84","0x6d","0xe","0x2b","0x5d","18","23","0x12","0x17","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x85","0x70","0x34","0x2b","0x5d","19","2","0x13","0x2","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x86","0x6d","0x20","0x2b","0x5d","3","12","0x3","0xc","0x39","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x87","0x6d","0x14","0x2b","0x5d","11","25","0xb","0x19","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x88","0x70","0x34","0x2b","0x5d","20","1","0x14","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x89","0x70","0x34","0x2b","0x5d","1","1","0x1","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8a","0x70","0x34","0x2b","0x5d","2","2","0x2","0x2","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8b","0x70","0x34","0x2b","0x5d","3","3","0x3","0x3","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8c","0x70","0x34","0x2b","0x5d","3","1","0x3","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8d","0x70","0x34","0x2b","0x5d","1","3","0x1","0x3","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8e","0x70","0x34","0x2b","0x5d","18","3","0x12","0x3","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0x8f","0x6d","0x2e","0x2b","0x5d","7","26","0x7","0x1a","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x90","0x6d","0x2e","0x2b","0x5d","8","26","0x8","0x1a","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x91","0x6d","0x28","0x2b","0x5d","2","25","0x2","0x19","0xe","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x92","0x6d","0x2e","0x2b","0x5d","4","25","0x4","0x19","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x93","0x6d","0x24","0x2b","0x5d","2","11","0x2","0xb","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x94","0x6d","0x18","0x2b","0x5d","19","22","0x13","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0xf","0x1b","0x0","0x20","10","11","0xa","0xb","0x2e","0x73","0x0","0x0","0x0","0x0","0x0","0x0"
"0x97","0x15","0x22","0x0","0x30","11","11","0xb","0xb","0x39","0x4d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x99","0xf","0x1b","0x0","0x20","10","11","0xa","0xb","0x2e","0x73","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x9a","0x15","0x22","0x0","0x30","11","11","0xb","0xb","0x39","0x4d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x70","0x34","0x2b","0x5d","0","2","0x0","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9d","0x70","0x34","0x2b","0x5d","2","0","0x2","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9e","0x70","0x34","0x2b","0x5d","20","2","0x14","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x9f","0x70","0x34","0x2b","0x5d","20","3","0x14","0x3","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa1","0x70","0x34","0x2b","0x5d","16","0","0x10","0x0","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa2","0x70","0x34","0x2b","0x5d","15","1","0xf","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa3","0x70","0x34","0x2b","0x5d","16","2","0x10","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa4","0x70","0x34","0x2b","0x5d","17","1","0x11","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa6","0x6d","0x34","0x2b","0x5d","19","25","0x13","0x19","0x1c","0x0","0x0","0x0","0x0","0x14","0xa","0x0"
"0xa7","0x6d","0x34","0x2b","0x5d","20","26","0x14","0x1a","0x14","0x0","0x0","0x0","0x0","0x14","0xa","0x0"
"0xa8","0x6d","0x34","0x2b","0x5d","19","0","0x13","0x0","0x14","0x0","0x0","0x0","0x0","0x14","0xa","0x0"
"0xa9","0x6d","0x34","0x2b","0x5d","20","1","0x14","0x1","0x14","0x0","0x0","0x0","0x0","0x14","0xa","0x0"
"0xaa","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x70","0x34","0x2b","0x5d","0","25","0x0","0x19","0x14","0x0","0x0","0x0","0x0","0x15","0xa","0x0"
"0xac","0x70","0x34","0x2b","0x5d","1","26","0x1","0x1a","0x14","0x0","0x0","0x0","0x0","0x15","0xa","0x0"
"0xad","0x70","0x34","0x2b","0x5d","19","26","0x13","0x1a","0x14","0x0","0x0","0x0","0x0","0x15","0xa","0x0"
"0xae","0x70","0x34","0x2b","0x5d","20","25","0x14","0x19","0x14","0x0","0x0","0x0","0x0","0x15","0xa","0x0"
"0xaf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x6d","0x24","0x2b","0x5d","20","7","0x14","0x7","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb1","0x6d","0x24","0x2b","0x5d","20","6","0x14","0x6","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xb2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x70","0x34","0x2b","0x5d","1","0","0x1","0x0","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0xb4","0x70","0x34","0x2b","0x5d","0","1","0x0","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0xb5","0x70","0x34","0x2b","0x5d","19","0","0x13","0x0","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0xb6","0x70","0x34","0x2b","0x5d","20","1","0x14","0x1","0x14","0x0","0x0","0x0","0x0","0x16","0xa","0x0"
"0xb7","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb8","0x70","0x34","0x2b","0x5d","2","0","0x2","0x0","0x14","0x0","0x0","0x0","0x0","0x13","0xa","0x0"
"0xb9","0x70","0x34","0x2b","0x5d","0","2","0x0","0x2","0x14","0x0","0x0","0x0","0x0","0x13","0xa","0x0"
"0xba","0x70","0x34","0x2b","0x5d","0","25","0x0","0x19","0x14","0x0","0x0","0x0","0x0","0x13","0xa","0x0"
"0xbb","0x70","0x34","0x2b","0x5d","2","26","0x2","0x1a","0x14","0x0","0x0","0x0","0x0","0x13","0xa","0x0"
"0xbc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbd","0x1","0x1","0x0","0x79","11","3","0xb","0x3","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbe","0x2","0x3","0x1","0x71","10","3","0xa","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xbf","0x2d","0x2","0x1","0x61","10","4","0xa","0x4","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xc0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc1","0x1","0x1","0x0","0x79","10","2","0xb","0x4","0x3","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc3","0x2","0x3","0x1","0x71","10","2","0xa","0x3","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xc4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc5","0x2d","0x2","0x1","0x61","10","2","0xa","0x4","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0xc6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
