"0xcc6cd8","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x10","0x1d","0x32","0x3","0x8","13","14","0xd","0xe","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0x8","0x12","0x3","0x18","10","14","0xa","0xe","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x12","0x11","0x1d","0x3","0x8","11","15","0xb","0xf","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0x13","0x20","0x3","0x8","12","16","0xc","0x10","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x1c","0x2e","0x3","0x38","8","15","0x8","0xf","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x23","0x3c","0x3","0x10","9","16","0x9","0x10","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x10","0x1c","0x3","0x18","7","15","0x7","0xf","0x3e","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x26","0x41","0x3","0x8","11","13","0xb","0xd","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x18","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x3","0x2","0x0","0x8","12","14","0xc","0xe","0xa","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x17","0x28","0x3","0x8","7","16","0x7","0x10","0x1","0x14","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x1d","0x32","0x3","0x8","13","14","0xd","0xe","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x8","0x12","0x3","0x18","10","14","0xa","0xe","0x1f","0x28","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x1d","0x11","0x1d","0x3","0x8","11","15","0xb","0xf","0x4a","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x13","0x20","0x3","0x8","12","16","0xc","0x10","0x37","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0x1c","0x2e","0x3","0x38","8","15","0x8","0xf","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0x23","0x3c","0x3","0x10","9","16","0x9","0x10","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x21","0x10","0x1c","0x3","0x18","7","15","0x7","0xf","0x3e","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x26","0x41","0x3","0x8","11","13","0xb","0xd","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x23","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x24","0xad","0xa","0x0","0x3c","2","1","0x2","0x1","0x3","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x25","0xb2","0x3c","0xad","0xd","2","2","0x2","0x2","0x1","0x6a","0x0","0x0","0x6","0x5","0x1","0x0"
"0x26","0xb0","0x18","0xad","0x15","3","7","0x3","0x7","0x2c","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x27","0xb1","0x38","0xad","0xd","1","2","0x1","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x28","0xb3","0x28","0xad","0xd","14","1","0xe","0x1","0x14","0x1","0x6b","0x0","0x0","0x0","0x1","0x0"
"0x29","0xb1","0x38","0xad","0xd","12","9","0xc","0x9","0x14","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x2a","0xdd","0x38","0xad","0x15","3","12","0x3","0xc","0x14","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2b","0xb5","0x20","0xad","0xd","10","7","0xa","0x7","0x38","0x69","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2c","0xaf","0xa","0xad","0x15","8","2","0x8","0x2","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2d","0xae","0x39","0xad","0x15","7","8","0x7","0x8","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2e","0xae","0x39","0xad","0x15","4","4","0x4","0x4","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2f","0xaf","0xa","0xad","0x15","11","2","0xb","0x2","0x1","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x30","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x31","0xb1","0x38","0xad","0xd","11","9","0xb","0x9","0x14","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x32","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x33","0xb5","0x20","0xad","0xd","3","1","0x3","0x1","0x37","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x34","0xb4","0x24","0xad","0xd","1","1","0x1","0x1","0x44","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
