"0xcdf7e4","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x2a","0x73","0x3b","0x3b","0x75","7","16","0x7","0x10","0x27","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x73","0x3b","0x3b","0x75","10","16","0xa","0x10","0x29","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x73","0x3b","0x3b","0xa5","11","15","0xb","0xf","0x29","0x2b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0x73","0x3b","0x3b","0x75","14","4","0xe","0x4","0x29","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x73","0x3b","0x3b","0x95","13","2","0xd","0x2","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x30","0x73","0x16","0x3b","0x75","18","6","0x12","0x6","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x31","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x32","0x73","0x1a","0x3b","0x75","9","2","0x9","0x2","0x2e","0x33","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x34","0x73","0x16","0x3b","0x75","2","14","0x2","0xe","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x73","0x1a","0x3b","0x75","8","10","0x8","0xa","0x2e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0x73","0x1a","0x3b","0x75","12","10","0xc","0xa","0x33","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0x73","0x16","0x3b","0x75","8","10","0x8","0xa","0x1d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0x73","0x16","0x3b","0x75","12","10","0xc","0xa","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x73","0x2d","0x3b","0x75","13","14","0xd","0xe","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3e","0x73","0x3b","0x3b","0x75","18","6","0x12","0x6","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x40","0x73","0x3b","0x3b","0x75","9","2","0x9","0x2","0x24","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x73","0x3b","0x3b","0x75","2","14","0x2","0xe","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x44","0x73","0x3b","0x3b","0x75","8","10","0x8","0xa","0x2b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x45","0x73","0x3b","0x3b","0x75","12","10","0xc","0xa","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x73","0x3b","0x3b","0x75","8","10","0x8","0xa","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x48","0x73","0x3b","0x3b","0x75","12","10","0xc","0xa","0x27","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x73","0x3b","0x3b","0x75","13","14","0xd","0xe","0x29","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x73","0x3b","0x3b","0x75","8","10","0x9","0xb","0x29","0x2b","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4d","0x73","0x3b","0x3b","0x75","8","10","0x9","0xc","0x2b","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4e","0x73","0x3b","0x3b","0x75","12","10","0xb","0xb","0x2b","0x29","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4f","0x73","0x3b","0x3b","0x75","12","10","0xb","0xc","0x29","0x2b","0x0","0x0","0x0","0x0","0xa","0x0"
"0x50","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x3b","0x43","0x0","0x95","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x6","0xa","0x0"
"0x52","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0x32","0x0","0x0","0x0","228","247","0xcd","0x8","0x3b","0x0","0x0","0x0","0xa","0x0","0x0","0x0"
"0x54","0x0","0x0","0x0","0x0","50","0","0x0","0x0","0x44","0xf8","0xcd","0x8","0x3b","0x0","0x0","0x0"
"0x55","0xa","0x0","0x0","0x0","0","0","0x0","0x0","0x3d","0x0","0x0","0x0","0x86","0x0","0x0","0x0"
