"0xccfdcc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x79","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7a","0x6d","0x32","0x4f","0x35","22","0","0x16","0x0","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7b","0x6d","0x32","0x4f","0x35","23","14","0x17","0xe","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7d","0x6d","0x34","0x4f","0x4d","22","0","0x16","0x0","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7e","0x6d","0x34","0x4f","0x4d","23","14","0x17","0xe","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x6d","0x14","0x4f","0x3d","25","7","0x19","0x7","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x81","0x6d","0x14","0x4f","0x3d","25","6","0x19","0x6","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x6d","0x34","0x4f","0x2d","25","1","0x19","0x1","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x84","0x6d","0x34","0x4f","0x2d","25","14","0x19","0xe","0x18","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x6d","0x39","0x4f","0x4d","23","0","0x17","0x0","0x22","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x2","0x3","0x0","0x48","8","8","0x8","0x8","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2d","0x2","0x0","0x18","7","9","0x7","0x9","0xa","0x6b","0x74","0x0","0x0","0x0","0x0","0x0"
"0x8a","0xda","0x41","0x0","0x1a","6","8","0x6","0x8","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x1","0x1","0x0","0x50","3","9","0x3","0x9","0x9","0x1","0x3","0x6f","0x0","0x0","0x0","0x0"
"0x8d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x25","0x40","0x0","0xa","3","9","0x3","0x9","0x7d","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x26","0x41","0x0","0x8","0","0","0x0","0x0","0x7d","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
