"0xcc8c64","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x16","0x3e","0x39","0x41","0x1d","9","3","0x9","0x3","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x17","0x3e","0x39","0x41","0x1d","7","2","0x7","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x18","0x3e","0x39","0x41","0x1d","8","7","0x8","0x7","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x19","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x41","0xa","0x0","0x54","1","3","0x1","0x3","0x3","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x1b","0x3e","0x39","0x41","0x1d","2","1","0x2","0x1","0x20","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x1c","0x3e","0x39","0x41","0x15","16","11","0x10","0xb","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x1d","0x3e","0x20","0x41","0x1d","2","9","0x2","0x9","0x37","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x1e","0x3e","0xe","0x41","0xd","0","10","0x0","0xa","0x1","0x6b","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x1f","0x3e","0xa","0x41","0x1d","7","6","0x7","0x6","0x1","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x20","0x3e","0x18","0x41","0x15","6","8","0x6","0x8","0x2c","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x21","0x3e","0x39","0x41","0x15","15","12","0xf","0xc","0x1f","0x6b","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x22","0x3e","0x39","0x41","0x15","16","14","0x10","0xe","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x23","0x3e","0x39","0x41","0x1d","2","2","0x2","0x2","0x20","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x24","0x3e","0x39","0x41","0x1d","9","3","0x9","0x3","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x25","0x3e","0x39","0x41","0x1d","7","2","0x7","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x26","0x3e","0xe","0x41","0x1d","8","7","0x8","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x27","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x28","0x3e","0x39","0x41","0x1d","4","14","0x4","0xe","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x29","0x3e","0x39","0x41","0x1d","2","10","0x2","0xa","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x2a","0x3e","0x2e","0x41","0x1d","0","4","0x0","0x4","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2b","0x3e","0x18","0x41","0x1d","1","11","0x1","0xb","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x3e","0x39","0x41","0x1d","4","14","0x4","0xe","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x2e","0x3e","0x39","0x41","0x1d","2","10","0x2","0xa","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x2f","0x3e","0x2e","0x41","0x1d","0","4","0x0","0x4","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x30","0x3e","0x18","0x41","0x1d","1","11","0x1","0xb","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x31","0x3e","0x39","0x41","0x15","15","9","0xf","0x9","0x28","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x32","0x3e","0x39","0x41","0x15","13","14","0xd","0xe","0x28","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x33","0x3e","0x39","0x41","0x15","1","1","0x1","0x1","0x28","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x34","0x3e","0x39","0x41","0x15","1","13","0x1","0xd","0x1f","0x0","0x0","0x0","0x0","0x1b","0x1","0x0"
"0x35","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x36","0x3e","0x39","0x41","0x1d","16","12","0x10","0xc","0x1f","0x0","0x0","0x0","0x0","0x4","0x1","0x0"
"0x37","0x3e","0x2e","0x41","0x15","16","13","0x10","0xd","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0x3e","0xe","0x41","0x1d","1","2","0x1","0x2","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3a","0x3e","0x2e","0x41","0x15","0","1","0x0","0x1","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3c","0x3e","0xa","0x41","0x1d","1","2","0x1","0x2","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3d","0x3e","0x20","0x41","0x15","0","1","0x0","0x1","0x37","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x3f","0x28","0x47","0x0","0xa","7","9","0x7","0x9","0x0","0x0","0x0","0x0","0x6","0x3","0x1","0x0"
"0x40","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x41","0x28","0x44","0x0","0x28","7","9","0x7","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
