"0xccc1cc","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x35","0xf3","0x24","0x4a","0x35","1","13","0x1","0xd","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x36","0x6e","0x24","0x4a","0x35","0","17","0x0","0x11","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x37","0xf3","0x24","0x4a","0x25","7","10","0x7","0xa","0x44","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x38","0xf3","0x24","0x4a","0x3d","0","10","0x0","0xa","0x44","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x39","0x6e","0xa","0x4a","0x2d","18","9","0x12","0x9","0x13","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0xf3","0xa","0x4a","0x2d","17","13","0x11","0xd","0x12","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0xf3","0xa","0x4a","0x45","18","4","0x12","0x4","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3c","0xf3","0xa","0x4a","0x45","12","10","0xc","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0xf3","0xa","0x4a","0x35","17","10","0x11","0xa","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0xf3","0x18","0x4a","0x25","18","11","0x12","0xb","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0xf3","0x24","0x4a","0x3d","9","12","0x9","0xc","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x40","0xf3","0xa","0x4a","0x35","10","12","0xa","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0xf3","0xa","0x4a","0x35","17","8","0x11","0x8","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x42","0xf3","0x24","0x4a","0x3d","2","18","0x2","0x12","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x43","0xf3","0x24","0x4a","0x3d","2","12","0x2","0xc","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x44","0xf3","0xa","0x4a","0x35","15","6","0xf","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x45","0xf3","0x24","0x4a","0x3d","5","11","0x5","0xb","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x46","0xf3","0x24","0x4a","0x3d","2","15","0x2","0xf","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x47","0xf3","0xa","0x4a","0x35","18","14","0x12","0xe","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x48","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x4a","0x24","0x0","0x94","1","17","0x1","0x11","0x45","0x67","0x0","0x0","0x3","0x3","0x9","0x0"
"0x4a","0xf3","0x24","0x4a","0x35","1","13","0x1","0xd","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x6e","0x24","0x4a","0x35","0","17","0x0","0x11","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4c","0xf3","0x24","0x4a","0x25","8","9","0x8","0x9","0x44","0x6d","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4d","0xf3","0x32","0x4a","0x3d","1","2","0x1","0x2","0x14","0x6b","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4e","0x6e","0xa","0x4a","0x2d","18","9","0x12","0x9","0x13","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4f","0xf3","0xa","0x4a","0x2d","17","13","0x11","0xd","0x12","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0xf3","0x32","0x4a","0x45","1","3","0x1","0x3","0x14","0x66","0x0","0x0","0x0","0x0","0x9","0x0"
"0x51","0xf3","0xa","0x4a","0x45","17","6","0x11","0x6","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x52","0xf3","0x18","0x4a","0x25","18","11","0x12","0xb","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0xf3","0x32","0x4a","0x35","7","18","0x7","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x54","0xf3","0x32","0x4a","0x35","12","18","0xc","0x12","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x55","0xf3","0x32","0x4a","0x35","9","17","0x9","0x11","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x56","0xf3","0x32","0x4a","0x35","10","17","0xa","0x11","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x57","0xf3","0x24","0x4a","0x25","11","9","0xb","0x9","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x58","0xf3","0xa","0x4a","0x45","17","8","0x11","0x8","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x59","0xf3","0xa","0x4a","0x45","8","12","0x8","0xc","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5a","0xf3","0xa","0x4a","0x45","11","12","0xb","0xc","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0xf3","0x18","0x4a","0x25","12","11","0xc","0xb","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5c","0xf3","0x18","0x4a","0x25","7","11","0x7","0xb","0x2d","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5d","0xf3","0xa","0x4a","0x45","8","7","0x8","0x7","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5e","0xf3","0xa","0x4a","0x45","11","7","0xb","0x7","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5f","0xf3","0x24","0x4a","0x35","2","11","0x2","0xb","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x60","0xf3","0x24","0x4a","0x35","5","10","0x5","0xa","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x61","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0xf3","0xa","0x4a","0x2d","8","20","0x9","0x12","0x2","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x63","0xf3","0xa","0x4a","0x2d","11","20","0xa","0x12","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x64","0xf3","0x24","0x4a","0x35","8","20","0x9","0x14","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x65","0xf3","0xe","0x4a","0x2d","11","20","0xa","0x14","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x66","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x67","0xf3","0xa","0x4a","0x25","18","10","0x12","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x68","0xf3","0xe","0x4a","0x25","18","5","0x12","0x5","0xe","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x69","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0xf3","0xa","0x4a","0x2d","11","20","0xb","0x14","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6b","0xf3","0xa","0x4a","0x25","8","20","0x8","0x14","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6c","0xf3","0xe","0x4a","0x2d","18","14","0x12","0xe","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6d","0xf3","0x32","0x4a","0x2d","4","20","0x4","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6e","0xf3","0x32","0x4a","0x2d","15","20","0xf","0x14","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0xf3","0x32","0x4a","0x2d","4","20","0x4","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x71","0xf3","0x32","0x4a","0x25","8","20","0x8","0x14","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x72","0xf3","0x32","0x4a","0x2d","11","20","0xb","0x14","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x73","0xf3","0x32","0x4a","0x2d","15","20","0xf","0x14","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x74","0xf3","0x32","0x4a","0x2d","18","14","0x12","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x75","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x76","0xf3","0x24","0x4a","0x35","1","9","0x1","0x9","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x77","0xf3","0x24","0x4a","0x2d","1","10","0x1","0xa","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x78","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x79","0xf3","0x24","0x4a","0x25","0","18","0x0","0x12","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7b","0xc","0x3b","0x0","0x92","8","6","0x8","0x6","0x21","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x7c","0xe3","0x3a","0x0","0x23","7","7","0x7","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7d","0xe3","0x3a","0x0","0x23","8","7","0x8","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7f","0x1","0x1","0x0","0x41","10","13","0xa","0xd","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x2","0x3","0x0","0x41","11","8","0xb","0x8","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x81","0x2d","0x2","0x0","0x18","11","9","0xb","0x9","0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x23","0x3c","0x0","0x29","12","3","0xc","0x3","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x84","0x2f","0x28","0x0","0x29","8","5","0x8","0x5","0x1","0x14","0x0","0x0","0x0","0x0","0x0","0x0"
"0x85","0x30","0x28","0x0","0x41","8","2","0x8","0x2","0x1","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0"
"0x86","0x31","0x32","0x0","0x31","7","3","0x7","0x3","0x14","0x1c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x87","0xe","0x19","0x0","0x49","10","3","0xa","0x3","0x2c","0x2c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x1b","0x2c","0x0","0x29","10","1","0xa","0x1","0x4a","0x4b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x1","0x1","0x0","0x41","10","13","0xa","0xd","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x2d","0x2","0x0","0x18","10","2","0xa","0x2","0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0xc","0x3b","0x0","0x92","9","13","0x9","0xd","0x21","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x8d","0xe3","0x3a","0x0","0x23","7","7","0x7","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8e","0xe3","0x3a","0x0","0x23","7","8","0x7","0x8","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x8f","0xe3","0x3a","0x0","0x23","10","9","0xa","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x90","0xe3","0x3a","0x0","0x23","12","7","0xc","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x2","0x3","0x0","0x41","9","5","0x9","0x5","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x93","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x94","0xda","0x54","0x0","0xa","8","8","0x8","0x8","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0x25","0x40","0x0","0xa","10","9","0xa","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x33","0x3a","0x0","0x42","8","9","0x9","0x9","0x20","0x28","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x99","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9a","0xdb","0x3a","0x0","0x42","8","9","0x9","0x8","0x20","0x28","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x4a","0x24","0x0","0x94","1","17","0x1","0x11","0x45","0x5d","0x0","0x0","0x3","0x3","0x9","0x0"
"0x9d","0xf3","0x24","0x4a","0x35","1","13","0x1","0xd","0x46","0x6d","0x0","0x0","0x0","0x3","0x9","0x0"
"0x9e","0x6e","0x24","0x4a","0x35","0","17","0x0","0x11","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x9f","0xf3","0xa","0x4a","0x2d","17","13","0x11","0xd","0x12","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa0","0xf3","0xa","0x4a","0x45","18","4","0x12","0x4","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa1","0xf3","0xa","0x4a","0x45","12","10","0xc","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa2","0xf3","0xa","0x4a","0x35","17","10","0x11","0xa","0x3","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa3","0xf3","0x24","0x4a","0x3d","2","12","0x2","0xc","0x44","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa4","0xf3","0xa","0x4a","0x35","15","6","0xf","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa6","0xc","0x3b","0x0","0x92","8","9","0x8","0x8","0x21","0x0","0x0","0x0","0x6","0x3","0x2","0x0"
"0xa7","0xda","0x3a","0x0","0xa","8","9","0x7","0x7","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa8","0xdb","0x3a","0x0","0xa","8","9","0x9","0x9","0x0","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x1","0x1","0x0","0x41","9","3","0x9","0x3","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0xab","0x2","0x3","0x0","0x41","6","4","0x6","0x4","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xac","0x2d","0x2","0x0","0x18","6","3","0x6","0x3","0xa","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xad","0x25","0x40","0x0","0xa","10","3","0xa","0x3","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xae","0xc","0x3b","0x0","0x92","8","2","0x8","0x2","0x21","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0xaf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
