"0xccb970","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0xe","0x23","0x3c","0x0","0x19","22","10","0x16","0xa","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0xf","0x30","0x28","0x0","0x39","22","8","0x16","0x8","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x10","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x11","0xc","0x3b","0x0","0x94","2","8","0x2","0x8","0x24","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x12","0x33","0x3a","0xc","0x44","5","11","0x5","0xb","0x20","0x28","0x0","0x0","0x6","0x3","0xa","0x0"
"0x13","0x6c","0x3a","0xc","0x65","9","8","0x9","0x8","0x24","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x14","0x6c","0x3a","0xc","0x55","9","7","0x9","0x7","0x21","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x15","0x6c","0x18","0xc","0x45","8","8","0x8","0x8","0x30","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x16","0x6c","0x3a","0xc","0x2d","12","0","0xc","0x0","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x17","0x6c","0x3a","0xc","0x25","6","2","0x6","0x2","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x18","0x6c","0x3a","0xc","0x25","18","0","0x12","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x19","0x6c","0x3a","0xc","0x6d","8","7","0x8","0x7","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1a","0x6c","0x3a","0xc","0x65","11","13","0xb","0xd","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1b","0x6c","0x3a","0xc","0x25","22","3","0x16","0x3","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1c","0x6c","0x20","0xc","0x7d","9","6","0x9","0x6","0x39","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1d","0x6c","0x24","0xc","0x75","9","9","0x9","0x9","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0x6c","0x3a","0xc","0x65","12","14","0xc","0xe","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x20","0xc","0x3b","0x0","0x94","2","8","0x2","0x8","0x21","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x21","0x33","0x3a","0xc","0x44","5","11","0x5","0xb","0x20","0x28","0x0","0x0","0x6","0x3","0xa","0x0"
"0x22","0x6c","0x3a","0xc","0x8d","9","8","0x9","0x8","0x24","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x6c","0x3a","0xc","0x8d","9","7","0x9","0x7","0x27","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0x6c","0x18","0xc","0x45","8","8","0x8","0x8","0x30","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x6c","0x3a","0xc","0x2d","12","0","0xc","0x0","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x26","0x6c","0x3a","0xc","0x25","6","2","0x6","0x2","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0x6c","0x3a","0xc","0x25","18","0","0x12","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x28","0x6c","0x3a","0xc","0x8d","8","7","0x8","0x7","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0x6c","0x3a","0xc","0x8d","11","13","0xb","0xd","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2a","0x6c","0x3a","0xc","0x25","22","3","0x16","0x3","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2b","0x6c","0x20","0xc","0x7d","9","6","0x9","0x6","0x39","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x6c","0x24","0xc","0x8d","9","9","0x9","0x9","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0x6c","0x3a","0xc","0x8d","12","14","0xc","0xe","0x25","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2f","0xc","0x3b","0x0","0x95","2","8","0x2","0x8","0x24","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x30","0x33","0x3a","0xc","0x44","3","9","0x3","0x9","0x20","0x28","0x0","0x0","0x6","0x3","0xa","0x0"
"0x31","0x6c","0x3a","0xc","0x65","9","8","0x9","0x8","0x24","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x32","0x6c","0x3a","0xc","0x55","9","7","0x9","0x7","0x21","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x33","0x6c","0x18","0xc","0x8d","8","8","0x8","0x8","0x30","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x34","0x6c","0x3a","0xc","0x2d","12","0","0xc","0x0","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0x6c","0x3a","0xc","0x25","6","2","0x6","0x2","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0x6c","0x3a","0xc","0x25","18","0","0x12","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x37","0x6c","0x3a","0xc","0x6d","8","7","0x8","0x7","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0x6c","0x3a","0xc","0x65","11","13","0xb","0xd","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x39","0x6c","0x3a","0xc","0x25","22","3","0x16","0x3","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0x6c","0x20","0xc","0x7d","9","6","0x9","0x6","0x39","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3b","0x6c","0x24","0xc","0x75","9","9","0x9","0x9","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3c","0x6c","0x3a","0xc","0x65","12","14","0xc","0xe","0x21","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0x6c","0x3a","0xc","0x25","9","2","0x9","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0x6c","0x3a","0xc","0x25","5","9","0x5","0x9","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x6c","0x3a","0xc","0x25","5","6","0x5","0x6","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x40","0x6c","0x3a","0xc","0x25","10","14","0xa","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0x6c","0x3a","0xc","0x25","15","1","0xf","0x1","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x42","0x6c","0x3a","0xc","0x25","2","13","0x2","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0x6c","0x3a","0xc","0x25","3","14","0x3","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x44","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x45","0xc","0x3b","0x0","0x94","2","8","0x2","0x8","0x21","0x0","0x0","0x0","0x6","0x3","0xa","0x0"
"0x46","0x6c","0x3a","0xc","0x8d","9","8","0x9","0x8","0x24","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x47","0x6c","0x3a","0xc","0x8d","9","7","0x9","0x7","0x27","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x6c","0x18","0xc","0x8d","8","8","0x8","0x8","0x30","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x49","0x6c","0x3a","0xc","0x2d","12","0","0xc","0x0","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0x6c","0x3a","0xc","0x25","6","2","0x6","0x2","0x1f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x6c","0x3a","0xc","0x25","18","0","0x12","0x0","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x6c","0x3a","0xc","0x8d","8","7","0x8","0x7","0x26","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4d","0x6c","0x3a","0xc","0x8d","11","13","0xb","0xd","0x2b","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4e","0x6c","0x3a","0xc","0x25","22","3","0x16","0x3","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4f","0x6c","0x20","0xc","0x7d","9","6","0x9","0x6","0x39","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0x6c","0x24","0xc","0x8d","9","9","0x9","0x9","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0x6c","0x3a","0xc","0x8d","12","14","0xc","0xe","0x25","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x52","0x33","0x3a","0xc","0x44","3","9","0x3","0x9","0x20","0x28","0x0","0x0","0x6","0x3","0xa","0x0"
"0x53","0x6c","0x3a","0xc","0x25","5","9","0x5","0x9","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x54","0x6c","0x3a","0xc","0x25","5","6","0x5","0x6","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x6c","0x3a","0xc","0x25","2","13","0x2","0xd","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x56","0x6c","0x3a","0xc","0x25","3","14","0x3","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x57","0x6c","0x3a","0xc","0x25","15","1","0xf","0x1","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x58","0x6c","0x3a","0xc","0x25","10","14","0xa","0xe","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0x6c","0x3a","0xc","0x25","9","2","0x9","0x2","0x1f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5b","0x16","0x24","0x0","0x40","17","6","0x11","0x7","0x44","0x5c","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x5c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x49","0x2a","0x49","0x2c","2","14","0x8","0xd","0xd","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0xf3","0x28","0x49","0x55","2","14","0x9","0xe","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5f","0xf3","0x2c","0x49","0x2d","2","14","0x7","0xe","0x4a","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x60","0xf3","0x28","0x49","0x55","2","14","0x8","0xe","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x61","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x49","0x2a","0x49","0x2c","2","14","0x8","0xd","0x3","0x16","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0xf3","0x28","0x49","0x2d","2","14","0x9","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0xf3","0x2c","0x49","0x2d","2","14","0x7","0xe","0x4a","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0xf3","0x2e","0x49","0x2d","2","14","0x8","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x66","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x67","0x1","0x1","0x0","0x39","4","7","0x4","0x7","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x68","0x2","0x3","0x0","0x9","3","8","0x3","0x8","0x26","0x1f","0x28","0x0","0x0","0x0","0x0","0x0"
"0x69","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x13","0x20","0x0","0x31","19","10","0x13","0xa","0x37","0x37","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0xe","0x19","0x0","0x41","22","10","0x16","0xa","0x2c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x31","0x32","0x0","0x29","22","8","0x16","0x8","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6d","0xb","0x14","0x0","0x49","20","9","0x14","0x9","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x23","0x3c","0x0","0x19","20","10","0x14","0xa","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x30","0x28","0x0","0x39","21","10","0x15","0xa","0x14","0x1","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x70","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x71","0x2d","0x2","0x0","0x8","17","6","0x11","0x6","0x1","0xa","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x72","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x73","0xda","0x3a","0x0","0x44","19","7","0x13","0x7","0x20","0x28","0x6f","0x0","0x0","0x0","0x0","0x0"
"0x74","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
