"0xcc9164","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x11","0x6a","0x28","0x45","0x15","5","5","0x5","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x12","0x6a","0x18","0x45","0x1d","0","9","0x0","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x13","0x6a","0x28","0x45","0x1d","0","8","0x0","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x14","0x6a","0x28","0x45","0x1d","0","10","0x0","0xa","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x15","0x6a","0x28","0x45","0x1d","4","8","0x4","0x8","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x16","0x6a","0x28","0x45","0x1d","3","9","0x3","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x17","0x6a","0x28","0x45","0x1d","3","10","0x3","0xa","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x18","0x6a","0x38","0x45","0x1d","9","6","0x9","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x19","0x6a","0x38","0x45","0x1d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1a","0x6a","0x14","0x45","0x15","9","14","0x9","0xe","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x1b","0x6a","0x38","0x45","0x1d","14","1","0xe","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x1c","0x6a","0x28","0x45","0xd","17","8","0x11","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1d","0x6a","0x28","0x45","0x15","16","9","0x10","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1e","0x6a","0x28","0x45","0x15","11","5","0xb","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x1f","0x6a","0x28","0x45","0x15","10","6","0xa","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x20","0x6a","0x28","0x45","0xd","25","6","0x19","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x21","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x22","0x45","0x28","0x0","0x74","3","7","0x3","0x7","0x17","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x23","0x6a","0xe","0x45","0x2d","3","4","0x3","0x4","0x3","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x24","0x6a","0x18","0x45","0x1d","12","8","0xc","0x8","0x2c","0x6b","0x0","0x0","0x0","0x0","0x1","0x0"
"0x25","0x6a","0x28","0x45","0x1d","0","8","0x0","0x8","0x14","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x26","0x6a","0x28","0x45","0x1d","4","6","0x4","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x27","0x6a","0x28","0x45","0x1d","4","8","0x4","0x8","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x28","0x6a","0x28","0x45","0x25","9","14","0x9","0xe","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x29","0x6a","0x2e","0x45","0x1d","0","9","0x0","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2a","0x6a","0x14","0x45","0x15","5","5","0x5","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2b","0x6a","0x28","0x45","0x1d","3","9","0x3","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2c","0x6a","0x38","0x45","0x1d","9","6","0x9","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2d","0x6a","0x38","0x45","0x1d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x2e","0x6a","0x38","0x45","0x1d","14","1","0xe","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2f","0x6a","0x38","0x45","0x1d","27","3","0x1b","0x3","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x30","0x6a","0x38","0x45","0x1d","27","5","0x1b","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x31","0x6a","0xa","0x45","0xd","13","7","0xd","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x32","0x6a","0xa","0x45","0xd","3","10","0x3","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x33","0x6a","0x28","0x45","0xd","0","10","0x0","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x34","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0x45","0x28","0x0","0x74","3","7","0x3","0x7","0x1b","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x36","0x6a","0xe","0x45","0x1d","3","4","0x3","0x4","0x3","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x37","0x6a","0x28","0x45","0x1d","4","6","0x4","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x38","0x6a","0x28","0x45","0x15","5","5","0x5","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x39","0x6a","0x18","0x45","0x1d","0","9","0x0","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x3a","0x6a","0x28","0x45","0x1d","0","8","0x0","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x3b","0x6a","0x28","0x45","0x1d","0","10","0x0","0xa","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x3c","0x6a","0x28","0x45","0x1d","4","8","0x4","0x8","0x1","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x3d","0x6a","0x28","0x45","0x1d","3","9","0x3","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3e","0x6a","0x28","0x45","0x1d","3","10","0x3","0xa","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x3f","0x6a","0x38","0x45","0x1d","9","6","0x9","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x40","0x6a","0x38","0x45","0x1d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x41","0x6a","0x18","0x45","0x1d","12","8","0xc","0x8","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x42","0x6a","0x14","0x45","0x15","9","14","0x9","0xe","0x14","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x43","0x6a","0x38","0x45","0x1d","14","1","0xe","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x44","0x6a","0x38","0x45","0x1d","27","3","0x1b","0x3","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x45","0x6a","0x38","0x45","0x1d","27","5","0x1b","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x46","0x6a","0x38","0x45","0x1d","27","2","0x1b","0x2","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x47","0x6a","0x38","0x45","0x1d","27","6","0x1b","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x48","0x6a","0x28","0x45","0x1d","11","15","0xb","0xf","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x49","0x6a","0x28","0x45","0x1d","7","8","0x7","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x4a","0x6a","0x28","0x45","0x1d","7","9","0x7","0x9","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x45","0x28","0x0","0x74","3","7","0x3","0x7","0x1b","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x4d","0x6a","0x28","0x45","0x1d","4","6","0x4","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x4e","0x6a","0x28","0x45","0x1d","4","8","0x4","0x8","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x4f","0x6a","0x28","0x45","0x25","9","14","0x9","0xe","0x1","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x50","0x6a","0xe","0x45","0x2d","3","4","0x3","0x4","0x3","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x51","0x6a","0x2e","0x45","0x1d","0","9","0x0","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x52","0x6a","0x18","0x45","0x1d","12","8","0xc","0x8","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x53","0x6a","0x14","0x45","0x15","5","5","0x5","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x54","0x6a","0x28","0x45","0x1d","0","8","0x0","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x55","0x6a","0x28","0x45","0x1d","3","9","0x3","0x9","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x56","0x6a","0x38","0x45","0x1d","9","6","0x9","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x57","0x6a","0x38","0x45","0x1d","9","7","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x58","0x6a","0x38","0x45","0x1d","14","1","0xe","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x59","0x6a","0x38","0x45","0x1d","27","3","0x1b","0x3","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x5a","0x6a","0x38","0x45","0x1d","27","5","0x1b","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x5b","0x6a","0xa","0x45","0xd","13","7","0xd","0x7","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x5c","0x6a","0xa","0x45","0xd","3","10","0x3","0xa","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x5d","0x6a","0x28","0x45","0xd","0","10","0x0","0xa","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x5e","0x6a","0x38","0x45","0x1d","27","2","0x1b","0x2","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x5f","0x6a","0x38","0x45","0x1d","27","6","0x1b","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x60","0x6a","0x14","0x45","0x15","27","4","0x1b","0x4","0x14","0x6b","0x0","0x0","0x0","0x3","0x1","0x0"
"0x61","0x6a","0x32","0x45","0x15","21","16","0x15","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x62","0x6a","0x32","0x45","0x15","23","16","0x17","0x10","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x63","0x6a","0x28","0x45","0x25","10","15","0xa","0xf","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x64","0x6a","0x18","0x45","0x1d","13","9","0xd","0x9","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x65","0x6a","0x18","0x45","0x1d","11","14","0xb","0xe","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x66","0x6a","0x38","0x45","0x1d","9","8","0x9","0x8","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x67","0x6a","0x38","0x45","0x1d","9","9","0x9","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x68","0x6a","0xa","0x45","0xd","12","6","0xc","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x69","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6a","0x1b","0x2c","0x0","0x18","6","14","0x6","0xf","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x1b","0x2c","0x0","0x18","6","14","0x6","0xf","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0xd8","0x3a","0x45","0x1d","17","16","0x11","0x10","0x1f","0x0","0x0","0x0","0x0","0x4","0x1","0x0"
"0x6f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0xd8","0x3a","0x45","0x1d","22","14","0x16","0xe","0x1f","0x0","0x0","0x0","0x0","0xd","0x1","0x0"
"0x71","0xd8","0x3a","0x45","0x1d","27","14","0x1b","0xe","0x1f","0x0","0x0","0x0","0x0","0xd","0x1","0x0"
"0x72","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x73","0xd8","0x32","0x45","0x35","22","14","0x16","0xe","0x15","0x0","0x0","0x0","0x0","0xd","0x1","0x0"
"0x74","0xd8","0x32","0x45","0x35","27","14","0x1b","0xe","0x15","0x0","0x0","0x0","0x0","0xd","0x1","0x0"
"0x75","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x76","0xe4","0x39","0x45","0x1d","2","0","0x2","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0x1","0x0"
"0x77","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x78","0x1","0x1","0x0","0x29","14","6","0xe","0x6","0x9","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x79","0x2","0x3","0x0","0x21","16","3","0x10","0x3","0x1f","0x26","0x28","0x0","0x0","0x0","0x0","0x0"
"0x7a","0x1a","0x2a","0x0","0x19","16","7","0x10","0x7","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7b","0xb","0x14","0x0","0x49","18","1","0x12","0x1","0x14","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7d","0x13","0x20","0x0","0xa","9","2","0xb","0x2","0x38","0x5e","0x0","0x0","0x3","0x3","0x1","0x0"
"0x7e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7f","0xda","0x25","0x0","0xa","22","1","0x16","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x81","0x45","0x28","0x0","0x74","1","6","0x1","0x7","0x0","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x6a","0xe","0x45","0x1d","1","6","0x3","0x4","0x3","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x84","0x6a","0x28","0x45","0x1d","1","6","0x4","0x6","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x85","0x6a","0x28","0x45","0x15","1","6","0x5","0x5","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x86","0x6a","0x18","0x45","0x1d","1","6","0x0","0x9","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x87","0x6a","0x28","0x45","0x1d","1","6","0x0","0x8","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x88","0x6a","0x28","0x45","0x1d","1","6","0x0","0xa","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x6a","0x28","0x45","0x1d","4","8","0x4","0x8","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x8b","0x6a","0x28","0x45","0x1d","3","9","0x3","0x9","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x8c","0x6a","0x28","0x45","0x1d","3","10","0x3","0xa","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x8d","0x6a","0x38","0x45","0x1d","5","8","0x9","0x6","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x8e","0x6a","0x38","0x45","0x1d","5","8","0x9","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x8f","0x6a","0x18","0x45","0x1d","5","8","0xc","0x8","0x2c","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x90","0x6a","0x14","0x45","0x15","9","14","0x9","0xe","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x6a","0x38","0x45","0x1d","14","1","0xe","0x1","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x93","0x6a","0x38","0x45","0x1d","27","2","0x1b","0x3","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x94","0x6a","0x38","0x45","0x1d","27","6","0x1b","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
