"0xcd0884","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x10","0x2","0x3","0x0","0x50","10","2","0xa","0x2","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x11","0x2d","0x2","0x0","0x50","11","1","0xb","0x1","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
"0x12","0xb","0x14","0x0","0x48","9","1","0x9","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x13","0xe","0x19","0x0","0x70","12","1","0xc","0x1","0x2c","0x2d","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x16","0x24","0x0","0x58","9","2","0x9","0x2","0x44","0x46","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x30","0x28","0x0","0x68","13","2","0xd","0x2","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x16","0x1b","0x2c","0x0","0x40","10","3","0xa","0x3","0x4a","0x4b","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x17","0x31","0x32","0x0","0x50","10","4","0xa","0x4","0x14","0x1c","0x16","0x6b","0x0","0x0","0x0","0x0"
"0x18","0x23","0x3c","0x0","0x40","11","4","0xb","0x4","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x25","0x40","0x0","0x18","9","6","0x9","0x6","0x6b","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x50","0x2a","0x0","0x34","10","21","0xa","0x15","0x1d","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x1c","0xd7","0x28","0x50","0x3d","10","19","0xa","0x13","0x3","0x64","0x0","0x0","0x0","0x10","0xa","0x0"
"0x1d","0x5f","0x12","0x50","0x3d","4","11","0x4","0xb","0x22","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0x1e","0x5f","0x12","0x50","0x45","18","14","0x12","0xe","0x28","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x1f","0x5f","0x12","0x50","0x45","17","11","0x11","0xb","0x20","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x20","0x5f","0x3c","0x50","0x45","1","17","0x1","0x11","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x21","0x5f","0x12","0x50","0x45","3","12","0x3","0xc","0x26","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x22","0x5f","0x24","0x50","0x45","11","15","0xb","0xf","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x5f","0x20","0x50","0x45","16","14","0x10","0xe","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x24","0x5f","0x20","0x50","0x45","5","14","0x5","0xe","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x5f","0x2e","0x50","0x3d","11","19","0xb","0x13","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x26","0x5f","0x18","0x50","0x4d","10","15","0xa","0xf","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x27","0x5f","0x34","0x50","0x3d","21","15","0x15","0xf","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x28","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x29","0x50","0x2a","0x0","0x34","21","22","0x15","0x16","0x1d","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x2a","0xd7","0x28","0x50","0x3d","16","22","0x10","0x16","0x12","0x64","0x0","0x0","0x0","0x10","0xa","0x0"
"0x2b","0x5f","0x12","0x50","0x45","0","22","0x0","0x16","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x2c","0x5f","0x12","0x50","0x3d","1","12","0x1","0xc","0x2a","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0x2d","0x5f","0x24","0x50","0x45","12","19","0xc","0x13","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x5f","0x20","0x50","0x45","12","21","0xc","0x15","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x2f","0x5f","0x20","0x50","0x45","9","21","0x9","0x15","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x30","0x5f","0x2e","0x50","0x3d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x31","0x5f","0x18","0x50","0x4d","19","22","0x13","0x16","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x32","0x5f","0x34","0x50","0x3d","17","19","0x11","0x13","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x33","0x5f","0x34","0x50","0x3d","21","17","0x15","0x11","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x34","0x5f","0x12","0x50","0x45","17","15","0x11","0xf","0x2a","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x35","0x5f","0x12","0x50","0x45","20","12","0x14","0xc","0x2a","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x36","0x5f","0x3c","0x50","0x45","1","15","0x1","0xf","0x12","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x37","0x5f","0x18","0x50","0x4d","21","18","0x15","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x39","0x50","0x2a","0x0","0x34","10","21","0xa","0x15","0x1d","0x64","0x0","0x0","0x0","0x3","0x1","0x0"
"0x3a","0x5f","0x12","0x50","0x45","3","12","0x3","0xc","0x26","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x3b","0x5f","0x12","0x50","0x3d","4","11","0x4","0xb","0x22","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0x3c","0x5f","0x24","0x50","0x45","11","15","0xb","0xf","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0x5f","0x20","0x50","0x45","16","14","0x10","0xe","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x3e","0x5f","0x20","0x50","0x45","5","14","0x5","0xe","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3f","0x5f","0x2e","0x50","0x3d","11","19","0xb","0x13","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x40","0xd7","0x28","0x50","0x3d","10","19","0xa","0x13","0xe","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x41","0x5f","0x18","0x50","0x4d","10","15","0xa","0xf","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x42","0x5f","0x34","0x50","0x3d","21","15","0x15","0xf","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x43","0x5f","0x12","0x50","0x45","18","14","0x12","0xe","0x28","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x44","0x5f","0x12","0x50","0x45","17","11","0x11","0xb","0x20","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x45","0x5f","0x3c","0x50","0x45","1","17","0x1","0x11","0x1","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x46","0x5f","0x28","0x50","0x3d","9","14","0x9","0xe","0x3","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x47","0x5f","0x2e","0x50","0x3d","12","14","0xc","0xe","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x48","0x5f","0x34","0x50","0x3d","0","12","0x0","0xc","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x49","0x5f","0x34","0x50","0x3d","21","12","0x15","0xc","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x4a","0x5f","0x18","0x50","0x4d","9","20","0x9","0x14","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x4b","0x5f","0x18","0x50","0x4d","12","20","0xc","0x14","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x4c","0x5f","0x34","0x50","0x3d","20","21","0x14","0x15","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x4d","0x5f","0x34","0x50","0x3d","1","21","0x1","0x15","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x4e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4f","0x50","0x2a","0x0","0x34","21","22","0x15","0x16","0x1d","0x64","0x0","0x0","0x0","0x3","0x1","0x0"
"0x50","0x5f","0x12","0x50","0x45","0","22","0x0","0x16","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x51","0x5f","0x12","0x50","0x3d","1","12","0x1","0xc","0x2a","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x5f","0x24","0x50","0x45","12","19","0xc","0x13","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0x5f","0x20","0x50","0x45","12","21","0xc","0x15","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x54","0x5f","0x20","0x50","0x45","9","21","0x9","0x15","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x55","0x5f","0x2e","0x50","0x3d","17","22","0x11","0x16","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x56","0x5f","0x28","0x50","0x3d","16","22","0x10","0x16","0x12","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x57","0x5f","0x18","0x50","0x4d","10","20","0xa","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0x5f","0x34","0x50","0x3d","17","19","0x11","0x13","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x59","0x5f","0x34","0x50","0x3d","21","17","0x15","0x11","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x5a","0x5f","0x12","0x50","0x45","17","15","0x11","0xf","0x2a","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x5b","0x5f","0x12","0x50","0x45","20","12","0x14","0xc","0x2a","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x5c","0x5f","0x3c","0x50","0x45","1","15","0x1","0xf","0x12","0x6a","0x0","0x0","0x6","0x5","0xa","0x0"
"0x5d","0x5f","0x18","0x50","0x4d","21","18","0x15","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0x5f","0x20","0x50","0x45","3","22","0x3","0x16","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x5f","0x5f","0x20","0x50","0x45","1","17","0x1","0x11","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x60","0x5f","0x24","0x50","0x45","9","19","0x9","0x13","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x61","0xd7","0x28","0x50","0x3d","10","15","0xa","0xf","0xe","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x62","0x5f","0x28","0x50","0x3d","11","15","0xb","0xf","0x12","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x63","0x5f","0x2e","0x50","0x3d","7","14","0x7","0xe","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x64","0x5f","0x2e","0x50","0x3d","14","14","0xe","0xe","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x65","0x5f","0x34","0x50","0x3d","3","11","0x3","0xb","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x66","0x5f","0x34","0x50","0x3d","5","13","0x5","0xd","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x67","0x5f","0x34","0x50","0x3d","18","11","0x12","0xb","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x68","0x5f","0x34","0x50","0x3d","16","13","0x10","0xd","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x69","0x5f","0x14","0x50","0x3d","10","12","0xa","0xc","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x6a","0x5f","0x14","0x50","0x3d","11","12","0xb","0xc","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x6b","0x5f","0x14","0x50","0x3d","10","18","0xa","0x12","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x6c","0x5f","0x14","0x50","0x3d","11","18","0xb","0x12","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x6d","0x5f","0x12","0x50","0x3d","4","12","0x4","0xc","0x2a","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6e","0x5f","0x12","0x50","0x45","18","13","0x12","0xd","0x28","0x69","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x6f","0x5f","0x20","0x50","0x45","0","19","0x0","0x13","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x70","0x5f","0x20","0x50","0x45","2","21","0x2","0x15","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x71","0x5f","0x20","0x50","0x45","4","22","0x4","0x16","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x72","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x73","0x32","0x2e","0x0","0x4a","16","0","0x10","0x1","0x32","0x33","0x7a","0x0","0x0","0x0","0xa","0x0"
"0x74","0xe6","0x28","0x32","0x53","16","0","0x11","0x3","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x75","0xe6","0xa","0x32","0x63","16","0","0x12","0x3","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x76","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x77","0xe5","0x14","0x32","0x3b","3","7","0x3","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x78","0xe5","0x14","0x32","0x43","5","7","0x5","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x79","0xe5","0x14","0x32","0x3b","18","7","0x12","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7a","0xe5","0x14","0x32","0x3b","16","7","0x10","0x7","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7b","0xe5","0x14","0x32","0x3b","10","6","0xa","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7c","0xe5","0x14","0x32","0x3b","11","6","0xb","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7e","0x34","0x2b","0x0","0x8","12","6","0xc","0x6","0x4","0x95","0x5a","0x0","0x0","0x0","0x0","0x0"
"0x7f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x20","0x34","0x0","0x3c","0","15","0x0","0xf","0x1e","0x1c","0x79","0x0","0x0","0x0","0x0","0x0"
"0x81","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0x5f","0x1c","0x50","0x45","9","22","0x9","0x16","0x3f","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x83","0x5f","0x1c","0x50","0x45","12","22","0xc","0x16","0x3f","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x84","0x5f","0x14","0x50","0x3d","10","22","0xa","0x16","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x85","0x5f","0x14","0x50","0x3d","11","22","0xb","0x16","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x86","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x87","0x5f","0x1c","0x50","0x45","9","22","0x9","0x16","0x3f","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x88","0x5f","0x1c","0x50","0x45","12","22","0xc","0x16","0x3f","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x89","0x5f","0x14","0x50","0x3d","10","22","0xa","0x16","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x8a","0x5f","0x14","0x50","0x3d","11","22","0xb","0x16","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x8b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x5f","0x20","0x50","0x45","0","14","0x0","0xe","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x8d","0x5f","0x20","0x50","0x45","21","19","0x15","0x13","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x8e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8f","0x5f","0x20","0x50","0x45","0","14","0x0","0xe","0x38","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0x90","0x5f","0x20","0x50","0x45","21","19","0x15","0x13","0x38","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x5f","0x2e","0x50","0x3d","18","21","0x12","0x15","0x2c","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x93","0x5f","0x18","0x50","0x3d","0","16","0x0","0x10","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x94","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x95","0x5f","0x28","0x50","0x3d","0","16","0x0","0x10","0x12","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0x96","0x5f","0x2e","0x50","0x3d","18","21","0x12","0x15","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x97","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x98","0x5f","0x32","0x50","0x3d","0","22","0x0","0x16","0x15","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x99","0x5f","0x34","0x50","0x35","20","22","0x14","0x16","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x9a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x5f","0x34","0x50","0x3d","0","22","0x0","0x16","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x9c","0x5f","0x34","0x50","0x35","20","22","0x14","0x16","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x9d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0x5f","0x32","0x50","0x3d","0","19","0x0","0x13","0x14","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0x9f","0x5f","0x34","0x50","0x35","21","21","0x15","0x15","0x16","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xa0","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa1","0x5f","0x32","0x50","0x3d","0","19","0x0","0x13","0x14","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0xa2","0x5f","0x34","0x50","0x35","21","21","0x15","0x15","0x16","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0xa3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa4","0x5f","0x34","0x50","0x35","0","19","0x0","0x13","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xa5","0x5f","0x34","0x50","0x3d","21","21","0x15","0x15","0x1e","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xa6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa7","0x5f","0x12","0x50","0x45","1","22","0x1","0x16","0x20","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xa8","0x5f","0x12","0x50","0x45","14","22","0xe","0x16","0x1f","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xa9","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xaa","0x5f","0x12","0x50","0x45","1","22","0x1","0x16","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xab","0x5f","0x12","0x50","0x45","14","22","0xe","0x16","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xac","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xad","0x5f","0x18","0x50","0x45","21","16","0x15","0x10","0x2d","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xae","0x5f","0x12","0x50","0x45","16","18","0x10","0x12","0x20","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xaf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb0","0x5f","0x18","0x50","0x45","21","16","0x15","0x10","0x2c","0x0","0x0","0x0","0x0","0x10","0xa","0x0"
"0xb1","0x5f","0x12","0x50","0x45","16","18","0x10","0x12","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xb2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb3","0x5f","0x18","0x50","0x45","21","16","0x15","0x10","0x2d","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0xb4","0x5f","0x12","0x50","0x45","16","18","0x10","0x12","0x20","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xb5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb6","0x5f","0x18","0x50","0x45","21","16","0x15","0x10","0x2c","0x69","0x0","0x0","0x0","0x10","0xa","0x0"
"0xb7","0x5f","0x12","0x50","0x45","16","18","0x10","0x12","0x2a","0x0","0x0","0x0","0x0","0x1b","0xa","0x0"
"0xb8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xb9","0x24","0x3e","0x0","0x54","6","5","0x6","0x5","0x4","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0xba","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbb","0x51","0x2d","0x0","0x7c","8","0","0x5","0x3","0x3a","0x39","0x0","0x0","0x3","0x3","0xa","0x0"
"0xbc","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xbd","0x63","0x10","0x0","0x64","4","10","0x3","0x3","0x4","0x75","0x0","0x0","0x3","0x3","0xa","0x0"
"0xbe","0x64","0xc","0x0","0x64","5","10","0x4","0x4","0x7","0x28","0x0","0x0","0x3","0x3","0xa","0x0"
"0xbf","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc0","0x84","0x13","0x0","0x54","1","0","0x1","0x1","0x21","0x2e","0x0","0x0","0x3","0x0","0xa","0x0"
"0xc1","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc2","0x5b","0x23","0x0","0x54","1","0","0x1","0x0","0x3b","0x3a","0x0","0x0","0x3","0x3","0xa","0x0"
"0xc3","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc4","0xdc","0x38","0x0","0xa","10","11","0xa","0x4","0x6c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc5","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc6","0x1","0x1","0x0","0x58","10","9","0xa","0x9","0x9","0x3","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc7","0x2","0x3","0x0","0x50","10","10","0xa","0xa","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0xc8","0x2d","0x2","0x0","0x50","11","9","0xb","0x9","0xa","0x1","0xe","0x6b","0x0","0x0","0x0","0x0"
