"0xcc6940","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x1b","0x1c","0x2e","0x3","0x38","3","3","0x3","0x3","0x32","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1c","0x1d","0x32","0x3","0x8","5","3","0x5","0x3","0x15","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1d","0xd","0x18","0x3","0x10","2","4","0x2","0x4","0x2c","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1f","0xa6","0x24","0x0","0x2c","7","10","0x7","0xa","0x44","0x0","0x0","0x0","0x3","0x3","0x1","0x0"
"0x20","0xa7","0x39","0xa6","0xd","17","10","0x11","0xa","0x1f","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x21","0xa8","0xa","0xa6","0xd","18","6","0x12","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0x1","0x0"
"0x22","0xa9","0x18","0xa6","0xd","10","1","0xa","0x1","0x2c","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x23","0xa8","0xa","0xa6","0xd","13","7","0xd","0x7","0x1","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x24","0xe0","0x39","0xa6","0x15","12","4","0xc","0x4","0x1f","0x14","0x0","0x0","0x0","0x0","0x1","0x0"
"0x25","0xab","0x24","0xa6","0xd","5","5","0x5","0x5","0x44","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x26","0xab","0x24","0xa6","0xd","12","12","0xc","0xc","0x44","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x27","0xa7","0x39","0xa6","0xd","9","13","0x9","0xd","0x1f","0x0","0x0","0x0","0x0","0x4","0x1","0x0"
"0x28","0xac","0x20","0xa6","0xd","14","8","0xe","0x8","0x37","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x29","0xab","0x24","0xa6","0xd","5","11","0x5","0xb","0x44","0x0","0x0","0x0","0x0","0x3","0x1","0x0"
"0x2a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2b","0x26","0x41","0x3","0x8","1","4","0x1","0x4","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2d","0x10","0x1c","0x3","0x18","4","1","0x4","0x1","0x3e","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
