"0xcd2f58","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x13","0x23","0x3c","0x0","0x41","4","23","0x4","0x17","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x14","0x30","0x28","0x0","0x81","4","21","0x4","0x15","0x1","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x15","0x2","0x3","0x0","0x69","0","24","0x0","0x18","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x16","0x10","0x1c","0x0","0x61","2","24","0x2","0x18","0x3e","0x3f","0x0","0x0","0x0","0x0","0x0","0x0"
"0x17","0x19","0x28","0x0","0x79","4","24","0x4","0x18","0x3","0x14","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x18","0x31","0x32","0x0","0x61","6","24","0x6","0x18","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x19","0x20","0x34","0x0","0x51","8","23","0x8","0x17","0x14","0x16","0x1c","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x63","0x10","0x0","0x64","7","3","0x7","0x3","0x4","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x1c","0x6d","0xa","0x63","0x7d","7","10","0x7","0xa","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1d","0x6e","0x1a","0x63","0x3d","16","20","0x10","0x14","0x2e","0x65","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0x6d","0xa","0x63","0x55","6","12","0x6","0xc","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1f","0x6d","0xa","0x63","0x55","8","12","0x8","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x20","0x6d","0x1c","0x63","0x7d","15","7","0xf","0x7","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0x6d","0x1c","0x63","0x55","3","16","0x3","0x10","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x22","0x6d","0xe","0x63","0x55","6","4","0x6","0x4","0xe","0x75","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x6d","0xe","0x63","0x55","8","4","0x8","0x4","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0x6d","0x14","0x63","0x55","15","12","0xf","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x6d","0x1c","0x63","0x55","5","16","0x5","0x10","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x26","0x6d","0x34","0x63","0x4d","2","4","0x2","0x4","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0x6d","0x34","0x63","0x4d","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x28","0x6d","0x34","0x63","0x4d","2","6","0x2","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0x6d","0xe","0x63","0x55","18","3","0x12","0x3","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2a","0x6d","0xe","0x63","0x55","16","3","0x10","0x3","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x6d","0x18","0x63","0x4d","10","1","0xa","0x1","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x6d","0xe","0x63","0x4d","13","9","0xd","0x9","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x63","0x10","0x0","0x64","7","9","0x7","0x9","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2f","0x6d","0xc","0x63","0x25","15","18","0xf","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x30","0x6d","0x1a","0x63","0x3d","8","12","0x8","0xc","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0x6d","0x1c","0x63","0x75","12","10","0xc","0xa","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0x6d","0xa","0x63","0x55","14","23","0xe","0x17","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x6d","0xa","0x63","0x55","18","16","0x12","0x10","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0x6e","0x1e","0x63","0x2d","16","24","0x10","0x18","0x3f","0x65","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0x6d","0x1c","0x63","0x55","6","15","0x6","0xf","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x36","0x6d","0xe","0x63","0x55","6","8","0x6","0x8","0xe","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x37","0x6d","0xe","0x63","0x55","9","10","0x9","0xa","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0x6d","0x14","0x63","0x55","14","1","0xe","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x39","0x6d","0x1c","0x63","0x55","17","20","0x11","0x14","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0x6d","0x34","0x63","0x4d","2","1","0x2","0x1","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0x6d","0x34","0x63","0x4d","1","6","0x1","0x6","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3c","0x6d","0x34","0x63","0x4d","2","9","0x2","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3d","0x6d","0xe","0x63","0x55","9","6","0x9","0x6","0x12","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0x6d","0xe","0x63","0x55","7","4","0x7","0x4","0x12","0x75","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x6d","0x18","0x63","0x7d","10","1","0xa","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x40","0x6d","0xe","0x63","0x4d","7","14","0x7","0xe","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x41","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x63","0x10","0x0","0x64","7","3","0x7","0x3","0x4","0x75","0x0","0x0","0x0","0x3","0xa","0x0"
"0x43","0x6d","0xa","0x63","0x7d","7","10","0x7","0xa","0x3","0x75","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0x6d","0x1a","0x63","0x3d","16","20","0x10","0x14","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0x6d","0xa","0x63","0x55","6","12","0x6","0xc","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0x6d","0xa","0x63","0x55","8","12","0x8","0xc","0x1","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x47","0x6e","0x1c","0x63","0x7d","15","7","0xf","0x7","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x6d","0x1c","0x63","0x55","3","16","0x3","0x10","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x49","0x6d","0xe","0x63","0x55","6","4","0x6","0x4","0xe","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0x6d","0xe","0x63","0x55","8","4","0x8","0x4","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x6d","0x14","0x63","0x55","15","12","0xf","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x6d","0x1c","0x63","0x55","5","16","0x5","0x10","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4d","0x6d","0x34","0x63","0x4d","2","4","0x2","0x4","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4e","0x6d","0x34","0x63","0x4d","1","5","0x1","0x5","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4f","0x6d","0x34","0x63","0x4d","2","6","0x2","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0x6d","0xe","0x63","0x55","18","3","0x12","0x3","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0x6d","0xe","0x63","0x55","16","3","0x10","0x3","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x6d","0x18","0x63","0x4d","10","1","0xa","0x1","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0x6d","0xe","0x63","0x4d","13","9","0xd","0x9","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x54","0x6d","0x1a","0x63","0x3d","13","24","0xd","0x18","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x55","0x6d","0x34","0x63","0x4d","1","9","0x1","0x9","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x56","0x6d","0x34","0x63","0x4d","3","9","0x3","0x9","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x57","0x6d","0x14","0x63","0x55","17","6","0x11","0x6","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0x6d","0xe","0x63","0x7d","9","0","0x9","0x0","0x2","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0x6d","0xe","0x63","0x7d","10","0","0xa","0x0","0x6","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0x6d","0xe","0x63","0x7d","11","0","0xb","0x0","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x6d","0x34","0x63","0x4d","1","3","0x1","0x3","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0x6d","0x34","0x63","0x4d","2","2","0x2","0x2","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5d","0x6d","0x1a","0x63","0x3d","13","24","0x5","0xa","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x63","0x10","0x0","0x64","7","9","0x7","0x9","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x60","0x6d","0xc","0x63","0x25","15","18","0xf","0x12","0x3","0x75","0x0","0x0","0x0","0x3","0xa","0x0"
"0x61","0x6d","0x1a","0x63","0x3d","8","12","0x8","0xc","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x62","0x6d","0x1c","0x63","0x75","12","10","0xc","0xa","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0x6d","0xa","0x63","0x55","14","23","0xe","0x17","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0x6d","0xa","0x63","0x55","18","16","0x12","0x10","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0x6e","0x1e","0x63","0x2d","16","24","0x10","0x18","0x3f","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0x66","0x6d","0x1c","0x63","0x55","6","15","0x6","0xf","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x67","0x6d","0xe","0x63","0x55","6","8","0x6","0x8","0xe","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x68","0x6d","0xe","0x63","0x55","9","10","0x9","0xa","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x69","0x6d","0x14","0x63","0x55","14","1","0xe","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6a","0x6d","0x1c","0x63","0x55","17","20","0x11","0x14","0x3e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6b","0x6d","0x34","0x63","0x4d","2","1","0x2","0x1","0x16","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x6c","0x6d","0x34","0x63","0x4d","1","6","0x1","0x6","0x16","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x6d","0x6d","0x34","0x63","0x4d","2","9","0x2","0x9","0x16","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x6e","0x6d","0xe","0x63","0x55","9","6","0x9","0x6","0x12","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6f","0x6d","0xe","0x63","0x55","7","4","0x7","0x4","0x12","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x70","0x6d","0x18","0x63","0x7d","10","1","0xa","0x1","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x71","0x6d","0xe","0x63","0x4d","7","14","0x7","0xe","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x72","0x6d","0x34","0x63","0x4d","1","3","0x1","0x3","0x16","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x73","0x6d","0x34","0x63","0x4d","3","4","0x3","0x4","0x16","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x74","0x6d","0x14","0x63","0x55","16","8","0x10","0x8","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x75","0x6d","0xa","0x63","0x55","14","17","0xe","0x11","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x76","0x6d","0xa","0x63","0x55","16","19","0x10","0x13","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x77","0x6d","0x1c","0x63","0x55","7","16","0x7","0x10","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x78","0x6d","0x34","0x63","0x4d","8","19","0x8","0x13","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x79","0x6d","0x34","0x63","0x4d","10","20","0xa","0x14","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7a","0x6d","0x1a","0x63","0x3d","8","4","0x8","0x4","0x2e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7c","0x2c","0x16","0x0","0xa","18","17","0x10","0x11","0x17","0x28","0x6c","0x0","0x0","0xe","0x9","0x0"
"0x7d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7e","0x2c","0x16","0x0","0xa","18","3","0x11","0x4","0x17","0x28","0x6c","0x0","0x0","0x0","0x0","0x0"
"0x7f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x80","0x6d","0xe","0x63","0x7d","7","3","0x8","0x5","0x2","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x81","0x6d","0xe","0x63","0x55","7","3","0x7","0x5","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x6d","0xe","0x63","0x7d","7","3","0x7","0x5","0x4","0x0","0x0","0x0","0x0","0xf","0xa","0x0"
"0x84","0x6d","0xe","0x63","0x7d","7","3","0x8","0x5","0x6","0x0","0x0","0x0","0x0","0xd","0xa","0x0"
"0x85","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x86","0x6d","0x39","0x63","0x55","18","24","0x12","0x18","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x6d","0x39","0x63","0x55","4","0","0x4","0x0","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x89","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x6d","0x1c","0x63","0x55","7","16","0x7","0x10","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8b","0x6d","0x1c","0x63","0x55","6","15","0x6","0xf","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x6d","0x34","0x63","0x55","0","1","0x0","0x1","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8e","0x6d","0x34","0x63","0x55","1","0","0x1","0x0","0x14","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x90","0x6d","0x1c","0x63","0x55","0","15","0x0","0xf","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x91","0x6d","0xe","0x63","0x55","0","16","0x0","0x10","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x92","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x93","0x6d","0x1c","0x63","0x55","0","17","0x0","0x11","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x94","0x6d","0xa","0x63","0x55","0","18","0x0","0x12","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x95","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x96","0x6d","0xe","0x63","0x55","10","6","0xa","0x6","0x1","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x97","0x6d","0x1c","0x63","0x55","10","5","0xa","0x5","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x98","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x99","0x1","0x1","0x0","0x71","0","20","0x3","0x14","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9a","0x2","0x3","0x0","0x69","0","19","0x4","0x13","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x9b","0x2d","0x2","0x0","0x61","0","18","0x3","0x12","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x25","0x40","0x0","0x39","0","21","0x4","0x15","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9d","0x15","0x22","0x0","0x32","0","22","0x4","0x16","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9e","0xf","0x1b","0x0","0x3a","0","23","0x3","0x17","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9f","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa0","0x36","0x3c","0x1","0x60","0","20","0x1","0x14","0x1","0x6a","0x0","0x0","0x6","0x5","0x9","0x0"
"0xa1","0x22","0x3b","0x0","0x20","0","22","0x2","0x16","0x29","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa2","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa3","0xcd","0x51","0x0","0xa","0","21","0x2","0x15","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa4","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xa5","0xdb","0xe","0x64","0x55","6","15","0x6","0xf","0x1","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa6","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
