"0xcd2734","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x17","0x82","0x1a","0x3b","0x2d","10","9","0xa","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x18","0x73","0x1a","0x3b","0x2d","10","14","0xa","0xe","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x19","0x74","0x16","0x3b","0x2d","10","6","0xa","0x6","0x17","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1a","0x73","0x22","0x3b","0x2d","6","6","0x6","0x6","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1b","0x80","0xc","0x3b","0x2d","9","10","0x9","0xa","0x21","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1c","0x7f","0x17","0x3b","0x2d","11","10","0xb","0xa","0x1d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1d","0x81","0x10","0x3b","0x2d","10","11","0xa","0xb","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0x73","0x22","0x3b","0x2d","6","18","0x6","0x12","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1f","0x73","0x16","0x3b","0x2d","2","10","0x2","0xa","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x20","0x73","0x26","0x3b","0x2d","2","14","0x2","0xe","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x21","0x74","0x26","0x3b","0x2d","14","6","0xe","0x6","0x46","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x22","0x74","0x16","0x3b","0x2d","14","18","0xe","0x12","0x17","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x23","0x74","0x1e","0x3b","0x2d","2","2","0x2","0x2","0x3f","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x1c","0xa","0x0"
"0x26","0x73","0x1e","0x3b","0x2d","18","14","0x12","0xe","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x27","0x82","0x1a","0x3b","0x2d","10","9","0xa","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x28","0x73","0x1a","0x3b","0x2d","10","14","0xa","0xe","0x2e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x29","0x74","0x16","0x3b","0x2d","10","6","0xa","0x6","0x17","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0x73","0x22","0x3b","0x2d","6","6","0x6","0x6","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2b","0x80","0xc","0x3b","0x2d","9","10","0x9","0xa","0x21","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x7f","0x17","0x3b","0x2d","11","10","0xb","0xa","0x1d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0x81","0x10","0x3b","0x2d","10","11","0xa","0xb","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x73","0x22","0x3b","0x2d","6","18","0x6","0x12","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0x73","0x16","0x3b","0x2d","2","10","0x2","0xa","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x30","0x73","0x26","0x3b","0x2d","2","14","0x2","0xe","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x31","0x74","0x26","0x3b","0x2d","14","6","0xe","0x6","0x46","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x32","0x74","0x16","0x3b","0x2d","14","18","0xe","0x12","0x17","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x33","0x74","0x1e","0x3b","0x2d","2","2","0x2","0x2","0x3f","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x35","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0x73","0x1e","0x3b","0x2d","18","14","0x12","0xe","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0x82","0x1a","0x3b","0x2d","10","9","0xa","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x38","0x73","0x1a","0x3b","0x2d","10","14","0xa","0xe","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x39","0x74","0x16","0x3b","0x2d","10","6","0xa","0x6","0x17","0x69","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3a","0x73","0x22","0x3b","0x2d","6","6","0x6","0x6","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3b","0x80","0xc","0x3b","0x2d","9","10","0x9","0xa","0x21","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3c","0x7f","0x17","0x3b","0x2d","11","10","0xb","0xa","0x1d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0x81","0x10","0x3b","0x2d","10","11","0xa","0xb","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3e","0x73","0x22","0x3b","0x2d","6","18","0x6","0x12","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3f","0x73","0x16","0x3b","0x2d","2","10","0x2","0xa","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x40","0x73","0x26","0x3b","0x2d","2","14","0x2","0xe","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0x74","0x26","0x3b","0x2d","14","6","0xe","0x6","0x46","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x42","0x73","0x16","0x3b","0x2d","14","18","0xe","0x12","0x17","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0x74","0x1e","0x3b","0x2d","2","2","0x2","0x2","0x3f","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x44","0x73","0x26","0x3b","0x2d","6","2","0x6","0x2","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x45","0x73","0x16","0x3b","0x2d","18","10","0x12","0xa","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0x73","0x16","0x3b","0x2d","10","18","0xa","0x12","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x47","0x73","0x26","0x3b","0x2d","2","6","0x2","0x6","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x1c","0xa","0x0"
"0x4a","0x7f","0x17","0x3b","0x2d","11","10","0xb","0xa","0x1d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x80","0xc","0x3b","0x2d","9","10","0x9","0xa","0x21","0x28","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x81","0x10","0x3b","0x2d","10","11","0xa","0xb","0x10","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4d","0x82","0x1a","0x3b","0x2d","10","9","0xa","0x9","0x2e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4e","0x73","0x1e","0x3b","0x2d","18","14","0x12","0xe","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x4f","0x73","0x1e","0x3b","0x2d","10","14","0xa","0xe","0x3f","0x41","0x52","0x0","0x0","0x0","0xa","0x0"
"0x50","0x74","0x1e","0x3b","0x2d","10","6","0xa","0x6","0x40","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x51","0x74","0x1e","0x3b","0x2d","2","2","0x2","0x2","0x3f","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x52","0x73","0x1e","0x3b","0x2d","2","10","0x2","0xa","0x40","0x41","0x0","0x0","0x0","0x0","0xa","0x0"
"0x53","0x73","0x22","0x3b","0x2d","6","6","0x6","0x6","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x54","0x73","0x22","0x3b","0x2d","6","18","0x6","0x12","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x73","0x22","0x3b","0x2d","14","18","0xe","0x12","0x39","0x51","0x69","0x0","0x0","0x0","0xa","0x0"
"0x56","0x73","0x22","0x3b","0x2d","18","10","0x12","0xa","0x39","0x3a","0x0","0x0","0x0","0x0","0xa","0x0"
"0x57","0x73","0x22","0x3b","0x2d","14","14","0xe","0xe","0x39","0x50","0x0","0x0","0x0","0x0","0xa","0x0"
"0x58","0x73","0x26","0x3b","0x2d","2","14","0x2","0xe","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x59","0x74","0x26","0x3b","0x2d","14","6","0xe","0x6","0x46","0x69","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0x73","0x26","0x3b","0x2d","10","18","0xa","0x12","0x46","0x47","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x73","0x26","0x3b","0x2d","6","2","0x6","0x2","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5c","0x73","0x26","0x3b","0x2d","2","6","0x2","0x6","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5d","0x73","0x26","0x3b","0x2d","6","14","0x6","0xe","0x45","0x47","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5e","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5f","0x73","0x20","0x3b","0x65","2","2","0x2","0x2","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x60","0x73","0x24","0x3b","0x65","18","2","0x12","0x2","0x44","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x61","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x62","0x74","0x18","0x3b","0x65","14","10","0xf","0x9","0x2e","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0x74","0xa","0x3b","0x65","14","10","0xd","0xb","0x4","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0x74","0x14","0x3b","0x65","14","10","0xd","0x9","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x65","0x74","0x12","0x3b","0x65","14","10","0xf","0xb","0x21","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x66","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x67","0x74","0x20","0x3b","0x65","6","10","0x5","0x9","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x68","0x74","0x24","0x3b","0x65","6","10","0x7","0x9","0x46","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x69","0x74","0x1c","0x3b","0x65","6","10","0x7","0xb","0x3f","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6a","0x74","0x2c","0x3b","0x65","6","10","0x5","0xb","0x4c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x6b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6c","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6e","0x1","0x1","0x0","0x71","14","1","0xe","0x1","0x1","0x9","0x0","0x0","0x0","0x0","0x0","0x0"
"0x6f","0x22","0x3b","0x0","0x20","15","2","0xf","0x2","0x29","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x70","0x15","0x22","0x0","0x32","13","1","0xd","0x1","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x71","0xda","0x41","0x0","0xa","15","1","0xf","0x1","0x0","0x0","0x0","0x0","0x6","0x3","0x2","0x0"
"0x72","0x3b","0x43","0x0","0x55","10","10","0xa","0xa","0x0","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x73","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
