"0xcdbd3c","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x12","0xea","0x18","0x5d","0x55","12","6","0xc","0x6","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x13","0xea","0x1b","0x5d","0x1d","13","7","0xd","0x7","0x33","0x2e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x14","0xea","0x20","0x5d","0x55","1","12","0x1","0xc","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x15","0xea","0x20","0x5d","0x55","5","12","0x5","0xc","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x16","0xea","0x1c","0x5d","0x55","4","10","0x4","0xa","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x17","0xea","0x20","0x5d","0x55","0","9","0x0","0x9","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x18","0xea","0x20","0x5d","0x55","2","6","0x2","0x6","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x19","0xea","0x12","0x5d","0x55","14","15","0xe","0xf","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1a","0xea","0xa","0x5d","0x55","14","18","0xe","0x12","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1b","0xea","0x12","0x5d","0x55","5","23","0x5","0x17","0x20","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1c","0xea","0x18","0x5d","0x55","15","9","0xf","0x9","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1d","0xea","0x18","0x5d","0x55","16","10","0x10","0xa","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1e","0xea","0x18","0x5d","0x55","11","21","0xb","0x15","0x33","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x1f","0xea","0x18","0x5d","0x55","8","20","0x8","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x20","0xea","0x22","0x5d","0x1d","3","7","0x3","0x7","0x39","0x3a","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0xea","0xa","0x5d","0x55","7","8","0x7","0x8","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x22","0xea","0x12","0x5d","0x55","6","18","0x6","0x12","0x28","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x23","0xea","0x12","0x5d","0x55","6","14","0x6","0xe","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x24","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x25","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x26","0x5d","0x3b","0x0","0x54","8","3","0x8","0x3","0x29","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0xf0","0x20","0x5d","0x55","1","22","0x1","0x16","0x38","0x6d","0x0","0x0","0x0","0x0","0xa","0x0"
"0x28","0xea","0x14","0x5d","0x55","3","18","0x3","0x12","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x29","0xea","0x18","0x5d","0x55","12","6","0xc","0x6","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0xea","0x1b","0x5d","0x1d","13","7","0xd","0x7","0x33","0x2e","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0xea","0x20","0x5d","0x55","1","12","0x1","0xc","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2c","0xea","0x20","0x5d","0x55","5","12","0x5","0xc","0x38","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0xea","0x1c","0x5d","0x55","4","10","0x4","0xa","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0xea","0x20","0x5d","0x55","0","9","0x0","0x9","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0xea","0x20","0x5d","0x55","2","6","0x2","0x6","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x30","0xf0","0x13","0x5d","0x1d","8","6","0x8","0x6","0x28","0x6c","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0xea","0x12","0x5d","0x55","10","14","0xa","0xe","0x28","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x32","0xf0","0xe","0x5d","0x55","12","11","0xc","0xb","0x3","0x9","0x0","0x0","0x0","0x3","0xa","0x0"
"0x33","0xea","0x12","0x5d","0x55","14","15","0xe","0xf","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x34","0xea","0xa","0x5d","0x55","14","18","0xe","0x12","0x6","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0xf0","0x12","0x5d","0x55","5","23","0x5","0x17","0x20","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0xea","0x18","0x5d","0x55","15","9","0xf","0x9","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x37","0xea","0x18","0x5d","0x55","16","10","0x10","0xa","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0xf0","0x14","0x5d","0x55","16","15","0x10","0xf","0x1c","0x6c","0x0","0x0","0x3","0x3","0xa","0x0"
"0x39","0xea","0x18","0x5d","0x55","11","21","0xb","0x15","0x33","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3a","0xea","0x18","0x5d","0x55","8","20","0x8","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3b","0xea","0x22","0x5d","0x1d","3","7","0x3","0x7","0x39","0x3a","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3c","0xf0","0x24","0x5d","0x55","0","15","0x0","0xf","0x44","0x6b","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0xea","0xa","0x5d","0x55","7","8","0x7","0x8","0x3","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x3e","0xea","0x12","0x5d","0x55","6","18","0x6","0x12","0x28","0x0","0x0","0x0","0x3","0x3","0xa","0x0"
"0x3f","0xea","0x12","0x5d","0x55","6","14","0x6","0xe","0x20","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x40","0xea","0x20","0x5d","0x55","6","10","0x6","0xa","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x41","0xea","0x20","0x5d","0x55","0","18","0x0","0x12","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x42","0xea","0x20","0x5d","0x55","1","20","0x1","0x14","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x43","0xea","0x18","0x5d","0x55","15","11","0xf","0xb","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x44","0xea","0x18","0x5d","0x55","13","20","0xd","0x14","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x45","0xea","0x18","0x5d","0x55","16","22","0x10","0x16","0x2d","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x46","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x47","0x44","0x45","0x0","0xa4","12","6","0xc","0x6","0x8e","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0x48","0xda","0x40","0x0","0xa","12","4","0xc","0x4","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x49","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4a","0x1","0x1","0x0","0x91","4","2","0x5","0x4","0x3","0x9","0xd","0x0","0x0","0x0","0x0","0x0"
"0x4b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4c","0x27","0x42","0x0","0xa2","4","2","0x4","0x3","0x3c","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x4e","0x2","0x3","0x0","0x91","4","5","0x4","0x5","0x1f","0x28","0x26","0x2a","0x0","0x0","0x0","0x0"
"0x4f","0x2d","0x2","0x0","0x61","6","5","0x6","0x5","0xa","0x1","0x5","0x0","0x0","0x0","0x0","0x0"
"0x50","0x26","0x41","0x0","0x18","3","4","0x3","0x4","0x6b","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x51","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x52","0xda","0x55","0x0","0xa","8","5","0x8","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x53","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x54","0x44","0x45","0x0","0xa4","8","8","0x8","0x8","0x8e","0x0","0x0","0x0","0x6","0x3","0x9","0x0"
"0x55","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x56","0xda","0x54","0x0","0xa","8","5","0x8","0x5","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x57","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
