"0xcda738","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x12","0x2d","0x8","0x0","0x9","28","21","0x1c","0x15","0xa","0x3","0x12","0x2c","0x0","0x0","0x0","0x0"
"0x13","0xe","0x1b","0x0","0x31","24","25","0x18","0x19","0x30","0x2d","0x33","0x0","0x0","0x0","0x0","0x0"
"0x14","0x16","0x26","0x0","0x31","27","26","0x1b","0x1a","0x44","0x45","0x46","0x4a","0x0","0x0","0x0","0x0"
"0x15","0x30","0x2a","0x0","0x29","27","21","0x1b","0x15","0x17","0x3","0x1c","0x1f","0x0","0x0","0x0","0x0"
"0x16","0x1b","0x2d","0x0","0x9","27","24","0x1b","0x18","0x4b","0x4d","0x4f","0x37","0x0","0x0","0x0","0x0"
"0x17","0x31","0x33","0x0","0x9","23","24","0x17","0x18","0x16","0x1c","0x1e","0x1","0x0","0x0","0x0","0x0"
"0x18","0x23","0x3c","0x0","0x79","27","22","0x1b","0x16","0x1","0x6a","0x0","0x0","0x0","0x0","0x0","0x0"
"0x19","0x25","0x40","0x0","0x61","23","26","0x17","0x1a","0x6c","0x6c","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x1b","0x70","0x30","0x0","0x75","21","2","0x15","0x2","0x32","0x3","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1c","0x70","0x39","0x0","0x75","8","13","0x8","0xd","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1d","0x70","0xe","0x0","0x75","6","6","0x6","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1e","0x70","0xe","0x0","0x75","8","6","0x8","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x1f","0x70","0x16","0x0","0x45","17","11","0x11","0xb","0x2b","0x74","0x0","0x0","0x0","0x3","0xa","0x0"
"0x20","0x70","0xe","0x0","0x75","11","20","0xb","0x14","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x21","0x70","0xe","0x0","0x75","7","21","0x7","0x15","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x22","0x70","0xe","0x0","0x75","6","16","0x6","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x23","0x70","0x14","0x0","0x75","18","10","0x12","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x24","0x70","0x14","0x0","0x75","16","12","0x10","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x25","0x70","0x14","0x0","0x75","18","12","0x12","0xc","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x26","0x70","0x14","0x0","0x75","16","10","0x10","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x27","0x70","0x30","0x0","0x45","23","2","0x17","0x2","0x33","0x6c","0x0","0x0","0x0","0x3","0xa","0x0"
"0x28","0x70","0x28","0x0","0x75","21","4","0x15","0x4","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x29","0x70","0x2a","0x0","0x45","22","3","0x16","0x3","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2a","0x70","0xa","0x0","0x75","6","18","0x6","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2b","0x70","0xe","0x0","0x75","8","18","0x8","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2c","0x70","0xa","0x0","0x75","8","16","0x8","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2d","0x70","0xc","0x0","0x45","7","17","0x7","0x11","0x4","0x79","0x0","0x0","0x0","0x3","0xa","0x0"
"0x2e","0x70","0x28","0x0","0x75","25","9","0x19","0x9","0x18","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x2f","0x70","0x28","0x0","0x75","27","9","0x1b","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x30","0x70","0xe","0x0","0x75","12","22","0xc","0x16","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x31","0x70","0xe","0x0","0x75","15","25","0xf","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x32","0x70","0xe","0x0","0x75","18","26","0x12","0x1a","0xd","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x33","0x70","0xe","0x0","0x75","17","24","0x11","0x18","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x34","0x70","0x14","0x0","0x75","21","16","0x15","0x10","0x17","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x35","0x70","0x14","0x0","0x75","18","19","0x12","0x13","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x36","0x70","0x14","0x0","0x75","19","17","0x13","0x11","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x37","0x70","0x2e","0x0","0x75","25","8","0x19","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x38","0x70","0x2e","0x0","0x75","27","8","0x1b","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x39","0x70","0x1a","0x0","0x45","2","7","0x2","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3a","0x70","0x1a","0x0","0x45","12","7","0xc","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3b","0x70","0x1a","0x0","0x45","10","18","0xa","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3c","0x70","0x1a","0x0","0x45","8","20","0x8","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3d","0x70","0x1a","0x0","0x45","0","9","0x0","0x9","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3e","0x70","0x1a","0x0","0x45","1","8","0x1","0x8","0x2e","0x67","0x0","0x0","0x0","0x3","0xa","0x0"
"0x3f","0x70","0x13","0x0","0x2d","12","13","0xc","0xd","0x2d","0x20","0x7a","0x0","0x0","0x3","0xa","0x0"
"0x40","0x70","0x12","0x0","0x75","13","12","0xd","0xc","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x41","0x70","0x3b","0x0","0x35","16","6","0x10","0x6","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x42","0x70","0x3b","0x0","0x2d","7","13","0x7","0xd","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x43","0x70","0x39","0x0","0x75","16","5","0x10","0x5","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x44","0x70","0x39","0x0","0x75","14","6","0xe","0x6","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x45","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x46","0x70","0x30","0x0","0x75","21","2","0x15","0x2","0x32","0x3","0x0","0x0","0x0","0x3","0xa","0x0"
"0x47","0x70","0x39","0x0","0x75","8","13","0x8","0xd","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x48","0x70","0xe","0x0","0x75","6","6","0x6","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x49","0x70","0xe","0x0","0x75","8","6","0x8","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4a","0x70","0x16","0x0","0x45","17","11","0x11","0xb","0x2b","0x74","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4b","0x70","0xe","0x0","0x75","11","20","0xb","0x14","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4c","0x70","0xe","0x0","0x75","7","21","0x7","0x15","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4d","0x70","0xe","0x0","0x75","6","16","0x6","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4e","0x70","0x14","0x0","0x75","18","10","0x12","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x4f","0x70","0x14","0x0","0x75","16","12","0x10","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x50","0x70","0x14","0x0","0x75","18","12","0x12","0xc","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x51","0x70","0x14","0x0","0x75","16","10","0x10","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x52","0x70","0x30","0x0","0x45","23","2","0x17","0x2","0x33","0x6c","0x0","0x0","0x0","0x3","0xa","0x0"
"0x53","0x70","0x28","0x0","0x75","21","4","0x15","0x4","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x54","0x70","0x2a","0x0","0x45","22","3","0x16","0x3","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x55","0x70","0xa","0x0","0x75","6","18","0x6","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x56","0x70","0xe","0x0","0x75","8","18","0x8","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x57","0x70","0xa","0x0","0x75","8","16","0x8","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x58","0x70","0xc","0x0","0x45","7","17","0x7","0x11","0x4","0x79","0x0","0x0","0x0","0x3","0xa","0x0"
"0x59","0x70","0x28","0x0","0x75","25","9","0x19","0x9","0x18","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5a","0x70","0x28","0x0","0x75","27","9","0x1b","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x5b","0x70","0xe","0x0","0x75","12","22","0xc","0x16","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5c","0x70","0xe","0x0","0x75","15","25","0xf","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5d","0x70","0xe","0x0","0x75","18","26","0x12","0x1a","0xd","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5e","0x70","0xe","0x0","0x75","17","24","0x11","0x18","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x5f","0x70","0x14","0x0","0x75","21","16","0x15","0x10","0x17","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x60","0x70","0x14","0x0","0x75","18","19","0x12","0x13","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x61","0x70","0x14","0x0","0x75","19","17","0x13","0x11","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x62","0x70","0x2e","0x0","0x75","25","8","0x19","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x63","0x70","0x2e","0x0","0x75","27","8","0x1b","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x64","0x70","0x1a","0x0","0x45","2","7","0x2","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x65","0x70","0x1a","0x0","0x45","12","7","0xc","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x66","0x70","0x1a","0x0","0x45","10","18","0xa","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x67","0x70","0x1a","0x0","0x45","8","20","0x8","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x68","0x70","0x1a","0x0","0x45","0","9","0x0","0x9","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x69","0x70","0x1a","0x0","0x45","1","8","0x1","0x8","0x2e","0x67","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6a","0x70","0x13","0x0","0x2d","12","13","0xc","0xd","0x2d","0x20","0x7a","0x0","0x0","0x3","0xa","0x0"
"0x6b","0x70","0x12","0x0","0x75","13","12","0xd","0xc","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6c","0x70","0x3b","0x0","0x35","16","6","0x10","0x6","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6d","0x70","0x3b","0x0","0x2d","7","13","0x7","0xd","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6e","0x70","0x39","0x0","0x75","16","5","0x10","0x5","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x6f","0x70","0x39","0x0","0x75","14","6","0xe","0x6","0x20","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x70","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x71","0x70","0x30","0x0","0x75","21","2","0x15","0x2","0x32","0x3","0x0","0x0","0x0","0x3","0xa","0x0"
"0x72","0x70","0x39","0x0","0x75","8","13","0x8","0xd","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x73","0x70","0xe","0x0","0x75","6","6","0x6","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x74","0x70","0xe","0x0","0x75","8","6","0x8","0x6","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x75","0x70","0x16","0x0","0x45","17","11","0x11","0xb","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x76","0x70","0xe","0x0","0x75","11","20","0xb","0x14","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x77","0x70","0xe","0x0","0x75","7","21","0x7","0x15","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x78","0x70","0xe","0x0","0x75","6","16","0x6","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x79","0x70","0x14","0x0","0x75","18","10","0x12","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7a","0x70","0x14","0x0","0x75","16","12","0x10","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7b","0x70","0x14","0x0","0x75","18","12","0x12","0xc","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7c","0x70","0x14","0x0","0x75","16","10","0x10","0xa","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7d","0x70","0x30","0x0","0x45","23","2","0x17","0x2","0x33","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x7e","0x70","0x28","0x0","0x75","21","4","0x15","0x4","0x1c","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x7f","0x70","0x2a","0x0","0x45","22","3","0x16","0x3","0x17","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x80","0x70","0xa","0x0","0x75","6","18","0x6","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x81","0x70","0xe","0x0","0x75","8","18","0x8","0x12","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x82","0x70","0xa","0x0","0x75","8","16","0x8","0x10","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x83","0x70","0xc","0x0","0x45","7","17","0x7","0x11","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x84","0x70","0x28","0x0","0x75","25","9","0x19","0x9","0x18","0x6e","0x0","0x0","0x0","0x0","0xa","0x0"
"0x85","0x70","0x28","0x0","0x75","27","9","0x1b","0x9","0x16","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x86","0x70","0xe","0x0","0x75","12","22","0xc","0x16","0x12","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x87","0x70","0xe","0x0","0x75","15","25","0xf","0x19","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x88","0x70","0xe","0x0","0x75","18","26","0x12","0x1a","0xd","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x89","0x70","0xe","0x0","0x75","17","24","0x11","0x18","0x3","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8a","0x70","0x14","0x0","0x75","21","16","0x15","0x10","0x17","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8b","0x70","0x14","0x0","0x75","18","19","0x12","0x13","0x16","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8c","0x70","0x14","0x0","0x75","19","17","0x13","0x11","0x1c","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x8d","0x70","0x2e","0x0","0x75","25","8","0x19","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8e","0x70","0x2e","0x0","0x75","27","8","0x1b","0x8","0x32","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0x8f","0x70","0x1a","0x0","0x45","2","7","0x2","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x90","0x70","0x1a","0x0","0x45","12","7","0xc","0x7","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x91","0x70","0x1a","0x0","0x45","10","18","0xa","0x12","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x92","0x70","0x1a","0x0","0x45","8","20","0x8","0x14","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x93","0x70","0x1a","0x0","0x45","0","9","0x0","0x9","0x2d","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x94","0x70","0x1a","0x0","0x45","1","8","0x1","0x8","0x2e","0x65","0x0","0x0","0x0","0x3","0xa","0x0"
"0x95","0x70","0x39","0x0","0x75","12","13","0xc","0xd","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x96","0x70","0x39","0x0","0x75","16","6","0x10","0x6","0x2b","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x97","0x70","0x39","0x0","0x75","7","13","0x7","0xd","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x98","0x70","0x39","0x0","0x75","13","12","0xd","0xc","0x28","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x99","0x70","0x39","0x0","0x75","16","5","0x10","0x5","0x20","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9a","0x70","0x39","0x0","0x75","14","6","0xe","0x6","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0x9b","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x9c","0x70","0x22","0x0","0x45","22","3","0x16","0x3","0x3a","0x39","0x4c","0x0","0x0","0x0","0xa","0x0"
"0x9d","0x70","0x2d","0x0","0x75","21","2","0x15","0x2","0x38","0x4d","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9e","0x70","0x2d","0x0","0x45","23","2","0x17","0x2","0x38","0x4c","0x0","0x0","0x0","0x3","0xa","0x0"
"0x9f","0x70","0x20","0x0","0x75","21","4","0x15","0x4","0x39","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa0","0x70","0x1e","0x0","0x45","17","11","0x11","0xb","0x40","0x41","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa1","0x70","0x1c","0x0","0x75","18","10","0x12","0xa","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa2","0x70","0x1c","0x0","0x75","16","12","0x10","0xc","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa3","0x70","0x1c","0x0","0x75","18","12","0x12","0xc","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa4","0x70","0x1c","0x0","0x75","16","10","0x10","0xa","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa5","0x70","0x26","0x0","0x45","7","17","0x7","0x11","0x45","0x47","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa6","0x70","0x24","0x0","0x75","6","16","0x6","0x10","0x45","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xa7","0x70","0x24","0x0","0x75","6","18","0x6","0x12","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa8","0x70","0x24","0x0","0x75","8","18","0x8","0x12","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xa9","0x70","0x24","0x0","0x75","8","16","0x8","0x10","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xaa","0x70","0x20","0x0","0x75","25","9","0x19","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xab","0x70","0x20","0x0","0x75","27","9","0x1b","0x9","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xac","0x70","0x20","0x0","0x75","25","8","0x19","0x8","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xad","0x70","0x20","0x0","0x75","27","8","0x1b","0x8","0x38","0x0","0x0","0x0","0x0","0x0","0xa","0x0"
"0xae","0x70","0x24","0x0","0x75","15","25","0xf","0x19","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xaf","0x70","0x24","0x0","0x75","18","26","0x12","0x1a","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb0","0x70","0x24","0x0","0x75","17","24","0x11","0x18","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb1","0x70","0x24","0x0","0x75","11","20","0xb","0x14","0x45","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb2","0x70","0x24","0x0","0x75","7","21","0x7","0x15","0x46","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb3","0x70","0x24","0x0","0x75","12","22","0xc","0x16","0x44","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb4","0x70","0x1c","0x0","0x75","21","16","0x15","0x10","0x3e","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb5","0x70","0x1c","0x0","0x75","18","19","0x12","0x13","0x3f","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb6","0x70","0x1c","0x0","0x75","19","17","0x13","0x11","0x40","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xb7","0x70","0x27","0x0","0x75","9","5","0x9","0x5","0x45","0x4c","0x51","0x47","0x0","0x3","0xa","0x0"
"0xb8","0x70","0x27","0x0","0x75","5","5","0x5","0x5","0x45","0x4c","0x50","0x47","0x0","0x3","0xa","0x0"
"0xb9","0x70","0x2c","0x0","0x75","16","6","0x10","0x6","0x4e","0x4c","0x0","0x0","0x0","0x0","0xa","0x0"
"0xba","0x70","0x2d","0x0","0x75","16","5","0x10","0x5","0x4d","0x4c","0x52","0x0","0x0","0x3","0xa","0x0"
"0xbb","0x70","0x1e","0x0","0x45","6","6","0x6","0x6","0x40","0x41","0x0","0x0","0x3","0x3","0xa","0x0"
"0xbc","0x70","0x1e","0x0","0x45","8","6","0x8","0x6","0x40","0x41","0x0","0x0","0x3","0x3","0xa","0x0"
"0xbd","0x70","0x2d","0x0","0x45","2","7","0x2","0x7","0x39","0x4c","0x0","0x0","0x0","0x3","0xa","0x0"
"0xbe","0x70","0x2d","0x0","0x45","0","9","0x0","0x9","0x39","0x4d","0x0","0x0","0x0","0x3","0xa","0x0"
"0xbf","0x70","0x2d","0x0","0x45","1","8","0x1","0x8","0x38","0x4d","0x50","0x0","0x0","0x3","0xa","0x0"
"0xc0","0x70","0x2d","0x0","0x45","10","18","0xa","0x12","0x38","0x4d","0x51","0x0","0x0","0x3","0xa","0x0"
"0xc1","0x70","0x2d","0x0","0x45","8","20","0x8","0x14","0x38","0x4d","0x0","0x0","0x0","0x0","0xa","0x0"
"0xc2","0x70","0x1a","0x0","0xa5","12","7","0xc","0x7","0x2e","0x33","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc3","0x70","0xc","0x0","0x45","12","13","0xc","0xd","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc4","0x70","0xc","0x0","0x45","13","12","0xd","0xc","0x4","0x0","0x0","0x0","0x0","0x3","0xa","0x0"
"0xc5","0x70","0x39","0x0","0x75","14","6","0xe","0x6","0x1f","0x0","0x0","0x0","0x0","0x4","0xa","0x0"
"0xc6","0x70","0x2d","0x0","0x45","0","7","0x0","0x7","0x38","0x4d","0x51","0x0","0x0","0x3","0xa","0x0"
"0xc7","0x70","0x2d","0x0","0x45","2","9","0x2","0x9","0x38","0x4d","0x52","0x0","0x0","0x3","0xa","0x0"
"0xc8","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0xc9","0x65","0x10","0x0","0x94","7","5","0x7","0x5","0x10","0x7b","0x0","0x0","0x3","0x3","0xa","0x0"
"0xca","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
