"0xccda30","Character Reference Number","Starting Class","Character's Leader","Starting Level","Loading X Co-ordinate","Loading Y Co-ordinate","Start X Co-Ordinate","Start Y Co-Ordinate","Slot Item 1","Slot Item 2","Slot Item 3","Slot Item 4","AI 1","AI 2","AI 3","AI 4"
"0x14","0x23","0x3c","0x0","0x31","18","6","0x12","0x6","0x1","0x6b","0x0","0x0","0x0","0x0","0x0","0x0"
"0x15","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x16","0x4c","0x22","0x0","0x24","2","6","0x2","0x6","0x3a","0x38","0x0","0x0","0x3","0x3","0x9","0x20"
"0x17","0x6d","0x14","0x4c","0x35","6","11","0x6","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x18","0x6d","0x14","0x4c","0x35","6","12","0x6","0xc","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x19","0x6d","0x20","0x4c","0x35","1","7","0x1","0x7","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1a","0x6d","0x20","0x4c","0x35","3","7","0x3","0x7","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1b","0x6d","0x14","0x4c","0x35","1","9","0x1","0x9","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1c","0x6d","0x24","0x4c","0x55","9","14","0x9","0xe","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1d","0x6d","0x20","0x4c","0x35","13","12","0xd","0xc","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1e","0x6d","0x20","0x4c","0x3d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x1f","0x6d","0x20","0x4c","0x35","15","15","0xf","0xf","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x20","0x6d","0x14","0x4c","0x35","1","11","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x21","0x6d","0x14","0x4c","0x35","3","10","0x3","0xa","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x22","0x6d","0x20","0x4c","0x35","5","5","0x5","0x5","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x23","0x6d","0x20","0x4c","0x35","7","5","0x7","0x5","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x24","0x6d","0x20","0x4c","0x3d","3","12","0x3","0xc","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x25","0x6d","0x20","0x4c","0x2d","10","11","0xa","0xb","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x26","0x6d","0x32","0x4c","0x35","3","1","0x3","0x1","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x27","0x6d","0x32","0x4c","0x35","2","2","0x2","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x28","0x6d","0x32","0x4c","0x35","4","2","0x4","0x2","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x29","0x6d","0x32","0x4c","0x35","1","4","0x1","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2a","0x6d","0x32","0x4c","0x35","3","4","0x3","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x2b","0x6d","0x14","0x4c","0x35","11","14","0xb","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2c","0x6d","0x14","0x4c","0x35","5","7","0x5","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x2d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x2e","0x4c","0x22","0x0","0x24","2","6","0x2","0x6","0x3a","0x38","0x0","0x0","0x3","0x3","0x9","0x20"
"0x2f","0x6d","0x14","0x4c","0x35","6","11","0x6","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x30","0x6d","0x14","0x4c","0x35","6","12","0x6","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x31","0x6d","0x20","0x4c","0x35","1","7","0x1","0x7","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x32","0x6d","0x20","0x4c","0x35","3","7","0x3","0x7","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x33","0x6d","0x14","0x4c","0x35","1","9","0x1","0x9","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x34","0x6d","0x24","0x4c","0x55","9","14","0x9","0xe","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x35","0x6d","0x20","0x4c","0x35","13","12","0xd","0xc","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x36","0x6d","0x20","0x4c","0x3d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x37","0x6d","0x20","0x4c","0x35","15","15","0xf","0xf","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x38","0x6d","0x14","0x4c","0x35","1","11","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x39","0x6d","0x14","0x4c","0x35","3","10","0x3","0xa","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3a","0x6d","0x20","0x4c","0x35","5","5","0x5","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3b","0x6d","0x20","0x4c","0x35","7","5","0x7","0x5","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3c","0x6d","0x20","0x4c","0x3d","3","12","0x3","0xc","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3d","0x6d","0x20","0x4c","0x2d","10","11","0xa","0xb","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3e","0x6d","0x32","0x4c","0x35","3","1","0x3","0x1","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x3f","0x6d","0x32","0x4c","0x35","2","2","0x2","0x2","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x40","0x6d","0x32","0x4c","0x35","4","2","0x4","0x2","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x41","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x42","0x4c","0x22","0x0","0x24","2","6","0x2","0x6","0x39","0x3a","0x72","0x0","0x3","0x3","0x9","0x20"
"0x43","0x6d","0x14","0x4c","0x35","6","11","0x6","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x44","0x6d","0x14","0x4c","0x35","6","12","0x6","0xc","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x45","0x6d","0x20","0x4c","0x35","1","7","0x1","0x7","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x46","0x6d","0x20","0x4c","0x35","3","7","0x3","0x7","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x47","0x6d","0x14","0x4c","0x35","1","9","0x1","0x9","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x48","0x6d","0x24","0x4c","0x55","9","14","0x9","0xe","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x49","0x6d","0x20","0x4c","0x35","13","12","0xd","0xc","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4a","0x6d","0x20","0x4c","0x3d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4b","0x6d","0x20","0x4c","0x35","15","15","0xf","0xf","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4c","0x6d","0x14","0x4c","0x35","1","11","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x4d","0x6d","0x14","0x4c","0x35","3","10","0x3","0xa","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4e","0x6d","0x20","0x4c","0x35","5","5","0x5","0x5","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x4f","0x6e","0x20","0x4c","0x35","7","5","0x7","0x5","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x50","0x6d","0x20","0x4c","0x3d","3","12","0x3","0xc","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x51","0x6d","0x20","0x4c","0x2d","10","11","0xa","0xb","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x52","0x6d","0x32","0x4c","0x35","3","1","0x3","0x1","0x15","0x66","0x0","0x0","0x0","0x0","0x9","0x0"
"0x53","0x6d","0x32","0x4c","0x35","2","2","0x2","0x2","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x54","0x6d","0x32","0x4c","0x35","4","2","0x4","0x2","0x15","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x55","0x6d","0x32","0x4c","0x35","1","4","0x1","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x56","0x6d","0x32","0x4c","0x35","3","4","0x3","0x4","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x57","0x6d","0x14","0x4c","0x35","11","14","0xb","0xe","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x58","0x6d","0x14","0x4c","0x35","5","7","0x5","0x7","0x14","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x59","0x6d","0x20","0x4c","0x35","19","16","0x13","0x10","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5a","0x6d","0x20","0x4c","0x35","4","15","0x4","0xf","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x5b","0x6e","0x39","0x4c","0x35","8","15","0x8","0xf","0x2a","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x5c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x5d","0x4c","0x22","0x0","0x24","2","6","0x2","0x6","0x39","0x3a","0x72","0x0","0x3","0x3","0x9","0x20"
"0x5e","0x6d","0x14","0x4c","0x35","6","11","0x6","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x5f","0x6d","0x14","0x4c","0x35","6","12","0x6","0xc","0x16","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x60","0x6d","0x20","0x4c","0x35","1","7","0x1","0x7","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x61","0x6d","0x20","0x4c","0x35","3","7","0x3","0x7","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x62","0x6d","0x14","0x4c","0x35","1","9","0x1","0x9","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x63","0x6d","0x24","0x4c","0x55","9","14","0x9","0xe","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x64","0x6d","0x20","0x4c","0x35","13","12","0xd","0xc","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x65","0x6d","0x20","0x4c","0x3d","2","10","0x2","0xa","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x66","0x6d","0x20","0x4c","0x35","15","15","0xf","0xf","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x67","0x6d","0x14","0x4c","0x35","1","11","0x1","0xb","0x14","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x68","0x6d","0x14","0x4c","0x35","3","10","0x3","0xa","0x16","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x69","0x6d","0x20","0x4c","0x35","5","5","0x5","0x5","0x39","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6a","0x6e","0x20","0x4c","0x35","7","5","0x7","0x5","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6b","0x6d","0x20","0x4c","0x3d","3","12","0x3","0xc","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6c","0x6d","0x20","0x4c","0x2d","10","11","0xa","0xb","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6d","0x6d","0x32","0x4c","0x35","3","1","0x3","0x1","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6e","0x6d","0x32","0x4c","0x35","2","2","0x2","0x2","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x6f","0x6d","0x32","0x4c","0x35","4","2","0x4","0x2","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x70","0x6d","0x14","0x4c","0x35","0","8","0x0","0x8","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x71","0x6d","0x14","0x4c","0x35","2","8","0x2","0x8","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x72","0x6d","0x14","0x4c","0x35","4","8","0x4","0x8","0x1c","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x73","0x6d","0x32","0x4c","0x35","2","0","0x2","0x0","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x74","0x6d","0x32","0x4c","0x35","11","1","0xb","0x1","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x75","0x6d","0x32","0x4c","0x35","10","3","0xa","0x3","0x1e","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x76","0x6d","0x20","0x4c","0x2d","12","16","0xc","0x10","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x77","0x6d","0x20","0x4c","0x2d","20","16","0x14","0x10","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x78","0x6e","0x39","0x4c","0x35","8","15","0x8","0xf","0x2a","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x79","0x6d","0x20","0x4c","0x35","4","15","0x4","0xf","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x7a","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7b","0x3b","0x43","0x0","0xc","6","5","0x6","0x4","0x0","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7c","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x7d","0xe1","0x14","0x3b","0x7d","6","5","0x6","0x5","0x17","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7e","0xe1","0x14","0x3b","0x7d","6","5","0x6","0x3","0x17","0x1c","0x0","0x0","0x3","0x3","0x9","0x0"
"0x7f","0xe1","0x1a","0x3b","0x7d","6","5","0x7","0x4","0x2e","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x80","0xe1","0x1a","0x3b","0x7d","6","5","0x5","0x4","0x2e","0x0","0x0","0x0","0x3","0x3","0x9","0x0"
"0x81","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x82","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x83","0x6d","0x39","0x4c","0x35","1","16","0x1","0x10","0x1f","0x0","0x0","0x0","0x0","0x4","0x9","0x0"
"0x84","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x85","0x6d","0x20","0x4c","0x35","18","3","0x12","0x3","0x37","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x86","0x6d","0x20","0x4c","0x35","17","3","0x11","0x3","0x38","0x0","0x0","0x0","0x0","0x0","0x9","0x0"
"0x87","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x88","0x1","0x1","0x0","0x49","17","6","0x11","0x6","0x9","0x1","0x0","0x0","0x0","0x0","0x0","0x0"
"0x89","0x2","0x3","0x0","0x41","15","6","0xf","0x6","0x1f","0x28","0x26","0x0","0x0","0x0","0x0","0x0"
"0x8a","0x2d","0x2","0x0","0x41","16","7","0x10","0x7","0xa","0x1","0x6b","0x0","0x0","0x0","0x0","0x0"
"0x8b","0x1a","0x2a","0x0","0x8","16","5","0x10","0x5","0x1","0x17","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8c","0x25","0x40","0x0","0xa","18","6","0x12","0x6","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8d","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x8e","0x4c","0x22","0x0","0x24","2","6","0x2","0x6","0x3a","0x38","0x0","0x0","0x3","0x3","0x9","0x0"
"0x8f","0x6d","0x20","0x4c","0x35","1","7","0x1","0x7","0x37","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x90","0x6d","0x20","0x4c","0x35","3","7","0x3","0x7","0x38","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x91","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
"0x92","0x6d","0x24","0x4c","0x55","14","10","0xe","0xa","0x46","0x0","0x0","0x0","0x0","0x3","0x9","0x0"
"0x93","0x0","0x0","0x0","0x0","0","0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0","0x0"
